N	2gram	Losev_Dial_4	DiskursI
1	в качестве	2	34
2	не только	8	28
3	в том	11	23
4	а не	18	22
5	том что	10	19
6	может быть	17	17
7	и в	15	16
8	как и	7	16
9	в этом	11	15
10	еще не	4	14
11	но и	4	14
12	при этом	2	13
13	прежде всего	11	11
14	и не	30	11
15	как в	3	10
16	в частности	2	9
17	в нем	5	9
18	не может	11	9
19	отнюдь не	4	8
20	так и	5	8
21	о том	5	8
22	но в	3	8
23	в основе	10	7
24	в его	4	7
25	со стороны	3	7
26	то же	9	7
27	не было	2	7
28	в себе	8	7
29	только в	7	7
30	не в	8	7
31	в своем	5	6
32	и как	4	6
33	можно сказать	5	5
34	в силу	4	5
35	как бы	14	5
36	в котором	2	5
37	в своей	3	5
38	то что	16	5
39	во всех	2	5
40	в себя	5	5
41	в их	3	5
42	отличие от	2	5
43	и на	5	5
44	в данном	3	5
45	с его	5	4
46	что в	7	4
47	в них	2	4
48	не как	4	4
49	что он	7	4
50	уже не	9	4
51	в истории	3	4
52	же время	6	4
53	одной из	2	4
54	и о	8	4
55	в особенности	4	4
56	претендует на	2	4
57	лишь в	2	4
58	что не	3	4
59	потому что	10	4
60	могут быть	3	4
61	перед нами	6	3
62	однако в	2	3
63	это понятие	3	3
64	это не	12	3
65	по себе	13	3
66	что и	6	3
67	в ее	2	3
68	свою очередь	2	3
69	в свою	3	3
70	с этим	3	3
71	в самом	2	3
72	той или	4	3
73	себе не	2	3
74	один из	4	3
75	хотя бы	4	3
76	все же	2	3
77	из них	2	3
78	как не	2	3
79	таким образом	5	3
80	именно в	5	3
81	заключается в	2	3
82	того что	13	3
83	должны быть	4	3
84	другой стороны	2	3
85	и даже	6	3
86	сказать что	6	3
87	тем что	2	3
88	точки зрения	14	3
89	в то	6	3
90	тому как	4	3
91	также и	4	3
92	и потому	3	3
93	понятие о	2	3
94	в противоположность	2	2
95	но они	2	2
96	как формы	3	2
97	не менее	2	2
98	и есть	19	2
99	никогда не	2	2
100	и без	2	2
101	и во	2	2
102	по крайней	7	2
103	и все	11	2
104	за его	2	2
105	в одном	4	2
106	к этому	3	2
107	не всегда	3	2
108	об этом	3	2
109	крайней мере	7	2
110	его как	2	2
111	есть в	4	2
112	на этом	3	2
113	что с	2	2
114	в сущности	5	2
115	и требует	2	2
116	совпадает с	2	2
117	хотя и	6	2
118	о нем	2	2
119	оно не	2	2
120	говоря уже	3	2
121	и тем	6	2
122	не есть	40	2
123	с ее	10	2
124	того или	2	2
125	себя в	2	2
126	когда он	3	2
127	событий а	3	2
128	что же	2	2
129	за пределы	3	2
130	ни чисто	3	2
131	отношения к	3	2
132	может и	2	2
133	и что	9	2
134	и по	2	2
135	и его	7	2
136	или в	7	2
137	во всяком	2	2
138	мы имеем	5	2
139	подобно тому	4	2
140	и ее	8	2
141	но как	2	2
142	он всегда	2	2
143	и вообще	7	2
144	что даже	2	2
145	не говоря	3	2
146	в этой	4	2
147	уже о	4	2
148	всей его	2	2
149	едва ли	3	2
150	возможно только	3	2
151	в виду	9	2
152	это было	2	2
