N	2gram	Potebnia_M_3	Poddanst
1	не только	21	17
2	и в	30	14
3	и не	15	12
4	в области	2	11
5	в этом	10	10
6	то же	23	9
7	в том	32	9
8	с к	2	7
9	же время	5	7
10	в то	10	7
11	только в	21	7
12	быть может	3	6
13	но и	19	6
14	в ней	8	6
15	в смысле	4	6
16	было бы	9	6
17	с другой	7	5
18	не в	15	5
19	в которых	2	5
20	отношении к	2	5
21	и о	2	5
22	может быть	28	5
23	же в	2	4
24	в котором	4	4
25	то что	18	4
26	что в	17	4
27	если бы	12	4
28	в своем	5	4
29	с т	2	4
30	не может	6	4
31	по себе	16	4
32	а в	12	4
33	том что	18	4
34	мы должны	4	4
35	и если	2	4
36	как бы	3	4
37	и потому	4	4
38	в нем	9	3
39	и т	5	3
40	с тем	7	3
41	и без	7	3
42	столь же	4	3
43	с одной	7	3
44	прежде всего	3	3
45	тем самым	7	3
46	для того	4	3
47	мы не	9	3
48	и как	5	3
49	между тем	9	3
50	но не	7	3
51	могут быть	3	3
52	точки зрения	2	3
53	в себе	16	3
54	что мы	8	3
55	одной стороны	3	3
56	вслед за	3	3
57	потому что	46	3
58	я и	3	3
59	не менее	5	2
60	и тем	5	2
61	не к	4	2
62	именно в	3	2
63	и есть	3	2
64	время в	3	2
65	тем более	4	2
66	со стороны	3	2
67	заключает в	5	2
68	в них	5	2
69	есть нечто	4	2
70	все это	4	2
71	не столько	2	2
72	с этим	6	2
73	думать что	5	2
74	а не	15	2
75	бы ни	3	2
76	того что	18	2
77	слова но	2	2
78	должно быть	5	2
79	для нас	20	2
80	в ее	2	2
81	как на	5	2
82	говорить о	3	2
83	есть не	7	2
84	есть в	3	2
85	в силу	3	2
86	в виде	2	2
87	не было	4	2
88	в начале	3	2
89	из них	6	2
90	и мы	2	2
91	например в	6	2
92	и это	4	2
93	мысль о	5	2
94	в ряду	3	2
95	никак не	3	2
96	в его	4	2
97	и с	2	2
