N	3gram	Losev_Prob_1	Myslijsy
1	в том что	5	7
2	по крайней мере	2	5
3	о том что	5	5
4	в этом случае	2	5
5	не может быть	2	5
6	можно сказать что	3	4
7	то же самое	9	4
8	с тем что	2	4
9	и в этом	2	4
10	тем не менее	18	4
11	до сих пор	3	4
12	сам по себе	7	4
13	и то что	2	4
14	для того чтобы	8	4
15	на то что	8	4
16	во всяком случае	3	3
17	не только не	3	3
18	тем и другим	2	3
19	с точки зрения	3	3
20	в то же	4	3
21	и т д	10	3
22	на самом деле	4	3
23	когда мы говорим	2	3
24	сами по себе	3	2
25	то что в	3	2
26	и как бы	2	2
27	так или иначе	2	2
28	в данном случае	8	2
29	только потому что	2	2
30	в этих случаях	2	2
31	же самое нужно	2	2
32	не что иное	2	2
33	то и другое	2	2
34	в таком случае	6	2
35	подобно тому как	2	2
36	то есть в	4	2
37	что иное как	2	2
