N	2gram	Tiupa_Narr_1	Morfolog
1	может быть	25	52
2	представляет собой	13	17
3	не может	10	17
4	могут быть	3	15
5	и в	19	13
6	в этом	17	13
7	и др	2	12
8	перед нами	4	11
9	связи с	4	11
10	представляют собой	2	10
11	прежде всего	4	9
12	не всегда	2	9
13	так и	9	9
14	в связи	2	9
15	то же	4	9
16	и не	20	9
17	а не	12	9
18	мы имеем	2	9
19	с другой	8	8
20	по существу	2	8
21	в результате	2	8
22	в качестве	21	7
23	все же	7	7
24	это не	2	6
25	в том	18	6
26	но не	5	6
27	а также	7	6
28	в форме	5	6
29	а в	11	6
30	подобно тому	2	6
31	не менее	3	5
32	тому как	2	5
33	наряду с	2	5
34	вслед за	4	5
35	далеко не	5	5
36	как бы	4	5
37	не все	5	5
38	один из	3	5
39	то что	11	5
40	или в	2	5
41	что в	3	4
42	и как	5	4
43	героя в	8	4
44	тем не	3	4
45	отношению к	6	4
46	было бы	4	4
47	несмотря на	2	4
48	не только	32	4
49	как в	7	4
50	как мы	3	4
51	другой стороны	4	4
52	так же	2	4
53	по отношению	7	4
54	как и	7	4
55	хотя и	3	4
56	тем что	3	4
57	точки зрения	10	4
58	с точки	2	4
59	его в	2	4
60	если в	3	4
61	а если	2	4
62	оно может	2	4
63	ничего не	2	4
64	независимо от	2	3
65	между собой	2	3
66	в какой	2	3
67	же в	4	3
68	том что	14	3
69	но все	4	3
70	что они	3	3
71	в пределах	2	3
72	в сущности	3	3
73	во втором	4	3
74	он не	3	3
75	не является	8	3
76	в первом	3	3
77	ни в	3	3
78	но и	23	3
79	на него	3	3
80	самом деле	2	3
81	из которых	4	3
82	первом случае	2	3
83	к нему	5	3
84	и для	2	3
85	а по	2	3
86	из них	3	3
87	и ее	2	3
88	в то	3	3
89	героя и	4	3
90	но в	6	3
91	в частности	14	2
92	однако в	2	2
93	хотя бы	4	2
94	та же	2	2
95	а во	3	2
96	точно так	2	2
97	состоит в	13	2
98	что он	6	2
99	утверждать что	2	2
100	в собственном	2	2
101	можно сказать	5	2
102	на первый	2	2
103	не с	3	2
104	то в	6	2
105	со смертью	2	2
106	только в	4	2
107	идет по	2	2
108	для него	2	2
109	одной стороны	7	2
110	у нее	2	2
111	первый взгляд	2	2
112	не от	2	2
113	одной из	4	2
114	в обоих	2	2
115	себя и	2	2
116	из двух	3	2
117	нарушение запрета	2	2
118	оно не	2	2
119	героя из	2	2
120	не существует	3	2
121	себя в	5	2
122	или менее	2	2
123	может не	3	2
124	и только	2	2
125	а с	3	2
126	с одной	7	2
127	все эти	2	2
128	к себе	5	2
129	к другой	2	2
130	уже не	5	2
131	не имеет	2	2
132	и его	5	2
133	можно было	2	2
134	что мы	2	2
135	о том	6	2
136	героя к	3	2
137	здесь не	4	2
138	одна из	3	2
139	сказать что	4	2
140	как это	6	2
141	более или	2	2
