N	2gram	Losev_Dial_1	VrazhdaK
1	не только	13	9
2	в этом	12	8
3	и что	12	8
4	и в	18	8
5	но и	7	7
6	что в	13	7
7	то что	13	7
8	и все	3	7
9	в котором	4	6
10	в нем	16	6
11	все же	5	6
12	– это	9	6
13	и даже	13	6
14	как и	2	6
15	но в	6	6
16	и с	5	6
17	то же	10	5
18	не было	6	5
19	и не	30	5
20	об этом	4	5
21	в то	6	5
22	же время	4	5
23	как бы	11	4
24	все это	11	4
25	это не	9	4
26	что он	11	4
27	так же	4	4
28	с ним	6	4
29	может быть	17	4
30	несмотря на	10	4
31	о том	4	4
32	в ней	3	4
33	в виду	5	4
34	я не	5	3
35	в своем	5	3
36	в конце	4	3
37	т е	25	3
38	к этому	2	3
39	на то	5	3
40	и у	2	3
41	в том	9	3
42	том что	9	3
43	и как	7	3
44	в его	3	3
45	и о	3	3
46	в чем	6	3
47	он не	3	3
48	его с	3	2
49	а с	2	2
50	он сам	5	2
51	в своей	2	2
52	и это	2	2
53	из них	2	2
54	не менее	2	2
55	никогда не	9	2
56	отнюдь не	9	2
57	в них	3	2
58	как раз	4	2
59	не может	12	2
60	а в	5	2
61	отношения к	3	2
62	в одну	3	2
63	но это	8	2
64	уже не	2	2
65	и он	5	2
66	с точки	12	2
67	как же	5	2
68	тем более	2	2
69	что я	3	2
70	и то	9	2
71	же как	2	2
72	но как	2	2
73	точки зрения	17	2
74	в себе	11	2
75	отношение к	5	2
76	для него	2	2
77	еще не	2	2
78	о чем	2	2
79	в мире	2	2
80	к ним	2	2
81	в него	2	2
