N	2gram	Savitsky_E_1	VrazhdaK
1	не только	18	9
2	в этом	12	8
3	и что	2	8
4	и в	37	8
5	но и	14	7
6	что в	21	7
7	то что	6	7
8	и все	2	7
9	в котором	2	6
10	и даже	6	6
11	как и	7	6
12	но в	14	6
13	и с	2	6
14	то же	15	5
15	и не	14	5
16	между тем	8	5
17	в то	16	5
18	же время	14	5
19	в россии	5	5
20	во многом	2	4
21	для нас	4	4
22	как бы	6	4
23	целый ряд	2	4
24	так же	9	4
25	в своих	2	4
26	может быть	6	4
27	в истории	2	4
28	несмотря на	4	4
29	о том	3	4
30	в ней	4	4
31	в своем	14	3
32	и во	2	3
33	т е	9	3
34	на то	6	3
35	в том	11	3
36	том что	6	3
37	и как	2	3
38	тем что	3	3
39	в его	2	3
40	далеко не	2	3
41	наряду с	2	3
42	он не	2	3
43	по нашему	3	3
44	место в	3	2
45	он сам	2	2
46	в известном	3	2
47	в своей	8	2
48	из них	3	2
49	никогда не	3	2
50	вместе с	2	2
51	отнюдь не	9	2
52	в них	3	2
53	столь же	5	2
54	россии в	4	2
55	что к	2	2
56	не может	9	2
57	а в	2	2
58	таким образом	2	2
59	начиная с	2	2
60	в той	5	2
61	с точки	17	2
62	же в	2	2
63	как же	2	2
64	на основе	2	2
65	тем более	4	2
66	в этой	2	2
67	и то	2	2
68	же как	5	2
69	но как	2	2
70	точки зрения	23	2
71	в свою	3	2
72	в себе	9	2
73	его на	2	2
74	при помощи	2	2
75	в мире	2	2
76	к ним	3	2
77	в эту	2	2
78	а также	7	2
