N	2gram	Bakhtin_KF_1	VeschiIm
1	не есть	20	49
2	не может	27	33
3	не только	5	31
4	может быть	45	29
5	и не	26	28
6	и в	24	26
7	то что	7	24
8	и есть	9	23
9	а не	17	20
10	что я	5	16
11	в смысле	6	15
12	только в	16	14
13	того что	3	13
14	по себе	2	13
15	что это	3	12
16	было бы	8	12
17	но и	9	12
18	все же	5	12
19	в себя	7	12
20	и то	2	12
21	и ее	2	12
22	то же	5	10
23	уже не	7	10
24	в ней	3	10
25	как бы	9	10
26	потому что	2	10
27	не значит	6	10
28	в том	6	9
29	бы то	2	9
30	ни было	4	9
31	прежде всего	2	9
32	то ни	2	9
33	что не	3	9
34	себя и	2	8
35	но это	6	8
36	с ее	2	8
37	в себе	21	8
38	смысл и	6	8
39	и это	12	8
40	ничего не	3	8
41	смысла и	2	7
42	совершенно не	6	7
43	говорить о	2	7
44	в то	3	7
45	его в	5	7
46	том что	4	7
47	себя в	8	7
48	не будет	2	7
49	и их	6	7
50	и пр	3	7
51	в этом	14	7
52	ли это	2	7
53	и как	2	6
54	это есть	2	6
55	что в	4	6
56	для него	8	6
57	жизни и	8	6
58	со стороны	7	6
59	и только	6	6
60	должно быть	6	6
61	точки зрения	12	6
62	но в	5	6
63	ясно что	3	6
64	бытие и	3	6
65	бы и	3	6
66	с ним	5	6
67	быть только	8	6
68	не менее	3	5
69	должна быть	4	5
70	это не	10	5
71	тем не	2	5
72	не в	12	5
73	еще не	4	5
74	из себя	8	5
75	для этого	2	5
76	а в	4	5
77	как к	2	5
78	с тем	2	5
79	если бы	8	5
80	отнюдь не	6	5
81	в свою	3	5
82	в ее	16	5
83	это и	2	5
84	но не	12	5
85	для себя	5	5
86	и для	9	5
87	в чем	4	5
88	я не	6	4
89	в своем	16	4
90	независимо от	3	4
91	же время	2	4
92	и мы	2	4
93	когда я	3	4
94	в их	8	4
95	смысле и	2	4
96	что есть	2	4
97	быть не	2	4
98	от того	3	4
99	значило бы	2	4
100	о том	3	4
101	и все	7	4
102	бытия и	10	4
103	как и	5	4
104	это значило	2	4
105	во всех	11	4
106	его на	2	4
107	и потому	2	4
108	нет и	3	4
109	оно не	2	4
110	должен быть	7	4
111	что и	7	4
112	быть и	3	4
113	с точки	9	4
114	то или	2	4
115	что значит	2	4
116	со всем	5	4
117	мы не	3	4
118	в данном	2	4
119	тем что	3	4
120	никогда не	5	3
121	принципиально не	2	3
122	вопрос о	2	3
123	момент в	7	3
124	в нем	28	3
125	отношение к	5	3
126	все это	10	3
127	ее как	2	3
128	к себе	2	3
129	но как	5	3
130	и ни	3	3
131	а это	2	3
132	себя как	2	3
133	мы имеем	5	3
134	тогда когда	3	3
135	или как	2	3
136	нисколько не	4	3
137	в одном	4	3
138	в жизни	2	3
139	один из	2	3
140	что он	2	3
141	только это	2	3
142	не быть	3	3
143	есть именно	2	3
144	могла бы	4	3
145	если я	2	3
146	можно и	2	3
147	в своей	10	3
148	так и	2	3
149	а с	2	3
150	самом деле	3	3
151	того чтобы	2	3
152	хотя бы	4	3
153	как оно	2	3
154	в основе	5	3
155	может не	2	2
156	как действительно	2	2
157	это уже	2	2
158	его и	2	2
159	тому что	2	2
160	ни в	12	2
161	смысл в	3	2
162	основе своей	2	2
163	но все	5	2
164	и та	2	2
165	знает и	2	2
166	в виду	3	2
167	и тем	3	2
168	она могла	2	2
169	оба эти	2	2
170	чем не	4	2
171	не из	2	2
172	жизнь и	2	2
173	в своих	3	2
174	что только	2	2
175	но ведь	5	2
176	ни к	2	2
177	от этого	2	2
178	мы получим	2	2
179	жизни в	5	2
180	и эти	2	2
181	в качестве	2	2
182	не нужно	2	2
183	себе как	2	2
184	ближе к	3	2
185	и может	3	2
186	себе и	3	2
187	я имею	3	2
188	для нее	7	2
189	он не	6	2
190	и когда	2	2
191	и этот	3	2
192	себя не	3	2
193	из самого	2	2
194	как в	2	2
195	но можно	4	2
196	абстрактный момент	2	2
197	если не	2	2
198	еще более	2	2
199	не я	3	2
200	для того	3	2
201	к чему	3	2
202	я должен	7	2
203	и его	17	2
204	из его	3	2
205	отношении к	2	2
206	дело в	2	2
207	не потому	2	2
208	это было	2	2
