N	2gram	Bakhtin_KF_1	KulturaY
1	в том	6	30
2	и в	24	24
3	потому что	2	23
4	том что	4	21
5	что в	4	17
6	того чтобы	2	17
7	для того	3	16
8	и пр	3	15
9	было бы	8	15
10	в этом	14	14
11	точки зрения	12	14
12	может быть	45	13
13	все же	5	12
14	в его	40	12
15	и не	26	12
16	не в	12	11
17	только в	16	11
18	вовсе не	7	10
19	не только	5	10
20	хотя бы	4	10
21	если бы	8	9
22	то что	7	9
23	прежде всего	2	9
24	отношению к	22	9
25	самом деле	3	9
26	того что	3	9
27	с точки	9	9
28	о том	3	9
29	по отношению	26	8
30	то же	5	8
31	уже не	7	8
32	а не	17	8
33	тем что	3	8
34	не менее	3	7
35	в качестве	2	7
36	как бы	9	7
37	не может	27	7
38	это не	10	7
39	в области	2	7
40	так и	2	7
41	тогда когда	3	6
42	именно в	5	6
43	что он	2	6
44	при этом	4	6
45	в ней	3	6
46	но и	9	6
47	все это	10	6
48	все эти	10	6
49	мы имеем	5	6
50	с тем	2	5
51	что это	3	5
52	содержание и	2	5
53	но не	12	5
54	еще не	4	5
55	что не	3	5
56	в виду	3	5
57	не потому	2	5
58	а в	4	5
59	и его	17	5
60	рядом с	3	5
61	между тем	4	5
62	с ним	5	5
63	к себе	2	4
64	и потому	2	4
65	в нем	28	4
66	на язык	3	4
67	это и	2	4
68	один из	2	4
69	должен быть	7	4
70	что и	7	4
71	не есть	20	4
72	тем не	2	4
73	в целом	10	4
74	со стороны	7	4
75	как в	2	4
76	тем самым	4	4
77	с ними	3	4
78	и на	3	4
79	в данном	2	4
80	того или	3	4
81	там где	5	4
82	нисколько не	4	3
83	если не	2	3
84	для этого	2	3
85	ясно что	3	3
86	этом смысле	3	3
87	или иного	3	3
88	его к	2	3
89	или иной	2	3
90	сводится к	2	3
91	в соответствии	2	3
92	соответствии с	2	3
93	в этой	2	3
94	меня и	3	3
95	в свою	3	3
96	и может	3	3
97	этого слова	2	3
98	и эти	2	3
99	в котором	24	3
100	оно не	2	3
101	тому что	2	3
102	в своем	16	3
103	а с	2	3
104	не было	8	3
105	в их	8	3
106	есть лишь	5	3
107	должно быть	6	3
108	должна быть	4	3
109	и здесь	7	3
110	и то	2	3
111	в себе	21	3
112	это только	2	3
113	здесь не	3	3
114	а это	2	3
115	в одном	4	3
116	я не	6	2
117	и есть	9	2
118	никогда не	5	2
119	отсюда следует	2	2
120	и все	7	2
121	чтобы дать	2	2
122	в каждом	3	2
123	на самом	3	2
124	вопрос о	2	2
125	по себе	2	2
126	быть в	4	2
127	в смысле	6	2
128	в то	3	2
129	для нас	4	2
130	и того	2	2
131	как и	5	2
132	и как	2	2
133	но все	5	2
134	это есть	2	2
135	лишь как	2	2
136	же время	2	2
137	ли это	2	2
138	в это	2	2
139	и мы	2	2
140	конечно не	7	2
141	в своей	10	2
142	от себя	10	2
143	в контексте	5	2
144	о нем	4	2
145	себе и	3	2
146	был бы	3	2
147	и тем	3	2
148	ни в	12	2
149	в современной	3	2
150	были бы	2	2
151	и именно	2	2
152	дело не	2	2
153	бы и	3	2
154	смысле и	2	2
155	смысл и	6	2
156	он не	6	2
157	и для	9	2
158	целом и	3	2
159	лишь в	8	2
160	не имеет	5	2
161	другое дело	2	2
162	от этого	2	2
163	может иметь	2	2
164	чтобы быть	2	2
165	в каком	4	2
166	что я	5	2
167	но ведь	5	2
168	и под	2	2
169	до конца	3	2
170	смысл в	3	2
171	ничего не	3	2
172	но в	5	2
173	это было	2	2
