N	2gram	Propp_Russ_2	Psycholo
1	и в	29	38
2	то что	5	35
3	в том	22	25
4	что в	22	20
5	может быть	13	19
6	и что	5	18
7	что она	3	16
8	том что	22	14
9	как бы	18	14
10	и т	5	14
11	потому что	5	14
12	в этой	3	13
13	в этом	11	13
14	было бы	3	12
15	не только	10	12
16	таким образом	6	12
17	не в	4	12
18	что это	3	10
19	то же	4	10
20	и все	4	10
21	того чтобы	6	9
22	все же	2	8
23	с тем	6	8
24	с этим	2	8
25	для нас	6	8
26	как и	11	8
27	так что	4	8
28	и как	2	8
29	из этого	2	8
30	для того	6	8
31	и то	2	8
32	с другой	2	7
33	в ее	3	7
34	а не	4	7
35	не может	5	7
36	как мы	3	7
37	а в	9	7
38	между тем	3	7
39	все то	2	7
40	из них	4	6
41	мы видели	7	6
42	она не	3	6
43	один из	2	6
44	в котором	3	6
45	не имеет	3	6
46	с одной	2	6
47	так как	13	6
48	как это	4	6
49	и на	6	6
50	в которых	4	6
51	о том	9	6
52	там где	2	6
53	на этом	3	5
54	одной стороны	2	5
55	совершенно не	2	5
56	в своей	2	5
57	вместе с	6	5
58	но и	8	5
59	или в	7	5
60	мы не	6	5
61	в которой	2	5
62	никогда не	2	4
63	если он	2	4
64	при этом	6	4
65	не можем	2	4
66	что с	2	4
67	и для	2	4
68	во всех	3	4
69	но если	3	4
70	что и	2	4
71	ее в	8	4
72	как в	7	4
73	т д	5	4
74	в течение	2	4
75	все эти	3	4
76	здесь мы	2	4
77	того что	3	4
78	из которых	2	4
79	в своих	2	4
80	одна из	11	4
81	в виду	2	4
82	в них	4	3
83	та же	2	3
84	из этих	2	3
85	главным образом	3	3
86	к этому	5	3
87	совсем не	2	3
88	и о	3	3
89	должен быть	2	3
90	не к	2	3
91	все это	10	3
92	то и	4	3
93	прав когда	2	3
94	в таком	4	3
95	того как	2	3
96	тем что	3	3
97	состоит в	15	3
98	далеко не	4	3
99	в то	2	3
100	его в	8	3
101	полагает что	2	3
102	что по	4	3
103	но в	5	3
104	в данном	6	2
105	видели что	4	2
106	и другие	14	2
107	в этих	3	2
108	между собой	2	2
109	из нее	2	2
110	в глаза	2	2
111	с этой	2	2
112	на самом	2	2
113	показывает что	8	2
114	и ее	2	2
115	же в	6	2
116	до конца	3	2
117	уже не	4	2
118	у нас	4	2
119	по существу	4	2
120	у них	2	2
121	есть в	2	2
122	что здесь	3	2
123	очевидно что	2	2
124	то время	2	2
125	здесь в	2	2
126	должен был	3	2
127	но он	3	2
128	к ней	2	2
129	для этого	5	2
130	дело не	2	2
131	данном случае	7	2
132	говорит о	2	2
133	так же	4	2
134	в виде	4	2
135	а с	2	2
136	должны были	2	2
137	мы рассмотрим	4	2
138	это имеет	2	2
139	и по	3	2
140	в качестве	3	2
141	их в	4	2
142	одно из	2	2
143	таком виде	2	2
144	представляет собой	2	2
145	которые с	2	2
146	представляют собой	7	2
147	когда мы	2	2
148	заметить что	2	2
149	в эту	3	2
