N	2gram	Trubetskoy_1	Sovremen
1	не может	17	17
2	точки зрения	13	12
3	может быть	16	12
4	таким образом	31	11
5	в этом	12	7
6	и в	23	7
7	и не	8	6
8	как и	9	6
9	в результате	9	6
10	мы можем	6	6
11	что же	2	5
12	прежде всего	3	5
13	все эти	19	5
14	и наконец	3	5
15	с точки	8	5
16	как бы	10	4
17	мы видели	2	4
18	если мы	4	4
19	в целом	5	4
20	жизни и	2	4
21	вместе с	6	4
22	это не	3	4
23	а в	3	4
24	вопрос о	3	4
25	не только	7	4
26	в том	30	4
27	в дальнейшем	2	4
28	их в	2	4
29	из них	5	4
30	точку зрения	2	4
31	мы должны	4	4
32	так как	7	4
33	состоит из	4	3
34	все же	13	3
35	на этой	2	3
36	отнюдь не	2	3
37	при таком	2	3
38	между собой	4	3
39	может не	3	3
40	все это	11	3
41	отличается от	6	3
42	не подлежит	3	3
43	в конце	4	3
44	то же	4	3
45	ясно что	8	3
46	в нем	3	3
47	и к	5	3
48	из двух	2	3
49	для нас	3	3
50	у нас	3	3
51	не в	8	3
52	в этой	6	3
53	одна из	2	3
54	еще не	5	3
55	при этом	9	3
56	было бы	3	3
57	и т.д	4	3
58	и все	7	3
59	в себе	5	3
60	в области	4	3
61	но в	4	3
62	и потому	3	3
63	совершенно не	3	2
64	в настоящее	2	2
65	этих двух	2	2
66	только один	2	2
67	не могут	4	2
68	что это	5	2
69	не менее	7	2
70	в виде	4	2
71	у него	5	2
72	можно назвать	3	2
73	быть и	5	2
74	в нашем	3	2
75	то и	2	2
76	из этих	8	2
77	тем же	2	2
78	из одного	2	2
79	что все	5	2
80	с одной	3	2
81	как мы	2	2
82	и будет	2	2
83	в свою	2	2
84	самом деле	12	2
85	и что	8	2
86	что при	6	2
87	из которых	4	2
88	и по	3	2
89	тем не	4	2
90	мы знаем	10	2
91	он должен	2	2
92	конечно в	2	2
93	то ни	3	2
94	в таком	4	2
95	но все	5	2
96	такой же	2	2
97	во всяком	2	2
98	свою очередь	2	2
99	на этом	2	2
100	знаем что	8	2
101	с этим	11	2
102	как известно	3	2
103	что в	8	2
104	настоящее время	2	2
105	говорить о	2	2
106	с другом	9	2
107	тот же	3	2
108	в один	2	2
109	с общим	2	2
110	если же	3	2
111	в самом	8	2
112	друг с	9	2
113	в которой	5	2
114	отличие от	3	2
115	в его	5	2
116	подлежит сомнению	3	2
117	всяком случае	2	2
