N	2gram	Berdyaev_O_1	Psycholo
1	то что	5	37
2	и в	19	30
3	в том	5	27
4	что в	4	24
5	потому что	9	23
6	том что	2	21
7	для того	3	20
8	того чтобы	4	20
9	как бы	3	19
10	что он	3	17
11	не только	11	16
12	в самом	5	14
13	в этом	12	14
14	может быть	11	11
15	о том	3	10
16	никогда не	9	9
17	не может	4	9
18	и то	2	9
19	сказать что	2	9
20	так как	2	9
21	с тем	2	8
22	не в	11	8
23	а не	11	8
24	того что	3	8
25	могут быть	3	8
26	по себе	2	7
27	в нем	10	7
28	все же	2	7
29	уже в	2	6
30	в своем	2	6
31	как и	6	6
32	и для	2	6
33	но и	13	6
34	что все	2	6
35	и не	13	6
36	и его	4	6
37	тем что	2	6
38	и есть	3	5
39	и потому	2	5
40	в этой	5	5
41	что они	2	5
42	еще не	3	5
43	было бы	3	5
44	когда он	3	5
45	в своих	3	5
46	в себе	3	5
47	но в	2	5
48	от него	7	4
49	и все	10	4
50	прежде всего	9	4
51	и к	2	4
52	мысль о	2	4
53	в своей	2	4
54	в его	7	4
55	не есть	2	4
56	а в	5	4
57	должен был	2	4
58	не могли	2	4
59	не могут	3	3
60	у него	22	3
61	что у	2	3
62	хотя бы	3	3
63	это не	3	3
64	к этому	2	3
65	вопрос о	10	3
66	так что	2	3
67	для него	5	3
68	он не	7	3
69	в ее	2	3
70	что и	2	3
71	так и	2	3
72	и о	2	3
73	человека в	11	3
74	но он	7	3
75	и на	2	3
76	в другом	2	3
77	в этих	3	3
78	в которой	2	3
79	с которой	2	2
80	с его	4	2
81	в душе	2	2
82	он в	2	2
83	их не	2	2
84	он был	8	2
85	до конца	7	2
86	чем в	2	2
87	все это	6	2
88	что есть	2	2
89	и вот	3	2
90	и он	8	2
91	должно быть	2	2
92	ничего не	2	2
93	и с	2	2
94	даже и	2	2
95	совсем не	2	2
96	на периферии	2	2
97	все эти	4	2
98	и ни	2	2
