N	2gram	Bakhtin_Fr_2	Hudozhes
1	в мире	2	23
2	в качестве	2	19
3	то есть	32	18
4	и не	15	16
5	в том	3	15
6	и в	49	15
7	не только	17	15
8	может быть	5	13
9	при этом	5	12
10	а в	4	12
11	и его	17	12
12	но не	5	11
13	в этом	15	11
14	в себе	4	11
15	как бы	11	10
16	но и	13	10
17	так и	6	10
18	то же	7	10
19	такого рода	2	9
20	в его	18	9
21	точки зрения	6	9
22	с другой	4	7
23	в то	6	7
24	но в	4	7
25	с его	5	6
26	что в	2	6
27	в ее	3	6
28	том что	4	6
29	же время	6	6
30	отношение к	8	6
31	не может	7	6
32	могут быть	2	5
33	можно сказать	2	5
34	ни в	3	5
35	только в	13	5
36	в самом	3	5
37	в нем	9	5
38	с ее	3	5
39	то что	6	5
40	и т.п	11	5
41	другой стороны	3	5
42	в их	2	5
43	место в	3	4
44	в этих	4	4
45	прежде всего	19	4
46	в другом	2	4
47	для него	9	4
48	еще не	2	4
49	хотя и	2	4
50	в своей	5	4
51	в форме	4	4
52	как к	2	4
53	отношения к	4	4
54	сказать что	6	4
55	и т.д	2	4
56	в отношении	2	3
57	в противоположность	2	3
58	что он	3	3
59	и к	4	3
60	в пределах	2	3
61	перед лицом	2	3
62	о чем	3	3
63	далеко не	3	3
64	к нему	3	3
65	так в	3	3
66	таким образом	7	3
67	как и	11	3
68	лишь в	4	3
69	с точки	5	3
70	их в	3	3
71	автора и	2	3
72	но он	6	3
73	в художественном	2	3
74	в произведении	2	3
75	в области	4	3
76	в виду	3	3
77	и более	4	2
78	в нашем	2	2
79	жизни в	3	2
80	в своем	5	2
81	в них	13	2
82	превращается в	3	2
83	и особенно	3	2
84	в одном	3	2
85	человека и	3	2
86	вовсе не	10	2
87	вследствие этого	2	2
88	для понимания	2	2
89	в литературе	6	2
90	роль в	5	2
91	есть в	2	2
92	одна из	4	2
93	времени и	6	2
94	в значительной	3	2
95	с их	6	2
96	одной стороны	3	2
97	несмотря на	3	2
98	никто не	2	2
99	значительной степени	2	2
100	за пределы	2	2
101	во всех	6	2
102	и о	4	2
103	одной из	2	2
104	и потому	5	2
105	даже в	3	2
106	и др	9	2
107	по преимуществу	2	2
108	и прежде	2	2
109	здесь не	2	2
110	в романе	9	2
111	с одной	3	2
112	именно в	6	2
113	все эти	7	2
114	это и	2	2
115	в себя	6	2
116	в году	13	2
117	того чтобы	2	2
118	так же	2	2
119	с ним	4	2
120	и на	17	2
121	нового времени	4	2
122	у него	2	2
123	в этой	10	2
124	о том	3	2
125	и это	3	2
126	художественной литературы	2	2
127	мире и	3	2
