N	2gram	Bakhtin_Pr_2	Russkaja
1	не может	18	22
2	и не	29	19
3	в том	6	17
4	в этом	13	17
5	и в	43	14
6	с другом	4	14
7	друг с	4	14
8	то что	7	13
9	самим собой	3	12
10	таким образом	5	11
11	то же	8	11
12	точки зрения	13	11
13	же время	5	10
14	но и	14	10
15	в то	7	10
16	том что	2	9
17	не только	11	9
18	в себе	5	9
19	с точки	8	9
20	может быть	23	9
21	во всяком	2	9
22	прежде всего	10	8
23	к тому	4	7
24	самом деле	5	7
25	о том	5	7
26	и с	5	7
27	если бы	3	6
28	что он	13	6
29	и к	3	6
30	и при	2	6
31	для него	8	6
32	все это	5	6
33	в своем	4	6
34	и для	3	6
35	в своих	2	6
36	себя и	3	5
37	между собой	2	5
38	хотя бы	2	5
39	вопрос о	2	5
40	на то	5	5
41	и на	10	5
42	или иной	3	5
43	при этом	6	5
44	до сих	7	5
45	было бы	5	5
46	конечно не	2	5
47	в своей	4	5
48	он не	9	5
49	никогда не	9	5
50	в нем	12	5
51	сих пор	7	5
52	во всех	4	5
53	а между	2	5
54	и только	3	5
55	по существу	3	5
56	а в	5	5
57	только в	4	5
58	между тем	3	5
59	а лишь	2	4
60	но не	5	4
61	не могут	4	4
62	что в	4	4
63	как и	14	4
64	более или	3	4
65	как бы	22	4
66	себе и	4	4
67	все же	3	4
68	себя в	3	4
69	или менее	3	4
70	что же	7	4
71	в их	3	4
72	приводит к	6	4
73	не в	11	4
74	можно было	3	4
75	и то	2	4
76	во всем	3	4
77	в его	10	4
78	его в	3	4
79	так как	4	4
80	он сам	3	3
81	что это	2	3
82	на том	2	3
83	в большинстве	9	3
84	из этих	2	3
85	в конце	2	3
86	что может	2	3
87	да и	5	3
88	и как	2	3
89	в другом	7	3
90	лишь в	8	3
91	так чтобы	4	3
92	должно быть	4	3
93	еще не	9	3
94	в самом	7	3
95	той или	3	3
96	для этого	2	3
97	то это	2	3
98	что и	3	3
99	не есть	2	3
100	и т	13	3
101	из них	2	3
102	того что	2	3
103	или в	8	3
104	тем что	3	3
105	в виде	3	3
106	конце концов	2	3
107	одна из	2	3
108	а с	2	2
109	сама по	4	2
110	должна быть	3	2
111	у него	6	2
112	его и	2	2
113	с этим	2	2
114	этот вопрос	4	2
115	к себе	7	2
116	по себе	11	2
117	бы ни	2	2
118	ни в	2	2
119	уже не	3	2
120	так что	5	2
121	но это	4	2
122	есть и	3	2
123	указывает на	2	2
124	отличается от	2	2
125	настоящее время	2	2
126	она не	3	2
127	совершенно не	4	2
128	от друга	2	2
129	и о	2	2
130	но для	3	2
131	и является	2	2
132	в котором	6	2
133	в настоящее	2	2
134	отношении к	2	2
135	на почве	2	2
136	если же	4	2
137	для себя	2	2
138	друг от	2	2
139	себя на	2	2
140	для нас	2	2
141	быть и	2	2
142	ее в	2	2
143	целый ряд	2	2
144	всем этим	2	2
145	по отношению	5	2
146	отношения к	2	2
147	все эти	5	2
148	только на	3	2
149	и что	5	2
150	а не	7	2
151	что такое	2	2
152	и наконец	6	2
153	и даже	3	2
154	к нему	5	2
155	так же	2	2
156	в таком	2	2
157	том же	4	2
158	в результате	4	2
159	их в	4	2
160	мы можем	2	2
161	на себя	2	2
162	с самим	8	2
163	мы уже	3	2
164	во время	4	2
165	в этих	6	2
166	большинстве случаев	8	2
167	с ним	3	2
168	себя как	3	2
169	но в	10	2
