N	2gram	Vygotskiy__2	OGranits
1	и в	15	13
2	и его	4	12
3	прежде всего	4	9
4	не может	9	8
5	и не	7	8
6	может быть	9	8
7	и их	5	7
8	и т.п	7	7
9	точки зрения	26	7
10	в его	2	7
11	таким образом	14	6
12	не только	15	6
13	то что	20	6
14	только в	4	6
15	мы должны	6	6
16	как бы	7	6
17	все же	4	5
18	с точки	18	5
19	языка и	3	5
20	и эта	2	5
21	но ведь	2	5
22	хотя бы	4	5
23	и т.д	12	5
24	в процессе	11	5
25	то же	5	4
26	не является	9	4
27	но мы	3	4
28	в своей	4	4
29	все это	4	4
30	лишь в	3	4
31	мы не	10	4
32	мы можем	10	4
33	было бы	10	4
34	но в	6	4
35	связана с	4	3
36	отношению к	5	3
37	что в	14	3
38	никогда не	8	3
39	но и	10	3
40	так и	8	3
41	понятно что	2	3
42	что же	2	3
43	в их	2	3
44	по отношению	6	3
45	и все	3	3
46	в одном	2	3
47	точку зрения	6	3
48	со всей	4	3
49	самом деле	6	3
50	как и	6	3
51	не в	8	3
52	за пределы	2	3
53	в которой	4	3
54	в себе	2	3
55	говорить о	2	3
56	с этим	3	3
57	и для	2	3
58	общего с	2	3
59	так как	4	3
60	но для	2	3
61	и др	5	2
62	для себя	3	2
63	уже в	5	2
64	с этой	2	2
65	и тем	2	2
66	ее в	2	2
67	во всей	5	2
68	в целом	10	2
69	о языке	2	2
70	данном случае	3	2
71	а не	3	2
72	что эта	6	2
73	в отношении	6	2
74	с другой	6	2
75	в них	4	2
76	в связи	6	2
77	а в	4	2
78	речи не	2	2
79	с одной	7	2
80	в течение	2	2
81	в полном	2	2
82	все эти	3	2
83	этой проблемы	2	2
84	вовсе не	6	2
85	те же	3	2
86	в книге	2	2
87	к тому	7	2
88	и к	6	2
89	как в	4	2
90	если бы	8	2
91	в общем	3	2
92	не имеет	4	2
93	в том	33	2
94	так же	4	2
95	том что	27	2
96	в зависимости	6	2
97	мы видим	4	2
98	с помощью	5	2
99	в данном	3	2
100	человеческой речи	12	2
101	зависимости от	6	2
102	что они	3	2
103	в этом	19	2
104	от этого	2	2
105	тем что	2	2
106	могут быть	2	2
107	при этом	3	2
108	смысле слова	5	2
109	и ее	3	2
110	для него	3	2
111	в другом	2	2
112	во всем	2	2
113	тот же	7	2
114	одной стороны	7	2
115	несмотря на	4	2
116	мы уже	6	2
117	в самом	11	2
118	которое мы	3	2
119	там где	6	2
120	только его	2	2
121	на язык	2	2
122	является уже	2	2
123	а также	2	2
