N	2gram	Tiupa_Anal_2	EvropaiE
1	и в	16	37
2	в пределах	9	25
3	точки зрения	4	23
4	что в	2	21
5	не только	16	18
6	с точки	2	17
7	в то	2	16
8	то же	4	15
9	в своем	4	14
10	в качестве	11	14
11	же время	2	14
12	но и	12	14
13	и не	12	14
14	но в	6	14
15	в этом	18	12
16	в их	3	11
17	в том	12	11
18	так и	15	10
19	отнюдь не	8	9
20	прежде всего	3	9
21	не может	4	9
22	т е	2	9
23	в себе	7	9
24	только в	4	9
25	так же	2	9
26	к тому	7	8
27	одной стороны	4	8
28	было бы	3	8
29	в своей	2	8
30	с одной	5	8
31	между тем	2	8
32	как и	14	7
33	того что	2	7
34	а также	7	7
35	с другой	6	7
36	вовсе не	2	6
37	том что	12	6
38	может быть	6	6
39	вслед за	2	6
40	на то	2	6
41	как бы	10	6
42	то что	7	6
43	во всех	4	6
44	и даже	9	6
45	и на	6	6
46	то есть	9	6
47	в частности	16	5
48	столь же	4	5
49	не в	4	5
50	но не	4	5
51	одной из	3	5
52	со стороны	3	5
53	как мы	3	5
54	тем самым	4	5
55	именно в	3	4
56	или иного	3	4
57	или иной	3	4
58	можно сказать	4	4
59	несмотря на	3	4
60	в самом	6	4
61	той или	3	4
62	даже в	2	4
63	по себе	2	4
64	не имеет	2	4
65	сказать что	2	4
66	того или	3	4
67	как это	6	4
68	место в	3	3
69	и к	5	3
70	этом отношении	3	3
71	уже и	2	3
72	никогда не	3	3
73	вообще не	2	3
74	на себя	5	3
75	этом смысле	2	3
76	в общем	2	3
77	представляет собой	8	3
78	того же	4	3
79	из них	3	3
80	себе не	2	3
81	и тем	4	3
82	что и	3	3
83	говорит о	5	3
84	во второй	4	3
85	как в	4	3
86	и для	2	3
87	в таком	2	3
88	можно было	3	3
89	в результате	3	3
90	тем что	3	3
91	в данном	8	3
92	о том	7	3
93	всего лишь	8	3
94	что все	2	2
95	а не	10	2
96	в этих	2	2
97	еще более	2	2
98	в случае	2	2
99	и во	2	2
100	и все	3	2
101	в одном	2	2
102	что на	3	2
103	в сторону	5	2
104	есть в	3	2
105	и если	3	2
106	она не	2	2
107	имеет место	4	2
108	по преимуществу	4	2
109	нас к	2	2
110	он не	2	2
111	в его	2	2
112	в котором	2	2
113	не есть	2	2
114	в мире	6	2
115	на уровне	9	2
116	вместе с	2	2
117	данном случае	5	2
118	всего в	2	2
119	иначе говоря	11	2
120	а в	3	2
121	таким образом	2	2
122	если бы	3	2
123	частности в	2	2
124	в значительной	2	2
125	или точнее	2	2
126	на этот	2	2
127	другой стороны	2	2
128	на основе	2	2
129	или в	3	2
130	хотя и	4	2
131	могут быть	10	2
132	в этой	9	2
133	ведь и	2	2
134	и то	3	2
135	как будто	3	2
136	в рассуждении	2	2
137	бы в	3	2
138	в эту	3	2
