N	2gram	Losev_Prob_1	Problemy
1	и в	32	43
2	и не	31	29
3	может быть	14	23
4	как бы	14	22
5	не может	8	18
6	но и	9	14
7	как и	3	14
8	и т	11	13
9	точки зрения	3	13
10	в этом	19	13
11	что он	7	13
12	в нем	13	12
13	не в	4	11
14	по себе	15	11
15	не только	17	11
16	прежде всего	10	10
17	и на	8	10
18	но в	14	10
19	в его	6	10
20	как мы	7	10
21	никогда не	7	9
22	еще не	9	9
23	в сущности	2	9
24	он не	3	9
25	для него	2	8
26	то же	10	8
27	с точки	3	8
28	и его	3	8
29	или в	4	8
30	перед нами	5	7
31	до сих	3	7
32	в него	2	7
33	в самом	6	7
34	в то	6	7
35	то что	42	7
36	сих пор	3	7
37	что же	9	7
38	а не	15	7
39	в этих	3	6
40	в том	9	6
41	при этом	6	6
42	в котором	5	6
43	и все	7	6
44	не как	2	6
45	о нем	3	6
46	здесь не	7	6
47	на то	8	5
48	да и	3	5
49	так что	6	5
50	хотя и	6	5
51	к нему	3	5
52	все это	7	5
53	таким образом	6	5
54	все эти	8	5
55	а в	4	5
56	и с	2	5
57	но ведь	3	5
58	вовсе не	35	5
59	о том	11	5
60	но не	9	5
61	было бы	8	5
62	мы увидим	3	5
63	никак не	4	5
64	и что	9	5
65	самом деле	6	5
66	сам по	7	5
67	в себе	15	5
68	не могут	2	4
69	сама по	4	4
70	что в	12	4
71	в своем	5	4
72	с другой	3	4
73	слово о	2	4
74	к тому	3	4
75	в самой	3	4
76	но это	8	4
77	между собою	7	4
78	т д	10	4
79	должно быть	2	4
80	в результате	2	4
81	их в	4	4
82	же и	3	4
83	но он	3	4
84	так как	11	4
85	то есть	33	4
86	или как	3	4
87	с его	2	4
88	с собой	2	4
89	в них	7	4
90	как его	2	4
91	совершенно не	6	4
92	в своей	8	4
93	и до	2	4
94	во всех	7	4
95	не на	3	4
96	на этот	3	4
97	мы не	2	4
98	как раз	13	4
99	только в	7	4
100	далеко не	5	4
101	и это	9	4
102	не менее	19	3
103	мы будем	2	3
104	что если	2	3
105	в отношении	3	3
106	это не	6	3
107	есть и	3	3
108	он сам	2	3
109	или иной	5	3
110	есть в	5	3
111	более или	3	3
112	я вам	2	3
113	кроме того	2	3
114	но для	3	3
115	и следовательно	3	3
116	той или	5	3
117	в виду	6	3
118	здесь нет	2	3
119	образом и	2	3
120	в их	4	3
121	и только	4	3
122	в одно	4	3
123	и даже	11	3
124	он и	8	3
125	и здесь	6	3
126	ни на	4	3
127	его в	6	3
128	с ним	3	3
129	между тем	2	3
130	в жизни	3	3
131	сознания и	2	3
132	если бы	4	3
133	по существу	2	3
134	того же	3	3
135	здесь в	3	3
136	она не	2	3
137	со всеми	2	3
138	мы уже	5	3
139	в конкретном	2	3
140	не хочет	3	3
141	за пределы	6	3
142	так и	12	3
143	или менее	3	3
144	только на	4	3
145	уже не	3	3
146	другой стороны	3	3
147	также и	11	3
148	и для	4	3
149	можно было	3	3
150	ничего не	10	3
151	тем что	7	3
152	в виде	15	3
153	могут быть	2	3
154	и ее	8	3
155	в эту	2	3
156	уже в	3	2
157	из этих	2	2
158	в конце	6	2
159	что может	2	2
160	себе но	3	2
161	тем не	18	2
162	как же	3	2
163	для нас	5	2
164	ни в	7	2
165	без всякого	2	2
166	и как	6	2
167	но все	3	2
168	мы и	4	2
169	мы здесь	2	2
170	что это	3	2
171	для построения	2	2
172	например в	2	2
173	из подполья	2	2
174	что такое	6	2
175	и очень	2	2
176	и является	7	2
177	в настоящее	3	2
178	себе что	2	2
179	сказать о	2	2
180	для чего	2	2
181	на том	4	2
182	то и	6	2
183	для этого	3	2
184	того что	7	2
185	этих случаях	3	2
186	мы наблюдаем	2	2
187	так же	9	2
188	особенно в	2	2
189	в которых	3	2
190	сказать что	13	2
191	и так	2	2
192	именно как	4	2
193	собою и	2	2
194	и еще	3	2
195	что тут	4	2
196	настоящее время	3	2
197	из них	3	2
198	как он	4	2
199	в первом	2	2
200	во всяком	7	2
201	я и	2	2
202	говорили что	2	2
203	уже и	3	2
204	с этим	3	2
205	раз и	9	2
206	этом смысле	6	2
207	нельзя сказать	2	2
208	конечно в	2	2
209	об этом	10	2
210	сознании и	4	2
211	у нас	14	2
212	и при	2	2
213	по своему	9	2
214	ведь это	2	2
215	указывает на	14	2
216	не нужно	3	2
217	на себя	2	2
218	и о	8	2
219	конце концов	4	2
220	для себя	3	2
221	и особенно	2	2
222	не есть	29	2
223	и пр	4	2
224	дело в	3	2
225	быть и	3	2
226	ее в	2	2
227	как в	4	2
228	это вовсе	2	2
229	входит в	4	2
230	если мы	11	2
231	он есть	4	2
232	том что	12	2
233	что не	3	2
234	хотя бы	3	2
235	и всегда	2	2
236	в таком	9	2
237	что этот	2	2
238	и то	6	2
239	мы можем	4	2
240	того как	3	2
