N	2gram	Bakhtin_Fr_5	OGranits
1	и в	45	13
2	и его	13	12
3	прежде всего	10	9
4	не может	5	8
5	и не	15	8
6	может быть	2	8
7	и их	5	7
8	и т.п	16	7
9	точки зрения	4	7
10	в его	13	7
11	таким образом	8	6
12	не только	14	6
13	то что	2	6
14	только в	4	6
15	как бы	12	6
16	все же	2	5
17	с точки	2	5
18	хотя бы	2	5
19	в поэзии	3	5
20	и т.д	2	5
21	и наконец	2	5
22	то же	11	4
23	но мы	2	4
24	в своей	3	4
25	все это	7	4
26	в каждом	2	4
27	еще и	3	4
28	на фоне	2	4
29	лишь в	2	4
30	мы не	4	4
31	мы можем	2	4
32	было бы	2	4
33	но в	14	4
34	что в	12	3
35	но и	10	3
36	так и	6	3
37	в их	4	3
38	и все	7	3
39	в одном	3	3
40	точку зрения	2	3
41	превращается в	2	3
42	самом деле	5	3
43	тела и	3	3
44	как и	10	3
45	не в	7	3
46	не столько	2	3
47	в пределах	2	3
48	говорить о	2	3
49	с этим	4	3
50	и для	3	3
51	так как	6	3
52	еще в	2	2
53	не менее	3	2
54	и др	8	2
55	в нем	10	2
56	и наиболее	2	2
57	и отчасти	2	2
58	в целом	2	2
59	связанных с	3	2
60	своего рода	4	2
61	данном случае	2	2
62	а не	4	2
63	что эта	2	2
64	в этот	2	2
65	в отношении	2	2
66	г по	2	2
67	во времени	2	2
68	от всех	5	2
69	в них	6	2
70	в связи	5	2
71	а в	4	2
72	в течение	3	2
73	все эти	5	2
74	вовсе не	8	2
75	роль в	2	2
76	конечно в	2	2
77	к тому	2	2
78	и к	5	2
79	как в	3	2
80	в общем	4	2
81	в чем	2	2
82	не имеет	3	2
83	в г	2	2
84	в том	10	2
85	так же	8	2
86	не мог	4	2
87	том что	7	2
88	мы видим	5	2
89	языка но	2	2
90	с помощью	3	2
91	в данном	2	2
92	в этом	14	2
93	от этого	2	2
94	между тем	2	2
95	при этом	2	2
96	чем же	4	2
97	нуждается в	3	2
98	связанные с	3	2
99	для него	3	2
100	форм и	5	2
101	в другом	3	2
102	несмотря на	2	2
103	мы уже	4	2
104	слова и	2	2
105	в самом	4	2
106	там где	3	2
107	бы в	4	2
108	между собою	4	2
109	в ней	8	2
110	а также	4	2
