N	2gram	Losev_Vesc_1	Myshleni
1	то что	27	26
2	в этом	4	25
3	потому что	16	21
4	таким образом	8	19
5	в том	8	18
6	не может	17	18
7	точки зрения	5	18
8	того чтобы	3	17
9	что в	9	16
10	и в	21	16
11	того что	8	16
12	так как	7	16
13	не только	36	16
14	том что	8	15
15	понятий и	2	15
16	для того	2	14
17	в сущности	4	13
18	сказать что	17	13
19	и не	29	12
20	и что	15	12
21	в его	2	11
22	из того	2	11
23	но не	5	10
24	было бы	14	10
25	как мы	4	10
26	а не	19	10
27	в силу	3	10
28	только в	14	10
29	в отношении	4	9
30	может быть	16	9
31	с точки	3	9
32	должно быть	6	8
33	о том	6	8
34	как это	2	8
35	в основе	3	8
36	если бы	5	8
37	как и	8	8
38	мы должны	2	8
39	то же	6	8
40	и есть	26	7
41	в нем	2	7
42	но он	2	7
43	того же	5	7
44	так и	3	7
45	по себе	13	7
46	если мы	8	7
47	что все	2	6
48	не в	5	6
49	в этой	3	6
50	и следовательно	7	6
51	но если	8	6
52	но и	18	6
53	что оно	8	6
54	в мысли	3	6
55	но в	5	6
56	у него	2	6
57	к тому	3	6
58	в той	3	6
59	мы можем	4	6
60	в другом	2	6
61	должна быть	4	5
62	никогда не	2	5
63	тому что	2	5
64	в своем	6	5
65	что они	6	5
66	для него	4	5
67	как бы	12	5
68	в сфере	4	5
69	хотя бы	6	5
70	еще более	2	5
71	в то	3	5
72	с ним	8	5
73	тогда когда	5	5
74	сравнению с	6	5
75	по сравнению	7	5
76	можно сказать	6	5
77	тот же	3	5
78	мысли и	3	5
79	только что	2	5
80	можно было	2	5
81	это значит	24	5
82	тем что	2	5
83	ничего не	3	5
84	значит что	24	5
85	что между	2	4
86	все эти	3	4
87	с другой	6	4
88	это не	5	4
89	с этой	4	4
90	сама по	3	4
91	а только	3	4
92	так что	5	4
93	это есть	7	4
94	в свою	4	4
95	в самом	9	4
96	и их	7	4
97	в свете	7	4
98	оба эти	3	4
99	и другое	4	4
100	что мы	14	4
101	в результате	3	4
102	бы в	5	4
103	мы видим	2	4
104	вообще не	2	4
105	еще не	8	4
106	не есть	49	4
107	той же	2	4
108	тому как	4	4
109	и то	10	4
110	не то	4	4
111	подобно тому	4	4
112	не менее	3	3
113	прежде всего	9	3
114	в смысле	12	3
115	и как	8	3
116	но это	10	3
117	самом деле	4	3
118	свою очередь	4	3
119	одной стороны	3	3
120	но что	2	3
121	в действительности	7	3
122	и тем	3	3
123	то как	2	3
124	его и	2	3
125	от того	3	3
126	еще и	8	3
127	с одной	3	3
128	а в	4	3
129	и с	8	3
130	говорить о	6	3
131	по своей	2	3
132	в первом	2	3
133	как она	4	3
134	мы не	6	3
135	с тем	5	3
136	только не	2	3
137	содержится в	3	3
138	с этим	3	3
139	в одном	2	3
140	этих двух	2	3
141	все же	4	3
142	и того	2	3
143	по существу	2	3
144	это и	6	3
145	то в	4	3
146	и может	2	3
147	никак не	3	3
148	что и	3	3
149	на этом	2	3
150	как я	4	3
151	в себя	13	3
152	вот почему	3	3
153	что значит	8	3
154	и его	2	3
155	сознательно и	2	3
156	в чем	6	3
157	как с	4	3
158	я не	4	2
159	себя и	4	2
160	больше того	4	2
161	что у	5	2
162	может ли	2	2
163	и от	3	2
164	к одному	3	2
165	целиком и	2	2
166	не говорит	2	2
167	в ней	12	2
168	в виду	2	2
169	совершенно не	5	2
170	в котором	3	2
171	только один	2	2
172	в своей	5	2
173	из них	4	2
174	тот момент	2	2
175	что она	15	2
176	мы говорили	2	2
177	все это	5	2
178	другой стороны	2	2
179	то и	4	2
180	но только	3	2
181	совершенно ясно	2	2
182	свое время	2	2
183	что только	3	2
184	и даже	6	2
185	или не	2	2
186	все равно	2	2
187	и здесь	4	2
188	их в	3	2
189	это будет	3	2
190	быть совершенно	2	2
191	на их	2	2
192	в жизни	3	2
193	вовсе не	10	2
194	его в	2	2
195	стороны и	2	2
196	есть не	14	2
197	не с	7	2
198	то это	3	2
199	и эти	2	2
200	у нас	7	2
201	что я	24	2
202	бы сказать	2	2
203	жизни и	2	2
204	в первой	2	2
205	в свое	2	2
206	и потому	5	2
207	только к	2	2
208	во всех	2	2
209	сделать это	2	2
210	находится в	3	2
211	только на	3	2
212	а с	3	2
213	но с	2	2
214	должны быть	4	2
215	ничто не	2	2
216	от всякого	4	2
217	во всяком	3	2
218	ни на	3	2
219	ту же	2	2
220	мы говорим	5	2
221	эти теории	2	2
222	знает что	2	2
