N	2gram	Vygotskiy__1	VLabPisa
1	таким образом	26	27
2	в этом	17	26
3	и в	23	25
4	не только	16	22
5	может быть	14	21
6	хотя бы	4	20
7	и не	9	19
8	не может	12	17
9	в его	14	15
10	в процессе	8	14
11	прежде всего	10	13
12	в том	24	13
13	этом отношении	4	13
14	в частности	2	12
15	все это	6	12
16	как это	2	12
17	с другой	10	11
18	в силу	6	11
19	в качестве	9	10
20	о том	6	10
21	как видим	2	9
22	к этому	4	9
23	об этом	3	9
24	что в	14	9
25	для него	2	9
26	но и	14	9
27	то же	8	9
28	все эти	4	8
29	на основании	5	8
30	в своем	3	8
31	другой стороны	9	8
32	могут быть	3	8
33	из этих	3	7
34	как и	14	7
35	том что	21	7
36	было бы	4	7
37	отношению к	7	7
38	из современных	2	7
39	во всех	3	7
40	вместе с	9	7
41	по отношению	7	7
42	а не	3	7
43	в себе	6	6
44	то что	17	6
45	главным образом	2	6
46	том же	2	6
47	в зависимости	2	6
48	так и	5	6
49	бы и	2	6
50	и его	6	6
51	их в	4	6
52	между тем	9	6
53	в то	7	6
54	в результате	4	5
55	думается что	5	5
56	тому что	5	5
57	же время	2	5
58	все же	3	5
59	и при	2	5
60	зависимости от	2	5
61	как говорит	2	5
62	связи с	3	5
63	как бы	11	5
64	один из	2	5
65	в их	3	5
66	приводит к	4	5
67	сказать что	11	5
68	только в	6	5
69	не в	4	5
70	не является	9	5
71	к тому	4	4
72	никогда не	2	4
73	перед нами	5	4
74	в одном	4	4
75	в целом	20	4
76	что все	4	4
77	что он	7	4
78	с его	4	4
79	можно сказать	5	4
80	в ее	2	4
81	в своей	4	4
82	в самом	7	4
83	даже в	2	4
84	должен быть	4	4
85	когда он	2	4
86	как раз	4	4
87	в них	2	4
88	показывают что	3	4
89	вот почему	2	4
90	в этой	7	4
91	в противоположность	2	3
92	и к	4	3
93	всех этих	2	3
94	и ее	7	3
95	с тем	7	3
96	и как	5	3
97	и от	3	3
98	в конце	2	3
99	силу этого	3	3
100	человека и	3	3
101	одном из	2	3
102	только что	4	3
103	по существу	4	3
104	мы видели	2	3
105	что они	3	3
106	с этим	6	3
107	вслед за	2	3
108	в котором	4	3
109	жизни и	2	3
110	ее в	2	3
111	именно в	6	3
112	этой проблемы	8	3
113	этот вопрос	3	3
114	в значительной	2	3
115	того что	15	3
116	так же	16	3
117	его не	3	3
118	в слове	2	3
119	в которых	3	3
120	как на	4	3
121	точки зрения	26	3
122	она не	3	3
123	фактического материала	3	3
124	бы в	5	3
125	что говорит	2	3
126	на вопрос	2	2
127	в самых	3	2
128	связана с	2	2
129	к сожалению	2	2
130	вовсе не	3	2
131	по себе	5	2
132	показывает что	3	2
133	от них	2	2
134	что его	2	2
135	а затем	5	2
136	до сих	4	2
137	и потому	2	2
138	но не	4	2
139	смысле слова	3	2
140	как известно	3	2
141	в пользу	4	2
142	из основных	3	2
143	одной стороны	9	2
144	же самое	3	2
145	для того	15	2
146	в общем	3	2
147	который по	2	2
148	если бы	5	2
149	том чтобы	3	2
150	действительность в	2	2
151	что она	4	2
152	и даже	2	2
153	всяком случае	3	2
154	на эти	3	2
155	что для	5	2
156	он может	2	2
157	сих пор	4	2
158	от того	6	2
159	может не	3	2
160	во всей	4	2
161	а в	2	2
162	начиная с	2	2
163	с одной	8	2
164	что оно	3	2
165	в течение	2	2
166	заключается в	8	2
167	того чтобы	17	2
168	из которых	3	2
169	от до	4	2
170	между ними	2	2
171	к этим	2	2
172	мышления в	8	2
173	другом месте	6	2
174	можно было	3	2
175	с другими	2	2
176	в своих	5	2
177	не столько	4	2
178	во всяком	3	2
179	хотя и	2	2
180	лишь в	6	2
181	он в	3	2
182	он не	5	2
183	этого рода	2	2
184	к его	2	2
185	говорить о	2	2
186	в другом	7	2
187	что мы	5	2
188	этого положения	2	2
189	как он	3	2
190	в чем	4	2
191	в которой	3	2
192	в области	3	2
193	же как	6	2
194	тогда когда	3	2
195	о чем	2	2
196	но в	5	2
