N	2gram	Trubetskoy_1	PoTuStor
1	может быть	10	17
2	и в	26	16
3	прежде всего	2	9
4	таким образом	22	9
5	и проч	2	9
6	в этом	15	9
7	мы можем	2	9
8	и только	4	9
9	и с	10	8
10	точки зрения	13	8
11	не может	4	8
12	с его	2	7
13	сказать что	2	7
14	не только	10	7
15	и это	2	6
16	и к	5	6
17	с точки	6	6
18	для него	3	6
19	при этом	3	6
20	конечно не	2	6
21	только для	2	5
22	отношение к	5	5
23	все эти	6	5
24	еще не	2	5
25	как бы	12	5
26	с самого	3	4
27	самого начала	2	4
28	в нем	4	4
29	но и	9	4
30	так и	6	4
31	все это	6	4
32	хотя бы	3	4
33	и все	2	4
34	так как	9	4
35	и не	8	4
36	можно сказать	3	4
37	и наконец	2	4
38	и даже	3	4
39	и на	2	4
40	в этой	4	4
41	все что	2	4
42	только в	4	4
43	для всех	2	4
44	но в	7	4
45	в его	5	4
46	во время	4	3
47	в этих	4	3
48	по сравнению	2	3
49	что в	9	3
50	жизни и	2	3
51	во всех	2	3
52	вместе с	15	3
53	сих пор	5	3
54	сравнению с	2	3
55	в одном	3	3
56	те же	2	3
57	учение о	4	3
58	крайней мере	5	3
59	в том	11	3
60	а в	4	3
61	том что	7	3
62	и как	3	3
63	с другими	4	3
64	то что	7	3
65	по крайней	5	3
66	в общем	8	3
67	в области	9	3
68	во всяком	6	3
69	и потому	6	3
70	до сих	5	3
71	всяком случае	6	3
72	не менее	3	2
73	один из	2	2
74	не могут	2	2
75	что и	6	2
76	ни было	2	2
77	же как	3	2
78	связанных с	2	2
79	никогда не	5	2
80	для этого	2	2
81	в них	2	2
82	того же	6	2
83	с этой	3	2
84	из этих	10	2
85	и таким	3	2
86	то же	4	2
87	что оно	4	2
88	к этому	3	2
89	что он	4	2
90	в одно	2	2
91	что мы	2	2
92	и по	4	2
93	и для	5	2
94	так же	5	2
95	друг на	2	2
96	путь к	3	2
97	по своему	2	2
98	он не	4	2
99	всех других	2	2
100	на друга	2	2
101	в начале	2	2
102	со всеми	2	2
103	что это	3	2
104	связанные с	7	2
105	о том	6	2
106	в самом	4	2
107	и о	3	2
108	к ним	3	2
109	можно назвать	2	2
110	и действительно	2	2
