N	2gram	Vinokur_St_3	OGranits
1	и в	25	13
2	и его	3	12
3	прежде всего	10	9
4	не может	7	8
5	и не	10	8
6	может быть	19	8
7	точки зрения	7	7
8	и пр	13	7
9	в его	12	7
10	таким образом	10	6
11	не только	12	6
12	то что	12	6
13	только в	6	6
14	как бы	6	6
15	все же	4	5
16	с точки	4	5
17	в поэзии	2	5
18	и наконец	3	5
19	то же	5	4
20	не является	3	4
21	в своей	4	4
22	все это	8	4
23	в каждом	4	4
24	лишь в	4	4
25	мы не	2	4
26	было бы	7	4
27	но в	5	4
28	в выборе	2	4
29	произведения как	2	4
30	связана с	4	3
31	что в	19	3
32	никогда не	2	3
33	но и	9	3
34	так и	5	3
35	в их	3	3
36	не как	2	3
37	точку зрения	2	3
38	самом деле	2	3
39	как и	4	3
40	не в	6	3
41	в которой	4	3
42	не столько	2	3
43	г в	6	3
44	говорить о	3	3
45	с этим	7	3
46	и для	4	3
47	так как	3	3
48	слово в	2	3
49	не менее	2	2
50	и др	4	2
51	уже в	3	2
52	с этой	3	2
53	а как	4	2
54	самого начала	2	2
55	и тем	4	2
56	ее в	2	2
57	в целом	4	2
58	своего рода	3	2
59	а не	5	2
60	что эта	2	2
61	в отношении	2	2
62	другой стороны	5	2
63	с другой	5	2
64	в языке	8	2
65	не на	2	2
66	в них	5	2
67	в связи	3	2
68	а в	6	2
69	с одной	2	2
70	в течение	4	2
71	все эти	3	2
72	вовсе не	2	2
73	с самого	2	2
74	к тому	2	2
75	и к	4	2
76	как в	6	2
77	если бы	4	2
78	в общем	4	2
79	в чем	4	2
80	не имеет	2	2
81	в г	12	2
82	в том	20	2
83	не мог	2	2
84	том что	15	2
85	мы видим	4	2
86	в своих	8	2
87	что они	2	2
88	в этом	24	2
89	тем что	19	2
90	между тем	6	2
91	могут быть	2	2
92	к сожалению	2	2
93	и ее	2	2
94	для него	3	2
95	в другом	3	2
96	одной стороны	3	2
97	и может	2	2
98	несмотря на	3	2
99	в области	6	2
100	в самом	2	2
101	нужно отметить	2	2
102	на язык	3	2
103	между собою	2	2
104	в ней	4	2
105	а также	4	2
