N	2gram	Vinokur_St_3	Poddanst
1	не только	12	17
2	и в	25	14
3	и не	10	12
4	в области	6	11
5	в отношении	2	10
6	в этом	24	10
7	то же	5	9
8	в том	20	9
9	в качестве	4	9
10	но в	5	9
11	же время	3	7
12	в то	7	7
13	только в	6	7
14	но и	9	6
15	в ней	4	6
16	в смысле	4	6
17	xix века	4	6
18	было бы	7	6
19	с другой	5	5
20	не в	6	5
21	в которых	2	5
22	и пр	13	5
23	может быть	19	5
24	в котором	5	4
25	то что	12	4
26	что в	19	4
27	если бы	4	4
28	не может	7	4
29	но также	2	4
30	россии и	2	4
31	и к	4	4
32	а в	6	4
33	том что	15	4
34	и если	3	4
35	в русской	6	4
36	а также	4	4
37	как бы	6	4
38	и т	8	3
39	с тем	4	3
40	в россии	6	3
41	это не	7	3
42	с одной	2	3
43	т е	8	3
44	прежде всего	10	3
45	заключается в	2	3
46	для того	2	3
47	с точки	4	3
48	мы не	2	3
49	между тем	6	3
50	но не	2	3
51	к л	2	3
52	могут быть	2	3
53	точки зрения	7	3
54	что мы	3	3
55	одной стороны	3	3
56	потому что	5	3
57	я и	3	3
58	не менее	2	2
59	и тем	4	2
60	во всех	2	2
61	тем более	3	2
62	со стороны	3	2
63	в них	5	2
64	все это	8	2
65	как раз	3	2
66	не столько	2	2
67	д д	2	2
68	с этим	7	2
69	в жизни	4	2
70	между прочим	3	2
71	и других	2	2
72	а не	5	2
73	того что	5	2
74	как на	6	2
75	в определенную	2	2
76	говорить о	3	2
77	если в	2	2
78	в русском	2	2
79	есть в	2	2
80	одна из	2	2
81	в виде	3	2
82	г и	12	2
83	не было	4	2
84	в начале	4	2
85	в общем	4	2
86	с о	3	2
87	например в	4	2
88	и это	5	2
89	в статье	2	2
90	в эту	4	2
91	что из	2	2
92	в его	12	2
93	в выборе	2	2
94	и с	4	2
