N	2gram	Vinokur_Ku_1	Formalny
1	т е	38	34
2	и в	24	24
3	в его	12	23
4	прежде всего	9	22
5	и не	12	20
6	так и	7	18
7	и пр	15	17
8	не может	7	16
9	точки зрения	14	16
10	в этом	14	15
11	в нем	4	14
12	может быть	13	14
13	с точки	9	13
14	таким образом	12	13
15	и т	33	12
16	в своем	3	11
17	не менее	7	11
18	как и	2	11
19	должно быть	3	11
20	социальной жизни	2	11
21	в своей	2	11
22	в их	3	11
23	вовсе не	10	10
24	то же	8	10
25	в ней	6	10
26	а не	8	10
27	и его	5	10
28	история литературы	2	9
29	и потому	4	9
30	все это	6	9
31	в то	2	9
32	же время	2	8
33	именно в	6	8
34	в свою	3	8
35	то что	9	8
36	как в	4	8
37	т д	14	8
38	лишь в	2	8
39	и на	4	8
40	не в	11	8
41	и с	5	8
42	должна быть	3	7
43	до конца	2	7
44	не только	10	7
45	но и	6	7
46	на самом	2	7
47	и все	2	6
48	и здесь	3	6
49	было бы	15	6
50	как таковой	2	6
51	в том	30	6
52	в этой	3	6
53	более или	3	6
54	самом деле	9	6
55	свою очередь	3	6
56	до сих	4	6
57	в пределах	4	6
58	еще не	5	6
59	как бы	7	6
60	сих пор	4	6
61	в целом	4	6
62	или менее	3	6
63	а в	5	6
64	все эти	6	6
65	социального общения	3	6
66	как это	3	6
67	хотя бы	10	5
68	должен быть	4	5
69	по себе	2	5
70	у нас	10	5
71	лишь как	2	5
72	при этом	6	5
73	в самом	10	5
74	со стороны	4	5
75	того что	9	5
76	должны быть	2	5
77	с другой	7	5
78	но в	2	5
79	мы увидим	3	4
80	с его	4	4
81	в частности	4	4
82	никогда не	2	4
83	для этого	3	4
84	учение о	4	4
85	и может	3	4
86	если бы	9	4
87	конечно не	2	4
88	всяком случае	5	4
89	оно не	3	4
90	отношению к	9	4
91	так же	4	4
92	по отношению	8	4
93	т п	18	4
94	в связи	3	4
95	что в	17	4
96	только и	3	4
97	целом и	2	4
98	как на	3	4
99	в которой	6	4
100	с этой	2	4
101	во всяком	5	4
102	в истории	3	4
103	как о	2	4
104	но не	5	3
105	связи с	7	3
106	в них	7	3
107	ясно что	3	3
108	или иного	3	3
109	что он	6	3
110	с помощью	7	3
111	смысле этого	3	3
112	к тому	5	3
113	это и	4	3
114	и как	2	3
115	зависимости от	6	3
116	в большинстве	2	3
117	в каждом	2	3
118	так например	2	3
119	в общем	3	3
120	на язык	4	3
121	он не	2	3
122	один из	4	3
123	все же	12	3
124	же в	4	3
125	когда он	3	3
126	значение и	2	3
127	в особенности	3	3
128	не было	3	3
129	сводится к	3	3
130	тем самым	4	3
131	и даже	3	3
132	между ними	2	3
133	целый ряд	5	3
134	они не	3	3
135	в себе	3	3
136	этого слова	3	3
137	роли в	2	3
138	здесь не	3	3
139	так сказать	5	3
140	бы в	7	3
141	в области	7	3
142	под влиянием	3	2
143	того или	4	2
144	нисколько не	3	2
145	и более	2	2
146	с тем	5	2
147	в зависимости	5	2
148	иначе как	2	2
149	это не	7	2
150	с этим	4	2
151	в одном	3	2
152	в системе	3	2
153	что было	2	2
154	вопрос о	2	2
155	идет о	2	2
156	том чтобы	8	2
157	указать на	4	2
158	а только	8	2
159	ни в	2	2
160	в самой	4	2
161	уже не	8	2
162	по существу	4	2
163	но все	2	2
164	в противовес	3	2
165	если мы	2	2
166	только в	11	2
167	и если	3	2
168	общения и	2	2
169	е как	4	2
170	как раз	8	2
171	и является	4	2
172	была бы	3	2
173	однако не	6	2
174	не с	3	2
175	что и	4	2
176	не есть	4	2
177	вместе с	7	2
178	не на	4	2
179	прав когда	2	2
180	и что	5	2
181	литературе и	2	2
182	в науке	4	2
183	науки о	3	2
184	ни одного	2	2
185	есть лишь	3	2
186	или иначе	2	2
187	так называемым	2	2
188	в результате	5	2
189	между тем	5	2
190	от этого	2	2
191	даже и	3	2
192	на его	3	2
193	к которому	3	2
194	ничего не	2	2
195	но ведь	2	2
196	с ним	5	2
197	и должно	2	2
198	как с	2	2
199	что такое	6	2
