N	2gram	Propp_Isto_3	DiskursI
1	при этом	2	17
2	состоит в	3	16
3	в качестве	2	16
4	и в	22	16
5	может быть	11	16
6	как и	3	16
7	в этом	17	16
8	и не	12	15
9	а не	6	14
10	в частности	5	12
11	представляет собой	3	11
12	но и	12	11
13	но в	10	11
14	том что	8	10
15	не только	14	10
16	со стороны	3	10
17	так и	2	9
18	не может	4	9
19	в том	9	8
20	а также	2	8
21	как в	2	8
22	не менее	5	7
23	прежде всего	3	7
24	в нем	9	7
25	ни в	2	7
26	но не	7	7
27	в данном	4	7
28	еще не	10	6
29	все же	5	6
30	данном случае	3	6
31	то же	6	6
32	что в	15	5
33	в своем	2	5
34	с другой	7	5
35	то что	7	5
36	и на	4	5
37	в то	2	5
38	в одном	2	4
39	одного из	2	4
40	к этому	7	4
41	в пределах	4	4
42	одной стороны	2	4
43	отношению к	2	4
44	по отношению	2	4
45	с одной	2	4
46	роль в	2	4
47	потому что	3	4
48	точки зрения	2	4
49	в этой	5	4
50	и то	2	4
51	о том	3	4
52	могут быть	5	3
53	в этих	11	3
54	в них	6	3
55	это не	6	3
56	из этих	3	3
57	и все	3	3
58	уже не	7	3
59	и как	3	3
60	не в	4	3
61	можно сказать	2	3
62	например в	2	3
63	он не	5	3
64	в его	3	3
65	в русской	3	3
66	в котором	2	3
67	к жизни	2	3
68	из них	7	3
69	жизни и	2	3
70	но она	2	3
71	и ее	3	3
72	не было	2	3
73	все эти	4	3
74	и его	4	3
75	но это	3	3
76	в другом	2	3
77	как будто	2	3
78	только в	4	3
79	его в	3	3
80	одном из	3	3
81	же как	2	2
82	никогда не	3	2
83	в целом	3	2
84	этом случае	5	2
85	стороны и	3	2
86	указать на	2	2
87	что на	4	2
88	что он	9	2
89	такой же	2	2
90	это еще	2	2
91	отношение к	4	2
92	живет в	5	2
93	в ней	2	2
94	далеко не	3	2
95	не с	2	2
96	что и	9	2
97	вместе с	9	2
98	с ней	6	2
99	там же	2	2
100	другой стороны	7	2
101	и для	2	2
102	а в	6	2
103	той же	2	2
104	их в	3	2
105	и с	4	2
106	или по	5	2
107	и это	2	2
108	здесь не	3	2
109	мы имеем	19	2
110	между тем	2	2
