N	2gram	Voloshinov_1	Myshleni
1	в том	2	33
2	том что	2	27
3	точки зрения	7	26
4	то что	6	20
5	в этом	2	19
6	с точки	5	18
7	и в	13	15
8	не только	6	15
9	что в	3	14
10	таким образом	6	14
11	человеческой речи	2	12
12	и т.д	5	12
13	в самом	2	11
14	в процессе	5	11
15	в целом	2	10
16	но и	3	10
17	было бы	4	10
18	мы не	4	10
19	мы можем	4	10
20	может быть	8	9
21	не является	4	9
22	не может	8	9
23	так и	3	8
24	никогда не	3	8
25	не в	3	8
26	если бы	2	8
27	к тому	2	7
28	одной стороны	2	7
29	с одной	2	7
30	и не	8	7
31	как бы	6	7
32	тот же	2	7
33	и т.п	7	7
34	в отношении	2	6
35	точку зрения	3	6
36	мы уже	2	6
37	по отношению	3	6
38	в связи	2	6
39	с другой	2	6
40	мы должны	6	6
41	но в	4	6
42	в зависимости	2	6
43	вовсе не	2	6
44	и к	2	6
45	как и	3	6
46	зависимости от	2	6
47	самом деле	3	6
48	что эта	2	6
49	там где	2	6
50	уже в	2	5
51	смысле слова	2	5
52	и др	2	5
53	и их	7	5
54	с помощью	2	5
55	отношению к	3	5
56	то же	4	5
57	во всей	2	5
58	связана с	3	4
59	прежде всего	9	4
60	несмотря на	2	4
61	все это	4	4
62	в них	2	4
63	не имеет	2	4
64	так же	2	4
65	а в	2	4
66	так как	3	4
67	все же	5	4
68	со всей	3	4
69	мы видим	2	4
70	в своей	4	4
71	как в	2	4
72	хотя бы	5	4
73	и его	12	4
74	только в	6	4
75	в которой	3	4
76	что они	2	3
77	для него	2	3
78	при этом	2	3
79	в общем	2	3
80	но мы	4	3
81	данном случае	2	3
82	языка и	5	3
83	все эти	2	3
84	те же	2	3
85	лишь в	4	3
86	и все	3	3
87	с этим	3	3
88	для себя	2	3
89	а не	2	3
90	в данном	2	3
91	и ее	2	3
92	которое мы	2	3
93	понятно что	3	2
94	с этой	2	2
95	в полном	2	2
96	только его	2	2
97	на язык	2	2
98	является уже	2	2
99	и тем	2	2
100	могут быть	2	2
101	в их	3	2
102	этой проблемы	2	2
103	о языке	2	2
104	но для	3	2
105	говорить о	3	2
106	но ведь	5	2
107	во всем	2	2
108	а также	2	2
109	в одном	3	2
110	от этого	2	2
111	в книге	2	2
112	речи не	2	2
113	общего с	3	2
114	за пределы	3	2
115	в его	7	2
116	ее в	2	2
117	что же	3	2
118	и для	3	2
119	в течение	2	2
120	и эта	5	2
121	тем что	2	2
122	в себе	3	2
123	в другом	2	2
