N	2gram	Potebnia_M_1	SlovoVZh
1	не может	22	16
2	точки зрения	8	14
3	может быть	27	14
4	и его	5	13
5	как бы	6	13
6	таким образом	13	12
7	и в	39	12
8	отношению к	13	11
9	по отношению	13	11
10	и не	18	10
11	если бы	14	9
12	так как	21	9
13	прежде всего	4	8
14	для нас	9	7
15	сказать что	3	7
16	в нем	20	6
17	при этом	6	6
18	в том	26	6
19	только в	25	6
20	слова и	4	6
21	в ней	7	6
22	в жизни	3	5
23	то что	10	5
24	должна быть	3	5
25	никогда не	4	5
26	а не	21	5
27	то же	6	5
28	хотя бы	2	5
29	как и	9	5
30	том что	16	5
31	как в	10	5
32	что мы	4	5
33	и следовательно	2	5
34	но в	9	5
35	в виду	2	5
36	ни было	2	4
37	все же	6	4
38	жизни и	2	4
39	так и	13	4
40	от того	4	4
41	с другой	7	4
42	уже не	2	4
43	что не	10	4
44	не в	15	4
45	в этом	15	4
46	дело в	2	4
47	в самом	3	4
48	за пределы	2	4
49	не только	21	4
50	в них	3	3
51	и более	2	3
52	бы то	2	3
53	не менее	6	3
54	в своей	3	3
55	то ни	3	3
56	и по	6	3
57	и вообще	3	3
58	по себе	10	3
59	но и	20	3
60	того что	8	3
61	тем не	6	3
62	он должен	2	3
63	так же	5	3
64	мы не	10	3
65	и с	3	3
66	о том	2	3
67	нуждается в	2	3
68	в каком	6	3
69	в себе	13	3
70	для него	4	3
71	еще не	6	3
72	только на	3	3
73	и для	5	3
74	из этого	2	3
75	с ним	3	3
76	между тем	5	3
77	с этой	2	2
78	они ни	2	2
79	зависит от	5	2
80	что и	6	2
81	в душе	11	2
82	независимо от	6	2
83	но все	2	2
84	что в	22	2
85	на все	2	2
86	вместе с	8	2
87	в этих	7	2
88	на него	3	2
89	все они	2	2
90	в своем	3	2
91	нет ничего	2	2
92	другой стороны	5	2
93	что слово	3	2
94	это не	7	2
95	влияние на	2	2
96	и все	3	2
97	бы не	6	2
98	тогда когда	9	2
99	с одной	3	2
100	была бы	2	2
101	связь с	2	2
102	его к	2	2
103	и что	10	2
104	ко всем	2	2
105	слова но	2	2
106	не есть	10	2
107	словом и	2	2
108	не так	3	2
109	с точки	3	2
110	как на	3	2
111	стороны и	2	2
112	и притом	4	2
113	но это	5	2
114	и то	3	2
115	тем как	3	2
116	мы можем	2	2
117	но не	8	2
118	быть только	5	2
119	могут быть	9	2
120	но тем	3	2
121	есть уже	3	2
122	со словом	3	2
123	она не	3	2
124	в то	4	2
125	одной стороны	3	2
126	мы в	2	2
127	если же	5	2
128	и самое	2	2
129	имеет место	2	2
130	там где	4	2
131	которые мы	5	2
132	оно не	3	2
133	бы даже	2	2
134	к ним	2	2
135	он не	3	2
136	в его	5	2
137	и потому	5	2
138	относится к	3	2
139	из него	2	2
