N	2gram	Tiupa_Hudo_1	Vvedenie
1	и в	19	32
2	в том	18	31
3	в этом	11	30
4	может быть	14	26
5	том что	8	26
6	не только	16	22
7	для того	2	21
8	того чтобы	2	20
9	таким образом	3	19
10	то что	4	16
11	потому что	3	15
12	не может	7	14
13	в самом	5	13
14	в нем	5	13
15	о том	2	13
16	со стороны	2	13
17	того что	4	12
18	в их	5	12
19	и не	15	12
20	представляет собой	10	12
21	в его	9	12
22	только в	5	12
23	в ее	5	11
24	в данном	4	11
25	что в	6	10
26	но в	7	9
27	и как	3	9
28	между тем	4	9
29	этом смысле	3	9
30	по себе	2	9
31	то же	10	9
32	в той	3	9
33	не менее	3	8
34	с другой	7	8
35	это не	2	8
36	а только	4	8
37	тем не	3	8
38	не в	7	8
39	именно в	2	8
40	прежде всего	4	7
41	точки зрения	10	7
42	но не	11	7
43	из этих	3	6
44	же время	5	6
45	один из	2	6
46	но и	10	6
47	все это	2	6
48	в то	6	6
49	его в	2	6
50	вовсе не	2	6
51	как и	2	6
52	в качестве	24	6
53	а именно	2	6
54	и его	12	6
55	и это	2	6
56	в какой	2	5
57	как бы	9	5
58	и тем	2	5
59	в целом	3	5
60	другой стороны	5	5
61	с их	2	5
62	сказать что	4	5
63	в них	2	5
64	об этом	2	5
65	по своему	2	5
66	на почве	3	5
67	а не	9	5
68	могут быть	4	5
69	как уже	2	4
70	особого рода	5	4
71	времени и	2	4
72	одной стороны	2	4
73	о чем	2	4
74	так или	3	4
75	в тексте	9	4
76	по отношению	9	4
77	с одной	2	4
78	и что	3	4
79	а в	12	4
80	одно из	2	4
81	как это	5	4
82	мы имеем	6	4
83	что он	3	4
84	еще не	3	4
85	отношению к	9	4
86	в своей	5	4
87	как раз	3	4
88	уже не	4	4
89	и для	2	4
90	или иначе	4	4
91	и то	4	4
92	и ее	3	4
93	в себе	9	4
94	быть названо	2	4
95	и т.д	3	4
96	истории литературы	2	3
97	сама по	2	3
98	в частности	13	3
99	в этих	3	3
100	можно сказать	5	3
101	к тому	4	3
102	что может	2	3
103	в этой	2	3
104	при этом	13	3
105	такого рода	10	3
106	от себя	3	3
107	хотя и	3	3
108	в конечном	5	3
109	не вполне	2	3
110	в виду	5	3
111	к нему	3	3
112	отношение к	5	3
113	дело не	2	3
114	что она	2	3
115	в своем	2	3
116	все эти	2	3
117	заключается в	2	3
118	так же	2	3
119	и на	2	3
120	культуры в	2	3
121	языка в	4	3
122	говорить о	3	3
123	если бы	3	3
124	однако в	4	3
125	не как	2	3
126	и к	3	3
127	в чем	2	3
128	одной из	2	3
129	в одном	2	3
130	своей природе	2	3
131	а также	5	3
132	что и	2	3
133	своего рода	5	3
134	в текстах	2	3
135	может служить	2	3
136	времени в	2	3
137	может оказаться	2	3
138	в каком	2	3
139	в области	6	3
140	и другие	2	2
141	к действительности	3	2
142	никогда не	2	2
143	тому что	2	2
144	в отношении	3	2
145	или иной	7	2
146	мог бы	3	2
147	и др	2	2
148	жизни как	3	2
149	в форме	4	2
150	что можно	3	2
151	этого термина	2	2
152	во втором	4	2
153	в принципе	5	2
154	не столько	3	2
155	не следует	4	2
156	той или	4	2
157	так и	11	2
158	художественной литературы	2	2
159	ни к	2	2
160	состоит в	16	2
161	большей части	2	2
162	не с	2	2
163	того же	2	2
164	во всех	3	2
165	без остатка	2	2
166	или иным	3	2
167	этого слова	2	2
168	быть и	2	2
169	входит в	4	2
170	тогда как	13	2
171	между ними	4	2
172	с точки	3	2
173	в другом	3	2
174	однако с	2	2
175	здесь не	2	2
176	одна из	2	2
