N	2gram	Losev_Prob_5	RusskieA
1	и в	30	29
2	что в	5	22
3	том что	17	22
4	в том	12	22
5	как бы	6	18
6	в других	3	15
7	и другие	3	14
8	может быть	7	13
9	так как	6	13
10	как и	7	11
11	в этом	17	11
12	и с	5	10
13	не только	18	10
14	о том	12	9
15	а в	6	9
16	но и	13	8
17	ее в	2	8
18	его в	6	8
19	данном случае	2	7
20	как в	2	7
21	или в	4	7
22	с тем	5	6
23	мы не	2	6
24	же в	3	6
25	еще не	3	6
26	для того	3	6
27	для нас	10	6
28	вместе с	7	6
29	таким образом	13	6
30	при этом	4	6
31	того чтобы	2	6
32	и на	6	6
33	в данном	2	6
34	мы имеем	2	6
35	на земле	9	5
36	представление о	2	5
37	потому что	13	5
38	это не	2	5
39	к этому	2	5
40	то что	18	5
41	и что	6	5
42	но не	7	5
43	не может	5	5
44	или же	2	5
45	земли и	2	5
46	будто бы	5	5
47	но в	9	5
48	именно в	3	4
49	в них	2	4
50	и все	9	4
51	не все	2	4
52	тогда когда	4	4
53	уже не	6	4
54	по существу	2	4
55	так что	11	4
56	не в	7	4
57	из них	2	4
58	к нему	3	4
59	а также	3	4
60	говорится что	2	4
61	так же	5	4
62	то и	2	4
63	то же	2	4
64	у нас	7	4
65	а не	5	4
66	из земли	4	4
67	в таком	2	4
68	в виде	10	4
69	далеко не	4	4
70	что от	3	3
71	тем что	2	3
72	в качестве	4	3
73	не всегда	3	3
74	в году	5	3
75	в ее	3	3
76	что здесь	2	3
77	и другой	2	3
78	того что	3	3
79	было бы	4	3
80	и о	5	3
81	в котором	2	3
82	на землю	7	3
83	только тогда	3	3
84	а именно	12	3
85	все эти	2	3
86	как мы	2	3
87	и после	3	3
88	между тем	2	3
89	xix в	4	3
90	но он	5	3
91	в этой	10	3
92	в таких	2	3
93	не менее	5	2
94	с этой	2	2
95	связи с	7	2
96	об этом	4	2
97	никогда не	7	2
98	по этому	2	2
99	жизни в	4	2
100	с другой	6	2
101	если он	2	2
102	прежде всего	6	2
103	не что	3	2
104	что и	6	2
105	в целях	2	2
106	человека а	2	2
107	нас не	3	2
108	говорит о	7	2
109	кроме того	2	2
110	и как	6	2
111	в европе	2	2
112	совсем не	3	2
113	в глаза	2	2
114	то время	3	2
115	здесь в	2	2
116	после того	3	2
117	для них	3	2
118	бросается в	2	2
119	одной стороны	3	2
120	тем не	5	2
121	из этого	4	2
122	в виду	3	2
123	еще в	5	2
124	один из	2	2
125	все же	9	2
126	в своей	22	2
127	все в	3	2
128	не к	2	2
129	этому поводу	2	2
130	того как	5	2
131	а с	4	2
132	с одной	3	2
133	и для	6	2
134	можно было	2	2
135	жизнь и	3	2
136	быть только	3	2
137	и то	5	2
138	людей и	13	2
139	это время	2	2
140	под названием	4	2
141	что иное	3	2
142	в то	4	2
143	в которой	5	2
144	есть в	2	2
145	иное как	3	2
