N	2gram	Tiupa_Vved_1	Literetu
1	не только	20	24
2	при этом	26	19
3	в качестве	8	17
4	но и	19	17
5	а не	15	16
6	в том	10	16
7	в частности	13	15
8	том что	7	14
9	может быть	18	13
10	тогда как	10	13
11	и не	12	12
12	сознания в	3	12
13	в этом	21	12
14	состоит в	10	11
15	прежде всего	7	11
16	в своем	5	11
17	своего рода	10	11
18	такого рода	16	10
19	то что	6	10
20	художественного письма	7	9
21	или иначе	2	9
22	не в	6	8
23	в целом	3	8
24	и в	13	8
25	в тексте	10	8
26	только в	6	8
27	не менее	4	7
28	коммуникативного события	5	7
29	в его	4	7
30	как бы	4	7
31	уже не	5	7
32	в себе	5	7
33	в рамках	4	6
34	в жизни	4	6
35	как и	11	6
36	на смену	2	6
37	того что	6	6
38	то есть	8	6
39	же время	3	5
40	а также	8	5
41	как в	4	5
42	не может	7	5
43	то же	5	5
44	в отличие	2	5
45	тем самым	5	5
46	одним из	5	5
47	в данном	13	5
48	не столько	4	5
49	в то	4	5
50	отличие от	2	5
51	это не	6	4
52	в случае	2	4
53	в силу	2	4
54	представляет собой	15	4
55	и адресата	2	4
56	но не	5	4
57	еще не	7	4
58	еще в	2	4
59	и тем	2	4
60	все же	6	4
61	в своей	5	4
62	коммуникативное событие	6	4
63	данном случае	6	4
64	со стороны	5	4
65	так и	8	4
66	и т.п	9	4
67	никогда не	4	4
68	всего лишь	5	4
69	лишь в	2	4
70	и его	5	4
71	как раз	2	4
72	в своих	2	4
73	не как	2	4
74	в основе	3	3
75	не было	2	3
76	что в	3	3
77	с другой	5	3
78	одного из	3	3
79	при всей	2	3
80	сводится к	4	3
81	не сводится	4	3
82	одна из	4	3
83	в пределах	2	3
84	например в	2	3
85	в самом	2	3
86	один из	3	3
87	жизни и	7	3
88	ли не	2	3
89	приводит к	2	3
90	по отношению	7	3
91	бы не	2	3
92	а в	6	3
93	таким образом	4	3
94	xix столетия	2	3
95	потому что	5	3
96	он и	2	3
97	но в	6	3
98	по своей	3	3
99	исходя из	2	3
100	также и	4	3
101	далеко не	4	3
102	в области	3	3
103	мира в	8	3
104	от текста	2	2
105	коммуникативном событии	2	2
106	должна быть	2	2
107	для них	3	2
108	отнюдь не	7	2
109	однако в	4	2
110	все они	2	2
111	которая в	3	2
112	по мысли	5	2
113	из этих	3	2
114	подобно тому	2	2
115	но при	5	2
116	и рецептивного	2	2
117	в мире	8	2
118	к тому	6	2
119	тем не	3	2
120	по выражению	2	2
121	тому же	4	2
122	и того	2	2
123	различного рода	3	2
124	или иной	3	2
125	для него	3	2
126	одной стороны	5	2
127	было бы	4	2
128	по поводу	2	2
129	не является	3	2
130	произведение в	2	2
131	не могло	2	2
132	в нем	5	2
133	отношению к	7	2
134	не к	4	2
135	в е	2	2
136	то он	2	2
137	то и	2	2
138	этом отношении	4	2
139	с одной	5	2
140	самом деле	3	2
141	во втором	2	2
142	с легкой	2	2
143	что такое	18	2
144	войне и	2	2
145	в слове	3	2
146	можно было	2	2
147	легкой руки	2	2
148	тому как	2	2
149	в авторском	2	2
150	нового времени	3	2
151	тем что	2	2
152	могут быть	4	2
153	с позиции	2	2
154	как будто	4	2
155	как правило	6	2
156	автора в	5	2
157	о том	5	2
158	как он	2	2
159	которая не	2	2
160	в сознании	4	2
161	нашего времени	2	2
