N	2gram	Medvedev_U_1	Myshleni
1	таким образом	2	26
2	в том	2	24
3	и в	14	23
4	том что	2	21
5	то что	7	17
6	в этом	7	17
7	не только	10	16
8	может быть	6	14
9	но и	4	14
10	как и	3	14
11	в его	2	14
12	не может	7	12
13	с другой	4	10
14	прежде всего	8	10
15	другой стороны	3	9
16	и не	8	9
17	между тем	2	9
18	и с	2	9
19	то же	5	8
20	в этой	4	7
21	в самом	2	7
22	в то	3	7
23	что он	2	7
24	мы не	2	7
25	все это	5	6
26	могли бы	2	6
27	тем что	2	6
28	в себе	2	6
29	только в	2	6
30	по себе	2	5
31	для этого	3	5
32	что мы	2	5
33	если бы	2	5
34	но в	3	5
35	думается что	2	5
36	и т.д	3	5
37	но не	2	4
38	что все	2	4
39	не в	2	4
40	что она	2	4
41	фактов и	2	4
42	не столько	2	4
43	этом отношении	2	4
44	с его	2	4
45	для всех	2	4
46	по существу	2	4
47	было бы	3	4
48	в своей	3	4
49	сих пор	2	4
50	как раз	2	4
51	хотя бы	5	4
52	до сих	2	4
53	мы и	2	3
54	в их	4	3
55	же самое	2	3
56	смысле этого	2	3
57	превращается в	2	3
58	все же	3	3
59	если не	2	3
60	самом деле	2	3
61	а не	10	3
62	и то	3	3
63	могут быть	2	3
64	в области	3	3
65	ничего не	2	3
66	в частности	3	2
67	в конце	2	2
68	как таковой	2	2
69	же время	3	2
70	для него	3	2
71	о чем	2	2
72	как такового	3	2
73	бы и	2	2
74	всех этих	2	2
75	к сожалению	3	2
76	на первый	2	2
77	вот почему	7	2
78	вопроса о	2	2
