N	2gram	Tiupa_Narr_1	FransuaR
1	и в	11	49
2	то есть	9	32
3	прежде всего	4	19
4	в его	6	18
5	не только	31	17
6	и его	10	17
7	и на	5	17
8	и не	23	15
9	в этом	12	15
10	только в	12	13
11	но и	27	13
12	в году	2	13
13	как и	13	11
14	как бы	6	11
15	и т.п	8	11
16	в этой	6	10
17	в романе	2	9
18	для него	4	9
19	в нем	4	9
20	в сущности	2	8
21	все же	4	7
22	один из	6	7
23	жизни и	6	7
24	не может	8	7
25	то же	8	7
26	как мы	2	7
27	на протяжении	7	7
28	именно в	3	6
29	то что	9	6
30	в литературе	4	6
31	же время	4	6
32	времени и	9	6
33	так и	5	6
34	сказать что	2	6
35	и с	3	6
36	точки зрения	5	6
37	в то	4	6
38	с его	4	5
39	никогда не	4	5
40	в своем	3	5
41	из этих	4	5
42	в начале	3	5
43	но не	4	5
44	при этом	19	5
45	может быть	15	5
46	в своей	5	5
47	в особенности	2	5
48	роль в	2	5
49	она была	2	4
50	с другой	2	4
51	в жизни	3	4
52	в себе	6	4
53	том что	7	4
54	одна из	4	4
55	и о	3	4
56	в этих	2	4
57	сих пор	2	4
58	до сих	2	4
59	в форме	2	4
60	не было	3	4
61	а в	13	4
62	лишь в	3	4
63	в области	2	4
64	с ним	2	4
65	но в	7	4
66	но они	3	3
67	о чем	4	3
68	жизни в	2	3
69	в одном	4	3
70	что он	3	3
71	же в	2	3
72	в том	8	3
73	да и	2	3
74	большей или	2	3
75	но именно	3	3
76	из них	4	3
77	в самом	6	3
78	меньшей степени	2	3
79	точка зрения	5	3
80	раз в	2	3
81	с ее	2	3
82	другой стороны	2	3
83	этом отношении	3	3
84	и все	3	3
85	и вот	2	3
86	к нему	4	3
87	так в	4	3
88	также и	3	3
89	их в	3	3
90	о том	4	3
91	одного из	6	2
92	связи с	2	2
93	что в	3	2
94	для них	2	2
95	в нашем	3	2
96	в качестве	14	2
97	не подлежит	2	2
98	та же	2	2
99	что касается	2	2
100	как известно	3	2
101	на то	2	2
102	можно сказать	5	2
103	все что	2	2
104	и после	2	2
105	ничего не	2	2
106	до конца	2	2
107	в пределах	2	2
108	еще не	4	2
109	такого рода	10	2
110	вплоть до	4	2
111	у него	7	2
112	хотя и	4	2
113	в ней	4	2
114	еще в	3	2
115	из наиболее	4	2
116	в мире	4	2
117	вместе с	2	2
118	в связи	2	2
119	ключ к	2	2
120	того чтобы	4	2
121	и даже	2	2
122	особенно в	2	2
123	тому как	3	2
124	во всяком	2	2
125	подобно тому	3	2
126	еще раз	3	2
127	и еще	2	2
128	и т.д	6	2
129	в конце	2	2
130	в произведении	2	2
131	здесь не	2	2
132	всяком случае	2	2
133	мы можем	2	2
