N	2gram	Tiupa_Lite_3	Psycholo
1	и в	16	38
2	то что	12	35
3	все время	3	30
4	в том	12	25
5	в самом	3	25
6	самом деле	3	21
7	что в	2	20
8	может быть	12	19
9	на то	2	16
10	точки зрения	7	16
11	то есть	5	15
12	если бы	2	14
13	том что	8	14
14	как бы	8	14
15	потому что	3	14
16	в этой	8	13
17	в этом	14	13
18	было бы	2	12
19	не только	14	12
20	не в	10	12
21	что он	5	11
22	то же	9	10
23	же самое	2	10
24	и не	22	10
25	с точки	3	9
26	того чтобы	2	9
27	все же	2	8
28	в одном	4	8
29	как и	5	8
30	и как	3	8
31	как раз	2	8
32	для того	2	8
33	с другой	6	7
34	в ее	5	7
35	а не	12	7
36	не может	8	7
37	что у	2	7
38	как мы	2	7
39	а в	5	7
40	между тем	3	7
41	из них	4	6
42	к тому	6	6
43	один из	2	6
44	и если	4	6
45	с одной	4	6
46	как это	3	6
47	и его	6	6
48	и на	2	6
49	о том	6	6
50	там где	3	6
51	я не	2	5
52	одной стороны	4	5
53	несмотря на	2	5
54	совершенно не	3	5
55	в своей	7	5
56	время в	2	5
57	вместе с	5	5
58	но и	14	5
59	другой стороны	2	5
60	в другом	6	5
61	в его	6	5
62	могли бы	2	5
63	никогда не	4	4
64	в свою	2	4
65	при этом	15	4
66	когда он	2	4
67	и для	4	4
68	во всех	2	4
69	в нем	2	4
70	что и	2	4
71	ее в	2	4
72	раз в	2	4
73	в целом	5	4
74	как в	5	4
75	того что	9	4
76	и даже	2	4
77	в своих	2	4
78	в нас	2	4
79	только в	7	4
80	как будто	4	4
81	в себе	6	4
82	место в	4	3
83	первой половине	2	3
84	как на	3	3
85	только для	3	3
86	со всей	2	3
87	к этому	2	3
88	и к	3	3
89	а я	3	3
90	того же	2	3
91	в основе	5	3
92	в стихах	6	3
93	и только	2	3
94	что не	2	3
95	всякий раз	2	3
96	и тем	3	3
97	я говорю	2	3
98	тем что	2	3
99	состоит в	6	3
100	далеко не	2	3
101	в то	9	3
102	его в	2	3
103	здесь не	2	3
104	едва ли	3	3
105	но в	3	3
106	одного из	2	2
107	в данном	4	2
108	все более	2	2
109	отнюдь не	3	2
110	все они	2	2
111	и одновременно	2	2
112	с этой	2	2
113	к своим	2	2
114	в полном	2	2
115	и вместе	2	2
116	и ее	2	2
117	же в	2	2
118	до конца	4	2
119	уже не	3	2
120	у нас	2	2
121	по существу	4	2
122	своей жизни	2	2
123	для него	2	2
124	он все	2	2
125	со всеми	2	2
126	в первой	2	2
127	например в	3	2
128	то это	2	2
129	с ее	3	2
130	данном случае	4	2
131	со стороны	7	2
132	внимание на	2	2
133	не могу	2	2
134	так же	2	2
135	по аналогии	2	2
136	отношения к	3	2
137	в совершенно	2	2
138	еще и	2	2
139	быть не	2	2
140	и вот	2	2
141	и наконец	3	2
142	той же	3	2
143	в качестве	5	2
144	в конце	2	2
145	он в	2	2
146	автора и	2	2
147	одно из	4	2
148	эти слова	2	2
149	к себе	8	2
150	представляет собой	2	2
151	чтобы он	2	2
152	как ты	2	2
153	поэзии и	2	2
154	это будет	2	2
