N	2gram	Bakhtin_KF_1	Psycholo
1	то что	7	44
2	и в	24	33
3	в этом	14	28
4	как бы	9	25
5	потому что	2	24
6	для того	3	23
7	может быть	45	22
8	том что	4	22
9	того чтобы	2	22
10	что в	4	21
11	в том	6	21
12	о том	3	20
13	что он	2	20
14	и мы	2	15
15	что это	3	13
16	и не	26	13
17	все это	10	13
18	и все	7	12
19	было бы	8	12
20	самом деле	3	12
21	он не	6	11
22	не может	27	10
23	в его	40	10
24	если бы	8	10
25	в этой	2	9
26	по себе	2	9
27	то же	5	9
28	для этого	2	8
29	в каком	4	8
30	в своем	16	7
31	для нас	4	7
32	до конца	3	7
33	в нем	28	7
34	и только	6	7
35	не только	5	7
36	тому что	2	6
37	это не	10	6
38	в ней	3	6
39	все эти	10	6
40	точки зрения	12	6
41	на самом	3	6
42	а не	17	6
43	в себе	21	6
44	что эта	2	6
45	никогда не	5	5
46	нисколько не	4	5
47	и как	2	5
48	в целом	10	5
49	мы не	3	5
50	и на	3	5
51	вовсе не	7	5
52	и совершенно	3	5
53	с ним	5	5
54	ясно что	3	5
55	это и	2	5
56	как и	5	5
57	и может	3	5
58	и его	17	5
59	все же	5	5
60	и это	12	5
61	смысла и	2	4
62	я не	6	4
63	и есть	9	4
64	совершенно не	6	4
65	жизни и	8	4
66	смысл и	6	4
67	а в	4	4
68	и других	2	4
69	того что	3	4
70	с тем	2	4
71	в жизни	2	4
72	к этому	2	4
73	даны в	2	4
74	о нем	4	4
75	себя в	8	4
76	не будет	2	4
77	в своей	10	4
78	что не	3	4
79	с точки	9	4
80	жизнь и	2	4
81	могла бы	4	4
82	только в	16	4
83	это было	2	4
84	к которой	2	3
85	в мире	6	3
86	ни в	12	3
87	должно быть	6	3
88	был бы	3	3
89	с ее	2	3
90	и за	2	3
91	но и	9	3
92	конечно не	7	3
93	не было	8	3
94	здесь мы	4	3
95	в своих	3	3
96	и здесь	7	3
97	в то	3	3
98	события в	3	3
99	его в	5	3
100	та же	2	3
101	могло бы	4	3
102	в основе	5	3
103	всех этих	3	3
104	мы получим	2	3
105	в одном	4	3
106	говорить о	2	3
107	но не	12	3
108	ли это	2	3
109	и этот	3	3
110	что и	7	3
111	так и	2	3
112	как в	2	3
113	во всей	4	3
114	дело с	2	3
115	тем самым	4	3
116	из которых	2	3
117	и для	9	3
118	что этот	3	3
119	от этого	2	3
120	тем что	3	3
121	в виде	2	3
122	этого слова	2	3
123	место в	5	2
124	и ясно	2	2
125	бы и	3	2
126	его и	2	2
127	прежде всего	2	2
128	вопрос о	2	2
129	ее и	6	2
130	и конечно	2	2
131	но все	5	2
132	из его	3	2
133	времени и	4	2
134	же время	2	2
135	при этом	4	2
136	и та	2	2
137	себе и	3	2
138	в виду	3	2
139	в котором	24	2
140	один из	2	2
141	которой все	2	2
142	в их	8	2
143	быть не	2	2
144	именно в	5	2
145	не имеет	5	2
146	во всем	7	2
147	не в	12	2
148	и потому	2	2
149	бы не	3	2
150	мы имеем	5	2
151	но в	5	2
152	а как	2	2
153	он может	2	2
154	думать что	2	2
155	и эти	2	2
156	в ее	16	2
157	в это	2	2
158	кажется что	2	2
159	во всех	11	2
160	не по	4	2
161	и когда	2	2
162	и смысл	2	2
163	бы то	2	2
164	ни одно	5	2
165	и именно	2	2
166	со стороны	7	2
167	событие в	5	2
168	а с	2	2
169	сводится к	2	2
170	и она	2	2
171	и эта	2	2
172	хотя бы	4	2
173	и то	2	2
174	и ее	2	2
175	все остальное	2	2
176	только с	3	2
177	едва ли	2	2
178	не потому	2	2
179	ничего не	3	2
