N	3gram	Trubetskoy_1	Myshleni
1	с точки зрения	8	21
2	для того чтобы	7	18
3	в этом случае	4	14
4	в том что	15	13
5	по сравнению с	5	7
6	так же как	3	7
7	в данном случае	3	5
8	с одной стороны	2	5
9	по отношению к	9	5
10	в самом деле	5	4
11	о том что	4	4
12	на то что	7	4
13	не может быть	3	4
14	вместе с тем	2	4
15	заключается в том	2	4
16	и то что	3	3
17	тем не менее	4	3
18	в том и	2	3
19	как и в	2	3
20	до сих пор	8	3
21	в свою очередь	2	2
22	в то время	2	2
23	том что он	2	2
24	мы говорили выше	5	2
25	о которых мы	3	2
26	друг от друга	6	2
27	таким образом в	3	2
28	на самом деле	7	2
29	которых мы говорили	3	2
30	друг с другом	9	2
