N	2gram	Ircho_Kome_2	Vvedenie
1	и т	2	42
2	и в	26	32
3	в том	11	31
4	в этом	10	30
5	может быть	11	26
6	том что	9	26
7	не только	7	22
8	для того	5	21
9	того чтобы	6	20
10	таким образом	6	19
11	то что	6	16
12	потому что	6	15
13	так как	4	15
14	не может	3	14
15	в самом	4	13
16	в нем	6	13
17	о том	6	13
18	со стороны	2	13
19	в их	3	12
20	и не	14	12
21	в его	4	12
22	только в	4	12
23	как мы	4	11
24	ясно что	8	11
25	в ее	2	11
26	что в	9	10
27	но в	3	9
28	в истории	5	9
29	между тем	4	9
30	этом смысле	2	9
31	то же	3	9
32	в той	2	9
33	не менее	4	8
34	с другой	2	8
35	это не	2	8
36	не в	2	8
37	прежде всего	4	7
38	вопрос о	3	7
39	точки зрения	4	7
40	но не	3	7
41	было бы	8	7
42	все же	4	7
43	дело с	3	7
44	можно было	4	7
45	из этих	4	6
46	до сих	2	6
47	же время	3	6
48	н э	7	6
49	один из	5	6
50	но и	10	6
51	все это	3	6
52	в то	6	6
53	его в	4	6
54	как он	3	6
55	с тем	5	6
56	представить себе	3	6
57	вовсе не	2	6
58	как и	4	6
59	в качестве	5	6
60	сих пор	2	6
61	хотя бы	2	6
62	и его	12	6
63	тем что	3	6
64	и это	2	6
65	уже в	4	5
66	в какой	2	5
67	так что	5	5
68	на этот	4	5
69	но если	3	5
70	как бы	2	5
71	в целом	4	5
72	одним из	2	5
73	с их	4	5
74	в них	4	5
75	об этом	2	5
76	в г	17	5
77	по своему	2	5
78	вместе с	9	5
79	т п	2	5
80	в течение	2	5
81	независимо от	5	4
82	с этой	3	4
83	в каждом	3	4
84	одной стороны	2	4
85	о чем	3	4
86	всяком случае	2	4
87	в котором	3	4
88	так или	3	4
89	по отношению	3	4
90	с одной	2	4
91	и что	2	4
92	не имеет	3	4
93	а в	3	4
94	одно из	2	4
95	в первом	2	4
96	как это	4	4
97	мы имеем	2	4
98	от этого	2	4
99	что он	5	4
100	еще не	6	4
101	отношению к	3	4
102	в своей	3	4
103	и для	4	4
104	той же	3	4
105	или иначе	3	4
106	во всяком	2	4
107	и ее	2	4
108	за собой	2	3
109	что это	4	3
110	и есть	2	3
111	в частности	4	3
112	в этих	4	3
113	так называемых	2	3
114	в конце	2	3
115	бы и	2	3
116	к тому	12	3
117	да и	3	3
118	но все	3	3
119	в этой	3	3
120	на этом	2	3
121	хотя и	4	3
122	в ней	3	3
123	не вполне	2	3
124	в виду	2	3
125	то это	2	3
126	к нему	3	3
127	отношение к	2	3
128	из них	7	3
129	что она	2	3
130	до нас	4	3
131	в своем	6	3
132	и на	7	3
133	говорить о	2	3
134	в начале	4	3
135	если бы	9	3
136	однако в	2	3
137	так называемой	3	3
138	к этому	5	3
139	и к	2	3
140	связи с	3	3
141	чем в	2	3
142	одной из	4	3
143	в одном	2	3
144	что и	7	3
145	каждой из	2	3
146	на основании	5	3
147	в в	4	3
148	времени в	2	3
149	второй половины	2	3
150	как будто	4	3
151	ответ на	3	3
152	все время	2	2
153	и другие	2	2
154	тому что	4	2
155	и был	2	2
156	из его	2	2
157	философии и	2	2
158	и сам	3	2
159	из числа	3	2
160	говоря уже	2	2
161	после этого	2	2
162	не говоря	2	2
163	в до	2	2
164	от того	2	2
165	в связи	3	2
166	не было	3	2
167	в принципе	2	2
168	рядом с	2	2
169	не следует	2	2
170	и с	5	2
171	с этим	5	2
172	и здесь	6	2
173	этому времени	2	2
174	бы в	2	2
175	так и	12	2
176	по содержанию	2	2
177	надо было	3	2
178	должна была	2	2
179	того же	3	2
180	во всех	3	2
181	жизни и	3	2
182	ни одна	2	2
183	того как	3	2
184	iv в	34	2
185	из которых	3	2
186	ко времени	3	2
187	мы не	2	2
188	в силу	2	2
189	мы можем	3	2
190	на протяжении	10	2
191	одна из	2	2
