N	2gram	Potebnia_M_3	DiskursI
1	не только	21	28
2	в том	32	23
3	а не	15	22
4	то есть	34	20
5	том что	18	19
6	тогда как	2	19
7	может быть	28	17
8	и в	30	16
9	как и	10	16
10	в этом	10	15
11	еще не	5	14
12	но и	19	14
13	при этом	3	13
14	прежде всего	3	11
15	но не	7	11
16	и не	15	11
17	с другой	7	10
18	как в	10	10
19	далеко не	4	10
20	в нем	9	9
21	отношению к	5	9
22	одной стороны	3	9
23	по отношению	5	9
24	не может	6	9
25	с одной	7	9
26	так и	11	8
27	о том	2	8
28	в его	4	7
29	со стороны	3	7
30	то же	23	7
31	не было	4	7
32	в себе	16	7
33	только в	21	7
34	не в	15	7
35	в своем	5	6
36	и как	5	6
37	к тому	7	5
38	можно сказать	3	5
39	в силу	3	5
40	как бы	3	5
41	в котором	4	5
42	в своей	2	5
43	то что	18	5
44	а с	2	5
45	а в	12	5
46	в их	2	5
47	и на	3	5
48	что в	17	4
49	в них	5	4
50	для себя	3	4
51	не как	2	4
52	что он	6	4
53	уже не	6	4
54	для него	9	4
55	в целом	3	4
56	же время	5	4
57	одной из	2	4
58	связи с	2	4
59	на его	2	4
60	и о	2	4
61	отношение к	2	4
62	что не	8	4
63	в которых	2	4
64	потому что	46	4
65	между тем	9	4
66	могут быть	3	4
67	перед нами	2	3
68	столь же	4	3
69	по себе	16	3
70	что и	13	3
71	в ее	2	3
72	свою очередь	3	3
73	по своему	2	3
74	в свою	3	3
75	с этим	6	3
76	в действительности	5	3
77	в самом	8	3
78	себе не	4	3
79	или на	2	3
80	один из	4	3
81	все же	2	3
82	к содержанию	3	3
83	из них	6	3
84	бы быть	2	3
85	в основании	2	3
86	таким образом	14	3
87	именно в	3	3
88	того что	18	3
89	другой стороны	4	3
90	и даже	2	3
91	сказать что	5	3
92	тем что	7	3
93	точки зрения	2	3
94	в то	10	3
95	тому как	5	3
96	в первом	3	3
97	в произведении	3	3
98	и потому	4	3
99	в каждой	4	3
100	понятие о	2	3
101	слова в	7	2
102	из двух	3	2
103	зависит от	6	2
104	по мере	4	2
105	не менее	5	2
106	и есть	3	2
107	мысли о	2	2
108	и без	7	2
109	в какой	2	2
110	по крайней	5	2
111	и все	3	2
112	в одном	2	2
113	в каждом	3	2
114	это в	2	2
115	к этому	3	2
116	не всегда	2	2
117	с понятием	2	2
118	для понимания	4	2
119	ему в	2	2
120	об этом	2	2
121	крайней мере	5	2
122	есть в	3	2
123	более или	3	2
124	указывает на	6	2
125	так например	2	2
126	что с	2	2
127	в начале	3	2
128	в ряду	3	2
129	например в	6	2
130	оно не	4	2
131	и тем	5	2
132	не есть	17	2
133	в форме	2	2
134	или менее	3	2
135	что же	2	2
136	мысли и	2	2
137	за пределы	2	2
138	целый ряд	2	2
139	к мысли	3	2
140	языка и	2	2
141	уже в	5	2
142	как мы	7	2
143	и что	10	2
144	том чтобы	2	2
145	и по	4	2
146	слово не	5	2
147	и его	4	2
148	говорящего и	3	2
149	или в	3	2
150	не следует	5	2
151	подобно тому	2	2
152	но как	2	2
153	и вообще	3	2
154	что даже	4	2
155	могла бы	2	2
156	не говоря	3	2
157	в этой	2	2
158	так сказать	2	2
159	заметить что	3	2
160	возможно только	3	2
161	в новом	2	2
162	это было	3	2
