N	2gram	Bakhtin_fo_2	Mirosoze
1	может быть	7	30
2	не только	11	29
3	и в	46	28
4	не может	2	28
5	но и	9	25
6	а не	4	25
7	он не	5	24
8	человеческой природы	2	20
9	в этом	22	20
10	не было	3	18
11	у него	9	17
12	не в	9	16
13	потому что	8	16
14	и есть	2	14
15	никогда не	6	14
16	человека и	4	14
17	он был	2	14
18	до конца	2	14
19	в нем	5	13
20	человека в	6	13
21	и он	4	12
22	и это	2	12
23	для него	3	11
24	и не	9	11
25	что в	5	10
26	в своем	5	10
27	в мире	4	10
28	прежде всего	14	10
29	и все	6	10
30	человек не	2	10
31	что он	3	10
32	бога и	2	10
33	было бы	2	10
34	и потому	2	10
35	человек в	2	9
36	но он	2	9
37	с тем	2	9
38	в его	8	9
39	и его	12	9
40	из самых	2	8
41	но не	5	8
42	в котором	4	8
43	не был	2	7
44	в самой	2	7
45	образ человека	2	7
46	того что	3	7
47	в конце	2	7
48	но в	10	7
49	в себе	4	7
50	в том	10	6
51	в этой	2	6
52	все это	6	6
53	лишь в	2	6
54	и на	7	6
55	все в	2	6
56	вместе с	9	6
57	только в	11	6
58	это не	2	5
59	мира и	9	5
60	у нас	2	5
61	как и	8	5
62	то что	7	5
63	нет и	3	5
64	уже в	4	4
65	в этих	3	4
66	с этой	4	4
67	не знает	2	4
68	смысле слова	2	4
69	отношение к	3	4
70	в их	3	4
71	отношения к	4	4
72	и по	3	4
73	а в	3	4
74	в которых	3	4
75	точки зрения	10	4
76	в них	7	4
77	один из	2	4
78	она не	2	4
79	что и	3	4
80	уже не	3	4
81	тем что	3	4
82	значит что	2	4
83	у данте	3	3
84	себя и	3	3
85	и вот	2	3
86	к тому	3	3
87	человеческого образа	2	3
88	это значит	3	3
89	плоти и	2	3
90	не мог	2	3
91	этого мира	2	3
92	и их	4	3
93	должно быть	5	3
94	особенно в	2	3
95	мир в	4	3
96	с этим	5	3
97	его в	6	3
98	так как	6	3
99	то есть	10	3
100	и с	6	3
101	на этом	2	3
102	том что	4	3
103	есть и	4	3
104	конечно не	4	3
105	в иной	2	3
106	все его	4	3
107	место в	4	2
108	по своему	2	2
109	прежде чем	3	2
110	мы еще	3	2
111	и от	2	2
112	свет и	2	2
113	о чем	3	2
114	для того	8	2
115	в виду	3	2
116	жизни и	8	2
117	могут быть	2	2
118	всего в	3	2
119	и своеобразный	2	2
120	все эти	5	2
121	у всех	2	2
122	людей и	2	2
123	также и	4	2
124	в истории	4	2
125	как бы	10	2
126	о том	4	2
127	как он	2	2
128	с ним	4	2
129	в основе	6	2
130	него и	2	2
131	жизни в	4	2
132	только один	2	2
133	и во	6	2
134	к этому	3	2
135	этот мир	2	2
136	мы видим	2	2
137	в то	5	2
138	все что	2	2
139	до сих	2	2
140	и к	2	2
141	в этот	3	2
142	все же	6	2
143	сих пор	2	2
144	как в	4	2
145	человеческой жизни	4	2
146	и самый	2	2
147	на земле	2	2
148	в той	2	2
149	того чтобы	8	2
150	и у	5	2
151	и как	3	2
152	и для	9	2
153	от этого	2	2
154	на протяжении	3	2
155	много в	2	2
