N	3gram	Vinokur_Ku_2	Problema
1	и т п	24	13
2	не может быть	4	11
3	с точки зрения	8	6
4	в отличие от	2	5
5	с другой стороны	7	4
6	в конечном счете	2	4
7	то же время	3	3
8	в самом деле	7	3
9	в то же	3	3
10	можно было бы	9	3
11	тем не менее	5	3
12	может быть только	2	3
13	на самом деле	2	3
14	в этом смысле	5	3
15	в том что	10	3
16	в лучшем случае	3	2
17	то или иное	2	2
18	не только в	4	2
19	того или иного	2	2
20	можно сказать что	2	2
21	говорить и о	2	2
22	в этом отношении	3	2
23	для того чтобы	8	2
