N	2gram	Tiupa_Narr_1	Hudozhes
1	в мире	4	23
2	в качестве	14	19
3	то есть	9	18
4	состоит в	10	16
5	и не	23	16
6	в том	8	15
7	и в	11	15
8	не только	31	15
9	в частности	14	13
10	может быть	15	13
11	тогда как	10	13
12	при этом	19	12
13	а в	13	12
14	и его	10	12
15	но не	4	11
16	в этом	12	11
17	в себе	6	11
18	я в	2	11
19	представляет собой	8	10
20	как бы	6	10
21	отношению к	3	10
22	но и	27	10
23	так и	5	10
24	по отношению	3	10
25	то же	8	10
26	а не	13	10
27	такого рода	10	9
28	в его	6	9
29	точки зрения	5	9
30	себя в	2	8
31	своего рода	10	8
32	присутствия в	3	8
33	сводится к	3	8
34	с другой	2	7
35	или иной	4	7
36	в отличие	2	7
37	в принципе	4	7
38	в то	4	7
39	отличие от	2	7
40	но в	7	7
41	с его	4	6
42	что в	3	6
43	не сводится	2	6
44	художественного письма	3	6
45	том что	7	6
46	не в	6	6
47	же время	4	6
48	в тексте	13	6
49	не может	8	6
50	в состав	3	6
51	по сути	2	5
52	можно сказать	5	5
53	а также	6	5
54	только в	12	5
55	тем самым	5	5
56	в самом	6	5
57	того что	4	5
58	той или	5	5
59	в нем	4	5
60	с ее	2	5
61	то что	9	5
62	между ними	2	5
63	внутреннего зрения	2	5
64	и т.п	8	5
65	другой стороны	2	5
66	уже не	8	5
67	героя и	2	5
68	а на	2	4
69	в этих	2	4
70	прежде всего	4	4
71	к тому	6	4
72	в ходе	3	4
73	кто говорит	2	4
74	и как	3	4
75	для него	4	4
76	еще не	4	4
77	хотя и	4	4
78	он не	3	4
79	жизни как	2	4
80	и тем	4	4
81	в своей	5	4
82	со стороны	8	4
83	в форме	2	4
84	во времени	9	4
85	входит в	2	4
86	сознания в	2	4
87	высказывания в	2	4
88	в слове	3	4
89	и то	3	4
90	сказать что	2	4
91	между тем	3	4
92	мы имеем	3	4
93	и т.д	6	4
94	как это	3	4
95	не менее	3	3
96	если бы	7	3
97	однако в	3	3
98	текста в	3	3
99	это не	3	3
100	что он	3	3
101	к его	2	3
102	тем не	3	3
103	и того	2	3
104	в пределах	2	3
105	по своему	2	3
106	в свою	2	3
107	одно и	2	3
108	или иным	2	3
109	о чем	4	3
110	имеет место	4	3
111	иначе говоря	8	3
112	как раз	6	3
113	в роли	2	3
114	в конечном	3	3
115	человеческой жизни	2	3
116	к нему	4	3
117	не будет	2	3
118	в целом	3	3
119	картины мира	3	3
120	так в	4	3
121	текста как	2	3
122	и состоит	4	3
123	как и	13	3
124	в той	2	3
125	лишь в	3	3
126	во втором	6	3
127	и для	2	3
128	в таком	2	3
129	являет собой	4	3
130	в рассказе	8	3
131	их в	3	3
132	потому что	5	3
133	и ее	3	3
134	в данном	11	3
135	как правило	5	3
136	в русской	3	3
137	в произведении	2	3
138	всего лишь	3	3
139	в области	2	3
140	слова в	4	2
141	художественного высказывания	2	2
142	по мысли	3	2
143	создает эффект	3	2
144	речь идет	3	2
145	и составляет	2	2
146	в нашем	3	2
147	жизни в	2	2
148	в своем	3	2
149	в кадры	2	2
150	в пространстве	3	2
151	в одном	4	2
152	этих двух	2	2
153	по себе	4	2
154	в литературе	4	2
155	роль в	2	2
156	при всей	3	2
157	что может	2	2
158	об этом	6	2
159	о его	2	2
160	равной степени	2	2
161	идет о	3	2
162	одна из	4	2
163	свою очередь	2	2
164	времени и	9	2
165	тем или	2	2
166	имеем дело	2	2
167	в войне	2	2
168	мира в	4	2
169	и о	3	2
170	не вполне	2	2
171	за пределами	2	2
172	чем это	2	2
173	к жизни	2	2
174	не является	3	2
175	оно не	2	2
176	не могло	2	2
177	дело не	2	2
178	как в	4	2
179	было и	2	2
180	или напротив	3	2
181	здесь не	2	2
182	в романе	2	2
183	и притом	2	2
184	именно в	3	2
185	в году	2	2
186	того чтобы	4	2
187	для того	3	2
188	времени в	2	2
189	или в	6	2
190	сводятся к	2	2
191	войне и	2	2
192	речевой деятельности	2	2
193	с ним	2	2
194	и мире	2	2
195	и на	5	2
196	участок текста	2	2
197	между двумя	5	2
198	у него	7	2
199	с языком	2	2
200	но как	3	2
201	в финале	3	2
202	начиная с	3	2
203	в этой	6	2
204	в равной	2	2
205	о том	4	2
206	жизни но	2	2
207	системы эпизодов	2	2
208	в чем	2	2
