N	2gram	Bakhtin_fo_2	Tvorches
1	и в	46	20
2	в романе	13	15
3	не только	11	13
4	и т	14	13
5	никогда не	6	11
6	т д	3	11
7	как бы	10	11
8	в его	8	10
9	таким образом	3	10
10	в то	5	10
11	и его	12	9
12	и не	9	9
13	прежде всего	14	8
14	в том	10	8
15	при этом	6	8
16	но и	9	8
17	может быть	7	8
18	в этом	22	8
19	и с	6	8
20	это не	2	7
21	представление о	2	7
22	же время	4	7
23	наряду с	2	7
24	что в	5	7
25	не может	2	7
26	то же	8	7
27	потому что	8	7
28	у него	9	6
29	в конце	2	6
30	что он	3	6
31	как и	8	6
32	так и	7	6
33	все это	6	6
34	именно в	2	6
35	а не	4	6
36	в основном	8	6
37	в мире	4	5
38	но это	2	5
39	еще не	6	5
40	но не	5	5
41	все же	6	5
42	и даже	3	5
43	так же	2	5
44	и на	7	5
45	в этой	2	5
46	о том	4	5
47	то есть	10	5
48	и от	2	4
49	в духе	2	4
50	том что	4	4
51	в дальнейшем	5	4
52	мы видим	2	4
53	что они	4	4
54	отнюдь не	4	4
55	хотя и	3	4
56	как в	4	4
57	если не	2	4
58	все эти	5	4
59	не в	9	4
60	а в	3	4
61	и потому	2	4
62	но в	10	4
63	место в	4	3
64	жизни в	4	3
65	с этой	4	3
66	в одной	2	3
67	человека и	4	3
68	в образе	4	3
69	к этому	3	3
70	с ним	4	3
71	а затем	3	3
72	для него	3	3
73	он не	5	3
74	в котором	4	3
75	и др	5	3
76	не является	3	3
77	один из	2	3
78	в нем	5	3
79	то что	7	3
80	и это	2	3
81	вместе с	9	3
82	сих пор	2	3
83	в их	3	3
84	так как	6	3
85	человека в	6	3
86	уже не	3	3
87	тем что	3	3
88	в которых	3	3
89	в себе	4	3
90	как у	3	3
91	его в	6	3
92	до сих	2	3
93	уже в	4	2
94	в роман	2	2
95	и есть	2	2
96	с другой	2	2
97	в одном	7	2
98	вовсе не	13	2
99	в этот	3	2
100	со своими	2	2
101	во всяком	2	2
102	что на	3	2
103	в литературе	2	2
104	у нас	2	2
105	так что	4	2
106	при виде	3	2
107	особое место	2	2
108	которой он	2	2
109	в частности	5	2
110	том же	4	2
111	нет и	3	2
112	точка зрения	3	2
113	не могли	3	2
114	только для	2	2
115	в истории	4	2
116	на землю	2	2
117	но эти	3	2
118	т п	11	2
119	не было	3	2
120	и других	2	2
121	но эта	2	2
122	образ человека	2	2
123	и у	5	2
124	и наконец	6	2
125	и он	4	2
126	и по	3	2
127	особенно в	2	2
128	рядом с	2	2
129	роль в	3	2
130	в основе	6	2
131	из них	8	2
132	могут быть	2	2
133	случайностей и	2	2
134	говорить о	2	2
135	и только	2	2
136	только в	11	2
137	так сказать	7	2
138	их в	4	2
139	одном из	2	2
