N	2gram	Nazirov_Vr_1	slovoVRo
1	в романе	6	46
2	и в	8	39
3	может быть	4	37
4	и его	3	33
5	не только	9	24
6	и не	5	22
7	но и	7	21
8	не может	2	20
9	в нем	6	19
10	все это	4	16
11	в этом	8	16
12	в истории	4	11
13	и с	6	9
14	таким образом	2	8
15	точки зрения	2	8
16	с его	3	7
17	при этом	4	7
18	для него	2	7
19	еще не	2	7
20	в его	3	7
21	как бы	4	7
22	никогда не	2	7
23	и даже	6	7
24	с ним	4	7
25	в него	2	7
26	в них	2	6
27	все же	6	6
28	как и	6	6
29	в своем	3	6
30	но в	6	6
31	это не	4	5
32	и все	7	5
33	для нас	4	5
34	том что	3	5
35	в том	3	5
36	человека в	3	5
37	уже не	2	5
38	не менее	2	4
39	же время	5	4
40	одна из	2	4
41	отношения к	2	4
42	то же	5	4
43	в той	2	4
44	а в	2	4
45	в то	5	4
46	отношение к	2	4
47	его в	3	4
48	в роман	2	3
49	что в	7	3
50	в свою	2	3
51	но это	2	3
52	связи с	3	3
53	у него	5	3
54	и как	3	3
55	в ней	4	3
56	а также	2	3
57	с точки	2	3
58	рядом с	2	3
59	между тем	5	3
60	в чем	3	3
61	уже в	4	2
62	не было	5	2
63	его и	2	2
64	но он	3	2
65	п в	2	2
66	с которым	2	2
67	в себе	2	2
68	что он	4	2
69	х годов	4	2
70	о нем	6	2
71	то что	7	2
72	вместе с	2	2
73	так в	2	2
74	в связи	3	2
75	и т.п	2	2
76	одним из	3	2
77	он не	3	2
78	эти слова	3	2
79	далеко не	3	2
80	но как	2	2
81	о том	4	2
