N	2gram	Berdyaev_N_1	Istorich
1	и в	16	26
2	так же	2	18
3	то что	4	16
4	не только	5	15
5	что в	9	14
6	может быть	7	14
7	же как	2	13
8	но и	3	12
9	и пр	3	11
10	так и	2	10
11	и не	11	9
12	а в	2	8
13	как и	7	7
14	он не	8	7
15	как в	3	7
16	в этом	7	7
17	еще не	3	6
18	вместе с	2	6
19	не может	16	6
20	а не	17	6
21	потому что	4	6
22	могут быть	2	6
23	у него	2	5
24	это не	4	5
25	это и	2	5
26	но не	2	5
27	и что	2	5
28	уже не	2	5
29	не в	6	5
30	и с	2	5
31	но в	2	5
32	с другой	3	4
33	вопрос о	3	4
34	в своей	3	4
35	другой стороны	2	4
36	и даже	2	4
37	о том	4	4
38	в том	8	3
39	по существу	2	3
40	том что	2	3
41	но это	6	3
42	она не	3	3
43	все эти	2	3
44	наряду с	3	3
45	что она	2	3
46	как это	2	3
47	не имеет	4	3
48	в религии	2	3
49	связана с	2	2
50	с тем	3	2
51	должна быть	3	2
52	не менее	4	2
53	и есть	10	2
54	никогда не	6	2
55	формы и	2	2
56	с этим	2	2
57	и все	4	2
58	в одну	2	2
59	ни в	6	2
60	есть в	2	2
61	в истории	3	2
62	одна из	2	2
63	средние века	7	2
64	такого рода	2	2
65	конечно не	3	2
66	к ним	3	2
67	но для	2	2
68	хотя и	2	2
69	хотя бы	2	2
70	в нем	5	2
71	не есть	3	2
72	себя в	2	2
73	не к	2	2
74	все это	5	2
75	лишь в	6	2
76	и на	2	2
77	сказать что	3	2
78	в средние	3	2
79	в себе	2	2
