N	2gram	Propp_Isto_7	Narrotol
1	не только	21	31
2	но и	11	27
3	и не	4	23
4	при этом	4	19
5	может быть	14	15
6	в качестве	3	14
7	как и	6	13
8	а не	8	13
9	а в	10	13
10	только в	6	12
11	в этом	12	12
12	и в	24	11
13	в данном	4	11
14	своего рода	4	10
15	и его	3	10
16	тогда как	3	10
17	то что	7	9
18	то же	8	8
19	в том	7	8
20	данном случае	3	8
21	со стороны	2	8
22	не может	14	8
23	уже не	2	8
24	представляет собой	4	8
25	у него	10	7
26	том что	10	7
27	но в	5	7
28	об этом	6	6
29	не в	9	6
30	и он	3	6
31	в самом	2	6
32	как бы	4	6
33	один из	7	6
34	или в	8	6
35	перед нами	2	5
36	так и	5	5
37	и на	2	5
38	потому что	9	5
39	точки зрения	4	5
40	с его	3	4
41	никогда не	4	4
42	из этих	3	4
43	к себе	3	4
44	в литературе	2	4
45	все же	9	4
46	но не	6	4
47	прежде всего	2	4
48	еще не	8	4
49	у нее	2	4
50	к нему	7	4
51	вплоть до	2	4
52	и тем	2	4
53	в нем	6	4
54	этом и	2	4
55	из них	2	4
56	не по	2	4
57	как в	12	4
58	так в	4	4
59	того что	6	4
60	хотя и	3	4
61	на себя	2	4
62	в то	2	4
63	что у	4	4
64	о том	9	4
65	одна из	7	4
66	не менее	5	3
67	но они	3	3
68	что в	13	3
69	обращается к	3	3
70	это не	10	3
71	не всегда	4	3
72	что он	21	3
73	тем не	4	3
74	и о	2	3
75	но для	2	3
76	он не	6	3
77	но при	2	3
78	мы не	4	3
79	и ее	2	3
80	в русской	5	3
81	и все	6	3
82	представляют собой	5	3
83	как это	2	3
84	мы имеем	12	3
85	этого не	2	2
86	в этих	13	2
87	тот кто	5	2
88	того кто	2	2
89	в конце	3	2
90	на то	3	2
91	по своим	3	2
92	как мы	3	2
93	и после	2	2
94	и стал	3	2
95	до сих	2	2
96	она не	2	2
97	а его	3	2
98	во сне	2	2
99	к ним	2	2
100	не вполне	3	2
101	если в	2	2
102	не имеет	4	2
103	не будет	2	2
104	вместе с	7	2
105	героя и	5	2
106	дело не	5	2
107	сих пор	3	2
108	в форме	2	2
109	только на	2	2
110	другой стороны	8	2
111	после смерти	3	2
112	в связи	2	2
113	в особенности	2	2
114	если не	4	2
115	она в	3	2
116	позволяет нам	2	2
117	что не	2	2
118	и даже	3	2
119	с другой	9	2
120	друг друга	2	2
121	ничего не	5	2
122	героя но	2	2
123	сказать что	2	2
124	мы можем	4	2
125	и от	2	2
126	связи с	3	2
127	что мы	3	2
128	здесь не	2	2
129	в чем	5	2
130	с ним	5	2
131	та же	2	2
