N	2gram	Tiupa_Hudo_2	UchenyiS
1	и в	28	14
2	а не	14	10
3	не только	11	10
4	и не	18	8
5	прежде всего	3	8
6	то что	6	7
7	в этом	13	7
8	не может	4	7
9	может быть	8	6
10	в художественном	4	5
11	хотя бы	2	5
12	все это	3	5
13	и только	2	5
14	то же	6	5
15	но и	9	4
16	в этой	5	4
17	конечном счете	3	4
18	с другой	3	4
19	в конечном	4	4
20	но в	2	3
21	как и	11	3
22	и то	2	3
23	все же	2	3
24	в своей	6	3
25	в частности	7	3
26	же время	4	3
27	для него	5	3
28	это не	6	3
29	в то	6	3
30	не как	2	3
31	было бы	3	3
32	и т.д	2	3
33	том что	19	2
34	но не	4	2
35	в том	15	2
36	не все	3	2
37	с его	5	2
38	не в	13	2
39	и для	2	2
40	бы и	4	2
41	представляется нам	2	2
42	не столько	2	2
43	о чем	8	2
44	если бы	6	2
45	не случайно	10	2
46	это уже	2	2
47	только в	4	2
48	и с	6	2
49	тем что	6	2
50	сих пор	2	2
51	его и	2	2
52	что он	8	2
53	все они	3	2
54	и у	2	2
55	в себе	9	2
56	как раз	4	2
57	до сих	2	2
58	же самое	3	2
59	что все	3	2
60	в самом	5	2
61	нам представляется	2	2
62	а о	2	2
63	превращается в	4	2
64	сводится к	6	2
65	ничего не	5	2
66	самом деле	3	2
67	а как	2	2
68	что она	7	2
69	а между	4	2
70	что и	4	2
71	в его	11	2
72	более чем	2	2
73	между тем	8	2
74	же не	2	2
75	это было	2	2
