N	2gram	Kanaev_Sov_1	Problema
1	и в	7	44
2	и не	6	35
3	может быть	12	28
4	в том	4	21
5	а не	3	18
6	в этом	7	17
7	для нас	3	16
8	если мы	4	16
9	когда мы	3	15
10	и даже	2	14
11	не только	4	14
12	не в	3	13
13	то же	3	13
14	но в	3	12
15	не менее	2	10
16	отнюдь не	3	10
17	у нас	3	10
18	как и	6	10
19	тем не	2	10
20	это не	4	9
21	в нем	3	9
22	же самое	2	9
23	как бы	4	9
24	так как	4	9
25	в его	2	9
26	во всяком	2	9
27	таким образом	11	9
28	что в	2	8
29	или иной	2	8
30	было бы	3	8
31	что же	5	8
32	как мы	2	8
33	в себе	3	8
34	не может	17	7
35	уже не	2	7
36	все эти	5	7
37	и что	2	7
38	мы должны	4	7
39	и потому	3	7
40	мы не	9	7
41	то ни	2	6
42	всяком случае	2	6
43	в целом	4	6
44	такого рода	2	6
45	жизни и	4	6
46	ясно что	3	6
47	и к	3	6
48	все же	3	6
49	мы можем	6	6
50	в виде	2	6
51	состоит из	3	5
52	в нашем	2	5
53	в конце	3	5
54	и есть	2	5
55	все это	3	5
56	то и	2	5
57	а в	4	5
58	точки зрения	12	5
59	в таком	2	5
60	еще не	3	5
61	при этом	3	4
62	совершенно не	2	4
63	отличается от	3	4
64	на этот	2	4
65	уже в	3	3
66	каждый раз	6	3
67	что это	2	3
68	прежде всего	5	3
69	но все	2	3
70	в этой	3	3
71	в самом	2	3
72	значение в	2	3
73	говорим о	2	3
74	свою собственную	2	3
75	может иметь	2	3
76	для его	2	3
77	в условиях	5	3
78	говорить о	2	3
79	быть и	2	3
80	и все	3	3
81	самом деле	2	3
82	что такое	2	3
83	отличие от	2	3
84	если же	2	3
85	это за	2	3
86	ничего не	6	3
87	что все	2	2
88	тем же	2	2
89	при таком	3	2
90	из них	4	2
91	по мнению	2	2
92	с одной	2	2
93	и будет	2	2
94	дает нам	2	2
95	и по	2	2
96	этим мы	3	2
97	в результате	6	2
98	с этим	2	2
99	настоящее время	2	2
100	в наших	3	2
101	на котором	2	2
102	и во	2	2
103	она может	2	2
104	мы видели	4	2
105	что при	2	2
106	можем назвать	3	2
107	в настоящее	2	2
108	и именно	2	2
109	не будем	2	2
110	вместе с	4	2
111	в отличие	2	2
112	из которых	2	2
113	с точки	5	2
114	он в	3	2
115	могут быть	2	2
116	в которой	2	2
