N	2gram	Tiupa_Hudo_1	Problemy
1	и в	19	43
2	и не	15	29
3	может быть	14	23
4	как бы	9	22
5	не может	7	18
6	в пределах	3	16
7	но и	10	14
8	как и	2	14
9	точки зрения	10	13
10	в этом	11	13
11	что он	3	13
12	слова в	2	12
13	в нем	5	12
14	в одном	2	12
15	слова и	2	12
16	не в	7	11
17	по себе	2	11
18	не только	16	11
19	прежде всего	4	10
20	и на	2	10
21	но в	7	10
22	в его	9	10
23	никогда не	2	9
24	еще не	3	9
25	он не	4	9
26	с самим	2	8
27	для него	4	8
28	лишь в	4	8
29	то же	10	8
30	с точки	3	8
31	и его	12	8
32	или в	2	8
33	о себе	2	7
34	в самом	5	7
35	в то	6	7
36	то что	4	7
37	а не	9	7
38	в другом	3	7
39	в этих	3	6
40	в том	18	6
41	при этом	13	6
42	не как	2	6
43	приводит к	5	6
44	здесь не	2	6
45	же время	5	5
46	хотя и	3	5
47	к нему	3	5
48	все это	2	5
49	по отношению	9	5
50	таким образом	3	5
51	все эти	2	5
52	а в	12	5
53	самим собою	2	5
54	вовсе не	2	5
55	о том	2	5
56	но не	11	5
57	и что	3	5
58	отношению к	9	5
59	в той	3	5
60	в слове	3	5
61	в себе	9	5
62	героя и	5	5
63	я не	2	4
64	сама по	2	4
65	что в	6	4
66	в своем	2	4
67	с другой	7	4
68	к тому	4	4
69	в самой	2	4
70	их в	3	4
71	но он	3	4
72	в произведении	3	4
73	то есть	18	4
74	с его	6	4
75	в них	2	4
76	в своей	5	4
77	во всех	3	4
78	не на	3	4
79	в отличие	7	4
80	между ними	4	4
81	как раз	3	4
82	речи и	3	4
83	только в	5	4
84	далеко не	2	4
85	и это	2	4
86	отличие от	7	4
87	не менее	3	3
88	себя и	2	3
89	в отношении	3	3
90	это не	2	3
91	или иной	7	3
92	есть в	2	3
93	более или	5	3
94	в формах	2	3
95	той или	4	3
96	в виду	5	3
97	образом и	2	3
98	в их	5	3
99	в одно	2	3
100	самим собой	4	3
101	его в	2	3
102	еще один	2	3
103	в художественном	4	3
104	с ним	2	3
105	между тем	4	3
106	в жизни	2	3
107	если бы	3	3
108	не знает	3	3
109	и к	3	3
110	в романе	3	3
111	того же	2	3
112	за пределы	2	3
113	даже в	3	3
114	что и	2	3
115	себя в	7	3
116	так и	11	3
117	или менее	5	3
118	в себя	2	3
119	уже не	4	3
120	другой стороны	5	3
121	и для	2	3
122	в рассказе	3	3
123	слова как	5	3
124	могут быть	4	3
125	и ее	3	3
126	в сторону	2	2
127	из этих	3	2
128	была бы	3	2
129	для понимания	2	2
130	что может	2	2
131	тем не	3	2
132	ни в	5	2
133	и как	3	2
134	своей жизни	2	2
135	в узком	3	2
136	времени и	2	2
137	художественного творчества	4	2
138	в глаза	2	2
139	например в	3	2
140	и др	2	2
141	могут оказаться	2	2
142	в целом	3	2
143	отношение к	5	2
144	в форме	4	2
145	отличается от	2	2
146	отношения к	2	2
147	того что	4	2
148	так же	2	2
149	не входит	2	2
150	сказать что	4	2
151	герой не	3	2
152	я и	7	2
153	произведения как	3	2
154	между собой	2	2
155	превращается в	2	2
156	этом смысле	3	2
157	об этом	2	2
158	одна из	2	2
159	по своему	2	2
160	одно и	3	2
161	в повести	2	2
162	с их	2	2
163	и о	3	2
164	этого слова	2	2
165	для автора	2	2
166	на почве	3	2
167	для себя	2	2
168	и особенно	2	2
169	в точке	3	2
170	внутренней речи	14	2
171	быть и	2	2
172	ее в	2	2
173	как в	2	2
174	входит в	4	2
175	а с	2	2
176	если мы	2	2
177	том что	8	2
178	может служить	2	2
179	высказывания и	2	2
180	и то	4	2
181	автора и	3	2
182	отношении к	2	2
183	автора как	2	2
