N	3gram	Bakhtin_Pr_1	Myshleni
1	в том что	7	21
2	с точки зрения	15	18
3	для того чтобы	2	10
4	заключается в том	2	7
5	в зависимости от	3	6
6	во всяком случае	3	6
7	не может быть	3	6
8	можно было бы	3	5
9	по отношению к	11	5
10	в самом деле	2	4
11	о том что	2	4
12	в данном случае	2	3
13	в отличие от	2	3
14	в этом отношении	5	3
15	как мы уже	2	3
16	потому что он	2	2
17	само по себе	2	2
18	хотя бы и	2	2
19	не потому что	2	2
20	в этом смысле	9	2
21	на самом деле	3	2
22	подобно тому как	3	2
23	друг с другом	3	2
