N	2gram	Medvedev_V_1	Myshleni
1	в том	15	42
2	том что	8	35
3	в процессе	16	27
4	таким образом	31	25
5	точки зрения	3	24
6	в этом	26	24
7	в качестве	11	21
8	и в	26	20
9	что в	10	19
10	заключается в	2	18
11	то же	10	16
12	мышления в	2	16
13	то что	6	15
14	не только	25	15
15	что они	3	14
16	с другой	11	12
17	в их	5	12
18	может быть	22	12
19	в целом	4	11
20	так же	3	11
21	в его	14	11
22	того что	3	10
23	на основе	5	10
24	в себе	6	10
25	только в	7	10
26	и как	3	9
27	одной стороны	2	9
28	но и	10	9
29	другой стороны	8	9
30	с одной	2	9
31	между тем	5	9
32	как это	12	9
33	как и	7	9
34	что и	3	9
35	и не	19	8
36	в результате	5	8
37	тогда когда	2	8
38	было бы	7	8
39	вместе с	7	8
40	как бы	5	7
41	этом отношении	13	7
42	что мы	2	7
43	же самое	2	7
44	в своей	4	7
45	а не	7	7
46	того чтобы	3	7
47	могут быть	5	7
48	к тому	4	6
49	же как	2	6
50	мы видели	3	6
51	в самом	4	6
52	этот процесс	2	6
53	не может	17	6
54	сказать что	5	6
55	этого положения	2	6
56	его в	3	6
57	с тем	3	6
58	что он	4	6
59	в силу	11	6
60	можно было	2	6
61	перед нами	4	5
62	в частности	11	5
63	никогда не	4	5
64	это не	7	5
65	что такое	2	5
66	не является	5	5
67	только не	2	5
68	если бы	3	5
69	и его	6	5
70	с этим	3	5
71	и к	3	5
72	все же	5	5
73	о том	10	5
74	так и	5	5
75	для того	3	5
76	все эти	6	5
77	тому что	6	4
78	в своем	8	4
79	является не	4	4
80	из них	9	4
81	что оно	3	4
82	роль в	4	4
83	этой точки	2	4
84	как он	2	4
85	в сознании	4	4
86	к этому	9	4
87	и при	5	4
88	только что	4	4
89	во всей	2	4
90	между ними	3	4
91	не в	6	4
92	и для	2	4
93	которые в	2	4
94	в области	2	4
95	не могут	7	3
96	не менее	2	3
97	не подлежит	2	3
98	формы и	2	3
99	и от	3	3
100	что все	3	3
101	в этой	4	3
102	по одному	2	3
103	себе и	2	3
104	от того	2	3
105	в виду	4	3
106	один из	5	3
107	отдельных элементов	2	3
108	в связи	3	3
109	именно в	2	3
110	должно быть	2	3
111	представлений и	2	3
112	но в	2	3
113	отнюдь не	3	3
114	в другую	2	3
115	бы в	3	3
116	по существу	3	3
117	но не	2	3
118	как известно	2	3
119	следующим образом	3	3
120	когда он	3	3
121	приводит к	5	3
122	связи с	4	3
123	в чем	2	3
124	в которой	2	3
125	может не	2	2
126	связана с	2	2
127	том числе	2	2
128	эту же	2	2
129	числе и	2	2
130	никаких оснований	2	2
131	в каждом	2	2
132	прежде всего	13	2
133	это мы	3	2
134	для него	8	2
135	и отдельных	3	2
136	в нашей	4	2
137	и у	2	2
138	вслед за	2	2
139	том чтобы	2	2
140	одним из	5	2
141	но для	2	2
142	в ней	2	2
143	целого ряда	2	2
144	в нем	6	2
145	не по	2	2
146	образов и	4	2
147	отличается от	2	2
148	этой области	3	2
149	они не	2	2
150	мы наблюдаем	2	2
151	а в	3	2
152	им как	2	2
153	также и	2	2
154	из этих	7	2
155	но как	3	2
156	самого себя	2	2
157	их в	6	2
158	мы имеем	3	2
159	с более	2	2
160	интеллектуальной деятельности	3	2
161	видели что	3	2
162	у него	6	2
163	представить себе	2	2
164	стороны и	2	2
165	а затем	2	2
166	зависимости от	5	2
167	что при	2	2
168	еще не	2	2
169	видеть в	2	2
170	он говорит	5	2
171	том же	6	2
172	далеко не	2	2
173	даже в	5	2
174	как говорит	5	2
175	ли не	2	2
176	и он	2	2
177	к этим	2	2
178	в слове	3	2
179	тому как	2	2
180	подобно тому	2	2
181	ту же	2	2
182	который по	2	2
183	значит что	2	2
