N	3gram	Trubetskoy_1	Problema
1	тем не менее	3	18
2	то же самое	2	9
3	на то что	2	8
4	для того чтобы	5	8
5	ничего общего с	2	7
6	о том что	4	5
7	в том что	3	5
8	в то же	2	4
9	той или иной	2	4
10	точно так же	3	4
11	в конце концов	3	4
12	в связи с	3	4
13	то что он	2	3
14	более или менее	5	3
15	с точки зрения	6	3
16	до сих пор	5	3
17	можно сказать что	2	3
18	может быть и	2	3
19	во всяком случае	6	3
20	может быть даже	2	2
21	по крайней мере	5	2
22	так же как	3	2
23	и в этом	2	2
24	так или иначе	3	2
