N	3gram	Losev_Prob_2	Myshleni
1	для того чтобы	2	14
2	в том что	4	11
3	с самого начала	2	5
4	можно сказать что	3	5
5	заключается в том	2	5
6	то же самое	5	4
7	о том что	14	4
8	друг от друга	2	4
9	сама по себе	4	4
10	подобно тому как	2	4
11	это значит что	3	4
12	с одной стороны	5	3
13	можно было бы	2	3
14	в этом случае	7	3
15	и тот же	2	3
16	до сих пор	4	3
17	не только не	2	3
18	один и тот	2	3
19	не может быть	3	3
20	вопрос о том	2	3
21	но если мы	2	2
22	в самом деле	2	2
23	том что в	2	2
24	ничего общего с	2	2
25	само по себе	2	2
26	с другой стороны	5	2
27	так что в	2	2
28	и в частности	3	2
29	и то что	7	2
