N	3gram	Losev_Vesc_1	Dialekti
1	и т д	19	23
2	это значит что	19	21
3	с точки зрения	3	14
4	тем не менее	3	10
5	не только не	2	7
6	т д и	5	6
7	не что иное	7	6
8	что иное как	7	6
9	не может быть	6	6
10	есть то что	4	5
11	вовсе не есть	6	5
12	о том что	4	5
13	в самом деле	4	5
14	сам по себе	3	5
15	д и т	5	5
16	по крайней мере	4	5
17	от всего прочего	5	5
18	и больше ничего	8	4
19	т е не	2	4
20	сама по себе	3	4
21	то это значит	2	4
22	я утверждаю что	2	4
23	подобно тому как	4	4
24	т е в	7	4
25	значит что мы	5	4
26	не есть просто	4	4
27	что она есть	2	3
28	только тогда когда	2	3
29	и не только	4	3
30	в том что	4	3
31	с одной стороны	3	3
32	то что мы	2	3
33	сами по себе	3	3
34	ни от чего	2	3
35	на то что	2	3
36	есть не что	5	3
37	не есть ни	3	3
38	– чтобы быть	2	2
39	что это есть	3	2
40	к тому что	2	2
41	что же такое	3	2
42	что не есть	3	2
43	но даже и	2	2
44	одно и то	4	2
45	руки и ноги	2	2
46	и то же	4	2
47	с другой стороны	2	2
48	того что она	2	2
49	что это значит?	2	2
50	из того что	2	2
51	во всяком случае	2	2
52	и не просто	3	2
53	но это –	3	2
54	есть не только	2	2
55	так или иначе	4	2
