N	2gram	Propp_Isto_7	Literetu
1	не только	21	24
2	при этом	4	19
3	в качестве	3	17
4	но и	11	17
5	а не	8	16
6	в том	7	16
7	том что	10	14
8	может быть	14	13
9	тогда как	3	13
10	и не	4	12
11	в этом	12	12
12	прежде всего	2	11
13	своего рода	4	11
14	то что	7	10
15	в русской	5	10
16	не в	9	8
17	и в	24	8
18	только в	6	8
19	как это	2	8
20	не менее	5	7
21	как бы	4	7
22	уже не	2	7
23	как и	6	6
24	связи с	3	6
25	того что	6	6
26	точки зрения	4	6
27	с его	3	5
28	с этой	6	5
29	что он	21	5
30	как в	12	5
31	не может	14	5
32	то же	8	5
33	уже в	3	5
34	в данном	4	5
35	не столько	3	5
36	в то	2	5
37	это не	10	4
38	в конце	3	4
39	в силу	2	4
40	представляет собой	4	4
41	но не	6	4
42	еще не	8	4
43	и тем	2	4
44	все же	9	4
45	из них	2	4
46	данном случае	3	4
47	со стороны	2	4
48	так и	5	4
49	никогда не	4	4
50	в связи	2	4
51	друг друга	2	4
52	и его	3	4
53	с собой	7	4
54	в основе	2	3
55	что в	13	3
56	с другой	9	3
57	что его	2	3
58	одна из	7	3
59	например в	3	3
60	в самом	2	3
61	у него	10	3
62	один из	7	3
63	и др	2	3
64	в их	4	3
65	а в	10	3
66	таким образом	7	3
67	этой точки	3	3
68	и даже	3	3
69	потому что	9	3
70	к себе	3	3
71	но в	5	3
72	его в	3	3
73	этого не	2	2
74	обращается к	3	2
75	по этому	2	2
76	превращается в	3	2
77	дело не	5	2
78	та же	2	2
79	из этих	3	2
80	их не	2	2
81	и нет	2	2
82	но при	2	2
83	тем не	4	2
84	того же	2	2
85	одной стороны	5	2
86	было бы	2	2
87	следующим образом	3	2
88	вплоть до	2	2
89	для нее	2	2
90	в нем	6	2
91	то это	5	2
92	на том	2	2
93	только на	2	2
94	то и	4	2
95	с одной	5	2
96	все эти	2	2
97	имеется в	2	2
98	это как	2	2
99	что не	2	2
100	что такое	2	2
101	во многих	2	2
102	не случайно	3	2
103	тем более	2	2
104	тем что	6	2
105	на себя	2	2
106	о том	9	2
107	как он	6	2
