N	2gram	Vinokur_Ku_2	Myslijsy
1	потому что	25	52
2	и в	23	39
3	в языке	10	33
4	может быть	15	27
5	в том	19	26
6	только в	5	25
7	что в	10	22
8	не может	9	22
9	а не	10	21
10	так как	15	21
11	не только	20	21
12	в нем	4	20
13	но и	7	20
14	и не	16	18
15	языка и	8	17
16	том что	11	16
17	не в	8	15
18	в этом	18	15
19	если бы	12	14
20	так и	4	13
21	таким образом	5	13
22	было бы	15	12
23	точно так	3	11
24	по себе	10	10
25	что не	6	10
26	то что	9	10
27	как в	3	10
28	и что	8	10
29	речи и	5	10
30	могут быть	4	9
31	для нас	4	9
32	как и	2	9
33	тем что	3	9
34	но в	11	9
35	но не	6	8
36	вместе с	5	8
37	со стороны	4	8
38	язык в	2	8
39	того что	3	8
40	точки зрения	14	8
41	с другой	8	7
42	должно быть	4	7
43	в ней	3	7
44	с этим	3	7
45	должны быть	2	7
46	это не	6	7
47	то и	3	7
48	не менее	7	6
49	тем не	6	6
50	еще не	5	6
51	что на	4	6
52	как бы	4	6
53	что и	3	6
54	все же	7	6
55	и т	39	6
56	то же	6	6
57	при этом	2	6
58	и по	3	6
59	языка в	3	6
60	в каком	4	6
61	того как	2	6
62	с тем	2	5
63	язык не	2	5
64	языка не	2	5
65	вовсе не	9	5
66	языка как	2	5
67	несмотря на	5	5
68	но это	3	5
69	и потому	2	5
70	в его	5	5
71	другой стороны	7	5
72	так же	4	5
73	а в	3	5
74	и для	2	5
75	не имеет	4	5
76	и его	3	5
77	не следует	5	5
78	между тем	6	5
79	быть только	2	5
80	язык и	2	5
81	не могут	5	4
82	никогда не	2	4
83	тем самым	2	4
84	вопрос о	9	4
85	этом смысле	5	4
86	прежде всего	8	4
87	не более	2	4
88	в свою	2	4
89	а только	3	4
90	мы видели	2	4
91	свою очередь	2	4
92	же время	3	4
93	слов и	2	4
94	к тому	4	4
95	от того	4	4
96	в своих	2	4
97	т п	24	4
98	т д	14	4
99	не было	4	4
100	быть не	2	4
101	и даже	2	4
102	само по	5	4
103	в то	4	4
104	что мы	6	4
105	слова и	5	4
106	там где	5	4
107	только для	2	3
108	в самой	2	3
109	что это	7	3
110	в них	4	3
111	что слово	3	3
112	оно не	2	3
113	и от	2	3
114	и это	3	3
115	что все	5	3
116	представить себе	2	3
117	о котором	2	3
118	только потому	8	3
119	когда в	2	3
120	ни были	3	3
121	в этой	6	3
122	в своем	2	3
123	очевидно что	2	3
124	того же	3	3
125	если мы	4	3
126	она не	2	3
127	по поводу	2	3
128	в своей	2	3
129	но оно	2	3
130	что если	2	3
131	для того	9	3
132	и тем	5	3
133	связи с	3	3
134	в самом	12	3
135	есть вместе	2	3
136	в основании	2	3
137	или же	2	3
138	с одной	2	3
139	заключается в	2	3
140	к этой	3	3
141	той же	2	3
142	что для	2	3
143	должна быть	5	3
144	в глазах	2	3
145	языка но	3	3
146	и то	5	3
147	сказать что	4	3
148	во всяком	5	3
149	хотя и	4	3
150	он не	3	3
151	что можно	3	3
152	и вообще	2	3
153	с точки	8	3
154	мы должны	2	3
155	и все	2	3
156	то не	2	3
157	и с	7	3
158	слова в	6	2
159	мы будем	2	2
160	могла бы	2	2
161	нисколько не	3	2
162	и более	2	2
163	и есть	2	2
164	все они	2	2
165	что дух	3	2
166	нуждается в	2	2
167	с этой	2	2
168	по крайней	6	2
169	одного из	2	2
170	была бы	4	2
171	на все	2	2
172	на то	4	2
173	таким же	2	2
174	как мы	3	2
175	о которых	3	2
176	же в	3	2
177	уже не	8	2
178	следовательно и	2	2
179	у нас	12	2
180	но все	4	2
181	чем в	3	2
182	того чтобы	11	2
183	мы в	2	2
184	на себе	4	2
185	в сущности	9	2
186	могли бы	2	2
187	есть явление	2	2
188	между прочим	2	2
189	вопроса о	6	2
190	и о	4	2
191	и если	2	2
192	никак не	3	2
193	и следовательно	2	2
194	в виду	3	2
195	чтобы не	2	2
196	не все	3	2
197	крайней мере	6	2
198	указания на	2	2
199	но уже	2	2
200	слова не	3	2
201	что же	5	2
202	в их	2	2
203	для этого	3	2
204	нам и	2	2
205	этой цели	2	2
206	что оно	3	2
207	этот вопрос	6	2
208	на этот	2	2
209	тем же	2	2
210	или в	4	2
211	хотя бы	9	2
212	в таких	3	2
213	даже и	2	2
214	если и	3	2
215	как будто	2	2
216	его к	2	2
217	есть в	3	2
