N	2gram	Vinokur_Vv_1	Psycholo
1	то что	17	37
2	и в	27	30
3	в том	31	27
4	что в	11	24
5	и что	4	23
6	потому что	14	23
7	том что	26	21
8	для того	21	20
9	таким образом	19	20
10	того чтобы	21	20
11	как бы	5	19
12	что он	4	17
13	не только	21	16
14	в самом	12	14
15	в этом	34	14
16	так же	3	13
17	как раз	4	13
18	одной стороны	4	12
19	в сущности	3	12
20	вместе с	6	12
21	с одной	4	12
22	если бы	2	11
23	может быть	24	11
24	как на	11	11
25	что мы	2	11
26	о том	15	10
27	никогда не	3	9
28	с другой	8	9
29	для этого	3	9
30	не может	13	9
31	и то	5	9
32	сказать что	5	9
33	так как	13	9
34	с тем	6	8
35	что это	3	8
36	тому что	2	8
37	мы имеем	3	8
38	к тому	4	8
39	не в	8	8
40	а не	3	8
41	при этом	3	8
42	того что	12	8
43	заключается в	4	8
44	самом деле	6	8
45	могут быть	4	8
46	и это	6	8
47	по себе	9	7
48	в нем	13	7
49	и как	9	7
50	но не	7	7
51	мы можем	2	7
52	все же	8	7
53	и т	43	7
54	то же	8	7
55	точки зрения	7	7
56	как это	5	7
57	уже в	5	6
58	ясно что	9	6
59	в своем	3	6
60	что она	3	6
61	именно в	8	6
62	как и	5	6
63	что если	2	6
64	что с	3	6
65	и тем	5	6
66	и для	4	6
67	но и	5	6
68	что оно	2	6
69	и не	13	6
70	жизни и	2	6
71	и его	5	6
72	тем что	6	6
73	о котором	8	6
74	как будто	3	6
75	когда мы	2	6
76	на этом	3	6
77	дело с	6	5
78	и есть	3	5
79	по этому	2	5
80	в целом	5	5
81	что именно	2	5
82	существует между	2	5
83	несмотря на	2	5
84	как мы	9	5
85	в этой	3	5
86	еще не	4	5
87	до сих	5	5
88	было бы	5	5
89	один из	6	5
90	сих пор	5	5
91	другой стороны	5	5
92	именно на	2	5
93	рядом с	2	5
94	во внимание	2	5
95	в своих	2	5
96	в себе	4	5
97	но в	10	5
98	только в	13	5
99	же самое	2	5
100	ответ на	3	5
101	в основу	2	4
102	казалось бы	2	4
103	в результате	3	4
104	в частности	3	4
105	сравнению с	3	4
106	этот вопрос	4	4
107	прежде всего	8	4
108	стороны и	3	4
109	то это	3	4
110	говорит о	3	4
111	у нас	2	4
112	есть не	3	4
113	и заключается	4	4
114	в своей	4	4
115	от того	3	4
116	в ней	3	4
117	в его	10	4
118	в них	4	4
119	не есть	4	4
120	по сравнению	3	4
121	и именно	12	4
122	только на	3	4
123	только что	4	4
124	внимание на	4	4
125	этому поводу	2	4
126	имеет дело	5	4
127	а в	5	4
128	из которых	2	4
129	как она	4	4
130	и совершенно	2	4
131	в конце	3	4
132	должен был	4	4
133	не могли	2	4
134	о чем	4	4
135	в виду	4	4
136	не существует	2	3
137	не могут	5	3
138	и уже	3	3
139	находит себе	2	3
140	хотя бы	5	3
141	это не	8	3
142	не как	3	3
143	из этих	5	3
144	это в	2	3
145	состоит в	2	3
146	к этому	3	3
147	чем больше	2	3
148	вовсе не	6	3
149	вопрос о	8	3
150	об этом	5	3
151	так что	5	3
152	находятся в	2	3
153	это есть	2	3
154	одна из	2	3
155	что здесь	2	3
156	с теми	2	3
157	из двух	2	3
158	в ее	11	3
159	что и	3	3
160	данном случае	5	3
161	со стороны	12	3
162	в их	11	3
163	так например	6	3
164	это только	4	3
165	идет речь	2	3
166	т д	37	3
167	времени и	4	3
168	этом отношении	3	3
169	из того	2	3
170	и сейчас	2	3
171	в той	7	3
172	на этот	4	3
173	по его	2	3
174	смотреть на	4	3
175	той же	4	3
176	мы не	2	3
177	можно было	7	3
178	в силу	3	3
179	и на	3	3
180	в данном	11	3
181	т п	5	3
182	в другом	3	3
183	в этих	3	3
184	двоякого рода	2	3
185	в каждой	2	3
186	с этой	4	2
187	это делает	2	2
188	в отношении	2	2
189	же как	3	2
190	это может	2	2
191	связи с	3	2
192	представить себе	5	2
193	понятно что	3	2
194	влечет за	2	2
195	преимущественно в	2	2
196	с этим	2	2
197	мы называем	2	2
198	в одном	4	2
199	в каждом	4	2
200	этом смысле	11	2
201	а как	3	2
202	то о	2	2
203	не что	4	2
204	можно сказать	3	2
205	материал для	3	2
206	этом случае	6	2
207	до конца	3	2
208	и того	2	2
209	по существу	2	2
210	но все	3	2
211	и при	2	2
212	чем в	3	2
213	того же	3	2
214	должна быть	2	2
215	обе эти	2	2
216	одного и	2	2
217	в большей	7	2
218	в центре	4	2
219	обратить внимание	2	2
220	том чтобы	6	2
221	на том	3	2
222	в качестве	7	2
223	мог бы	2	2
224	о которых	2	2
225	в котором	4	2
226	гораздо более	3	2
227	должен быть	4	2
228	себе и	2	2
229	не с	2	2
230	иное как	5	2
231	речь в	4	2
232	из них	3	2
233	представляют собой	6	2
234	во всех	2	2
235	и той	2	2
236	быть и	2	2
237	и до	2	2
238	в форме	2	2
239	все это	6	2
240	по отношению	4	2
241	в отличие	3	2
242	которого мы	2	2
243	того как	3	2
244	в течение	5	2
245	одной и	2	2
246	и вот	3	2
247	с точки	2	2
248	и даже	5	2
249	между ними	2	2
250	принять во	2	2
251	есть только	2	2
252	должно быть	2	2
253	отличие от	3	2
254	ничего не	2	2
255	в которых	6	2
256	и с	2	2
257	говорит он	2	2
258	само по	3	2
259	даже и	3	2
260	как например	5	2
261	что иное	4	2
262	совсем не	3	2
263	во всем	2	2
264	в то	5	2
265	что даже	2	2
266	если же	2	2
267	как он	6	2
268	все эти	3	2
269	дело в	3	2
270	собой в	2	2
271	конце концов	2	2
272	только о	2	2
273	связь между	4	2
