N	2gram	Vygotskiy__3	VrazhdaK
1	не только	12	9
2	в этом	13	8
3	и что	18	8
4	и в	38	8
5	но и	5	7
6	что в	20	7
7	то что	35	7
8	и все	10	7
9	в котором	6	6
10	в нем	4	6
11	все же	8	6
12	и даже	4	6
13	как и	8	6
14	но в	3	6
15	то же	10	5
16	и не	10	5
17	у него	4	5
18	между тем	7	5
19	в то	3	5
20	для нас	8	4
21	как бы	14	4
22	все это	3	4
23	целый ряд	2	4
24	что он	11	4
25	так же	2	4
26	с ним	2	4
27	в своих	4	4
28	может быть	19	4
29	при этом	4	4
30	в истории	2	4
31	несмотря на	5	4
32	о том	6	4
33	в ней	15	4
34	в виду	4	4
35	речь идет	4	3
36	я не	5	3
37	и уже	2	3
38	в своем	5	3
39	что у	7	3
40	эти слова	2	3
41	и во	2	3
42	в конце	2	3
43	к этому	3	3
44	на то	16	3
45	он был	3	3
46	в том	25	3
47	раз в	4	3
48	и его	6	3
49	том что	14	3
50	и как	8	3
51	чтобы он	2	3
52	тем что	3	3
53	в его	5	3
54	далеко не	3	3
55	в русской	2	3
56	его в	3	3
57	наряду с	3	3
58	но он	2	3
59	и о	3	3
60	он не	6	3
61	место в	3	2
62	а с	2	2
63	в своей	5	2
64	и это	8	2
65	из них	6	2
66	никогда не	4	2
67	вместе с	5	2
68	отнюдь не	2	2
69	в них	3	2
70	столь же	2	2
71	как раз	8	2
72	не может	7	2
73	по мнению	2	2
74	а в	7	2
75	отношения к	2	2
76	таким образом	12	2
77	но это	3	2
78	в той	5	2
79	уже не	2	2
80	к себе	2	2
81	не мог	4	2
82	с точки	9	2
83	же в	2	2
84	как же	2	2
85	этот рассказ	3	2
86	в этой	13	2
87	и то	8	2
88	их в	2	2
89	но как	2	2
90	точки зрения	16	2
91	в свою	4	2
92	и ее	2	2
93	в себе	4	2
94	для него	2	2
95	на это	3	2
96	при помощи	4	2
97	одна из	4	2
98	к ним	3	2
99	в эту	2	2
