N	2gram	Vygotskiy__2	Poddanst
1	не только	15	17
2	и в	15	14
3	и не	7	12
4	в отношении	6	10
5	в этом	19	10
6	то же	5	9
7	в том	33	9
8	в качестве	4	9
9	но в	6	9
10	хотя бы	4	8
11	только в	4	7
12	быть может	2	6
13	но и	10	6
14	было бы	10	6
15	с другой	6	5
16	не в	8	5
17	в которых	3	5
18	может быть	9	5
19	в котором	2	4
20	то что	20	4
21	что в	14	4
22	если бы	8	4
23	в своем	9	4
24	не может	9	4
25	по себе	7	4
26	и к	6	4
27	а в	4	4
28	том что	27	4
29	мы должны	6	4
30	а также	2	4
31	как бы	7	4
32	столь же	2	3
33	это не	5	3
34	с одной	7	3
35	прежде всего	4	3
36	заключается в	8	3
37	тем самым	3	3
38	для того	10	3
39	с точки	18	3
40	мы не	10	3
41	и как	2	3
42	но не	3	3
43	могут быть	2	3
44	точки зрения	26	3
45	в себе	2	3
46	что мы	9	3
47	тот же	7	3
48	одной стороны	7	3
49	наряду с	2	3
50	потому что	7	3
51	том числе	3	2
52	и тем	2	2
53	именно в	2	2
54	и есть	2	2
55	во всех	2	2
56	в частности	6	2
57	отнюдь не	2	2
58	тем более	3	2
59	со стороны	3	2
60	в них	4	2
61	есть нечто	2	2
62	все это	4	2
63	во всей	5	2
64	как раз	4	2
65	с этим	3	2
66	с с	2	2
67	и других	2	2
68	которую мы	2	2
69	стороны и	2	2
70	а не	3	2
71	бы ни	2	2
72	того что	17	2
73	к чему	2	2
74	должно быть	2	2
75	для нас	4	2
76	говорить о	2	2
77	в силу	2	2
78	теперь в	2	2
79	переход от	4	2
80	по сравнению	5	2
81	в начале	4	2
82	из них	3	2
83	в общем	3	2
84	и мы	2	2
85	и это	3	2
86	в эту	4	2
87	в его	2	2
88	и с	4	2
