N	2gram	Vinokur_St_2	Problema
1	в его	13	43
2	и не	9	42
3	и в	29	38
4	не может	2	27
5	может быть	2	26
6	как бы	5	22
7	и с	4	17
8	и его	6	16
9	в нем	4	15
10	в этом	21	15
11	и т	9	14
12	прежде всего	5	13
13	только в	2	13
14	т п	3	13
15	но не	3	12
16	ни в	3	11
17	в области	2	11
18	в их	3	10
19	таким образом	10	10
20	но и	19	9
21	не имеет	2	9
22	его в	2	9
23	не только	19	9
24	в том	27	8
25	и как	2	8
26	и др	2	8
27	точки зрения	5	8
28	было бы	5	8
29	то что	11	8
30	что в	19	7
31	с другой	4	7
32	вообще не	3	7
33	не в	4	7
34	в самом	7	7
35	между тем	5	7
36	отметить что	2	7
37	как и	2	7
38	совершенно не	2	7
39	в своей	7	7
40	не к	2	6
41	все же	6	6
42	самом деле	3	6
43	с точки	2	6
44	там где	2	6
45	ничего не	4	6
46	то же	2	5
47	в своем	9	5
48	при этом	2	5
49	никогда не	3	5
50	все эти	2	5
51	в них	2	5
52	и о	4	5
53	так и	9	5
54	не на	2	5
55	в отличие	2	5
56	а не	5	5
57	отличие от	2	5
58	не менее	3	4
59	на самом	3	4
60	только по	2	4
61	в ней	7	4
62	в виду	7	4
63	другой стороны	3	4
64	конечно и	2	4
65	сказать что	2	4
66	в то	2	4
67	о том	17	4
68	и потому	2	4
69	но в	8	4
70	но они	2	4
71	в ее	2	4
72	как в	3	4
73	в романе	4	4
74	хотя бы	3	4
75	в данном	2	4
76	в себе	2	4
77	то ни	2	3
78	на произведение	2	3
79	в тех	2	3
80	тем не	2	3
81	его как	2	3
82	но это	3	3
83	кроме того	4	3
84	несмотря на	2	3
85	например в	3	3
86	хотя и	4	3
87	искусства и	2	3
88	не является	3	3
89	все это	11	3
90	они не	2	3
91	и даже	3	3
92	и на	6	3
93	языка в	2	3
94	также и	2	3
95	а как	4	3
96	ни было	2	3
97	если бы	2	3
98	и к	4	3
99	том что	27	3
100	бы то	2	3
101	одной из	3	3
102	он не	9	3
103	на почве	2	3
104	нет и	2	3
105	оно не	3	3
106	связь с	2	3
107	но с	4	3
108	и это	2	3
109	я не	7	2
110	и другие	2	2
111	в частности	4	2
112	в этих	3	2
113	в какой	2	2
114	была бы	5	2
115	на то	2	2
116	в значительной	2	2
117	не дает	2	2
118	и пр	8	2
119	случае не	2	2
120	по поводу	8	2
121	что это	3	2
122	в котором	7	2
123	ни с	2	2
124	в особенности	2	2
125	особенно в	2	2
126	не было	3	2
127	этом отношении	9	2
128	и что	6	2
129	того что	5	2
130	его не	3	2
131	и те	2	2
132	и здесь	3	2
133	в начале	3	2
134	в истории	2	2
135	в россии	3	2
136	и вся	2	2
137	как это	2	2
138	с его	2	2
139	и более	2	2
140	к этому	4	2
141	вовсе не	6	2
142	о которых	2	2
143	что он	13	2
144	у нас	3	2
145	по существу	2	2
146	а к	2	2
147	связи с	4	2
148	в некоторых	2	2
149	том же	2	2
150	материала для	3	2
151	что и	2	2
152	и именно	3	2
153	к своему	2	2
154	того чтобы	6	2
155	для того	7	2
156	и он	3	2
157	тем что	3	2
158	в другом	4	2
159	и вообще	2	2
160	дело в	4	2
161	что эта	3	2
162	не могли	2	2
