N	2gram	Vinokur_Ku_1	Problemy
1	и в	24	43
2	и не	12	29
3	т е	38	26
4	может быть	13	23
5	как бы	7	22
6	не может	7	18
7	в пределах	4	16
8	но и	6	14
9	как и	2	14
10	и т	33	13
11	точки зрения	14	13
12	в этом	14	13
13	что он	6	13
14	в нем	4	12
15	в одном	3	12
16	слова и	4	12
17	в каждом	2	11
18	не в	11	11
19	по себе	2	11
20	не только	10	11
21	прежде всего	9	10
22	и на	4	10
23	но в	2	10
24	в его	12	10
25	никогда не	2	9
26	в большинстве	2	9
27	еще не	5	9
28	в сущности	3	9
29	он не	2	9
30	т п	18	9
31	лишь в	2	8
32	то же	8	8
33	с точки	9	8
34	и его	5	8
35	или в	2	8
36	свой предмет	2	7
37	до сих	4	7
38	в самом	10	7
39	к себе	4	7
40	в то	2	7
41	то что	9	7
42	сих пор	4	7
43	что же	6	7
44	а не	8	7
45	в этих	4	6
46	в том	30	6
47	при этом	6	6
48	в котором	3	6
49	и все	2	6
50	что я	2	6
51	о нем	2	6
52	здесь не	3	6
53	так сказать	5	6
54	на то	4	5
55	так что	4	5
56	же время	2	5
57	хотя и	3	5
58	все это	6	5
59	по отношению	8	5
60	таким образом	12	5
61	все эти	6	5
62	а в	5	5
63	рядом с	5	5
64	и с	5	5
65	но ведь	2	5
66	слово с	2	5
67	бы в	7	5
68	это слово	3	5
69	вовсе не	10	5
70	о том	9	5
71	но не	5	5
72	было бы	15	5
73	мы увидим	3	5
74	никак не	2	5
75	и что	5	5
76	отношению к	9	5
77	в той	5	5
78	самом деле	9	5
79	в речи	3	5
80	и он	3	5
81	в слове	2	5
82	в себе	3	5
83	я не	2	4
84	не могут	2	4
85	что в	17	4
86	в своем	3	4
87	с другой	7	4
88	к тому	5	4
89	в самой	4	4
90	до конца	2	4
91	между собою	2	4
92	себе и	2	4
93	по мере	3	4
94	ни одного	2	4
95	т д	14	4
96	должно быть	3	4
97	в результате	5	4
98	же и	2	4
99	так как	9	4
100	с его	4	4
101	в них	7	4
102	из одного	3	4
103	в своей	2	4
104	том же	2	4
105	не на	4	4
106	там где	4	4
107	на этот	2	4
108	между ними	2	4
109	как раз	8	4
110	речи и	5	4
111	только в	11	4
112	не менее	7	3
113	что если	2	3
114	должна быть	3	3
115	это не	7	3
116	или иной	3	3
117	есть в	4	3
118	более или	3	3
119	в последнем	2	3
120	в виду	5	3
121	в их	3	3
122	устной речи	2	3
123	и даже	3	3
124	и здесь	3	3
125	еще один	2	3
126	с ним	5	3
127	между тем	5	3
128	что так	3	3
129	если бы	9	3
130	по существу	4	3
131	того же	4	3
132	тот же	2	3
133	когда он	3	3
134	даже в	3	3
135	что и	4	3
136	все же	12	3
137	так и	7	3
138	или менее	3	3
139	по своим	2	3
140	уже не	8	3
141	другой стороны	6	3
142	также и	2	3
143	и для	2	3
144	той же	3	3
145	можно было	6	3
146	ничего не	2	3
147	слова как	3	3
148	тем что	8	3
149	уже в	3	2
150	в сторону	2	2
151	из этих	4	2
152	была бы	3	2
153	вопрос о	2	2
154	его к	3	2
155	слова но	2	2
156	тем не	4	2
157	для нас	2	2
158	ни в	2	2
159	и как	2	2
160	но все	2	2
161	лишь как	2	2
162	что это	5	2
163	например в	5	2
164	что такое	6	2
165	и является	4	2
166	на себе	6	2
167	то это	3	2
168	и мысли	2	2
169	в целом	4	2
170	на том	3	2
171	меня и	3	2
172	целый ряд	5	2
173	то и	2	2
174	для этого	3	2
175	с большим	3	2
176	того что	9	2
177	этих случаях	2	2
178	мы наблюдаем	2	2
179	так же	4	2
180	с ними	4	2
181	в которых	6	2
182	а то	2	2
183	и еще	2	2
184	из них	4	2
185	в первом	3	2
186	во всяком	5	2
187	уже и	3	2
188	превращается в	2	2
189	в стороне	2	2
190	с этим	4	2
191	этом смысле	3	2
192	что было	2	2
193	быть в	2	2
194	у нас	10	2
195	и при	2	2
196	с их	3	2
197	конечно не	2	2
198	на себя	3	2
199	этого слова	3	2
200	не есть	4	2
201	и пр	15	2
202	ее в	2	2
203	бы и	2	2
204	как в	4	2
205	а с	3	2
206	если мы	2	2
207	и сами	2	2
208	он есть	3	2
209	том что	21	2
210	что не	5	2
211	должны быть	2	2
212	может служить	2	2
213	хотя бы	10	2
214	речь в	4	2
215	слов в	2	2
216	в таком	3	2
217	и то	3	2
218	иной раз	2	2
219	того как	4	2
