N	2gram	Propp_Isto_3	Psycholo
1	то что	7	32
2	и в	22	31
3	в том	9	30
4	и т	16	26
5	что в	15	23
6	может быть	11	22
7	таким образом	10	20
8	при помощи	3	20
9	при этом	2	19
10	так как	7	18
11	не может	4	17
12	как и	3	16
13	том что	8	16
14	и не	12	16
15	точки зрения	2	15
16	только в	4	14
17	а не	6	13
18	не только	14	13
19	что и	9	13
20	так же	3	12
21	в этом	17	12
22	могут быть	5	11
23	не в	4	11
24	того что	5	10
25	потому что	3	10
26	ни в	2	9
27	как в	2	9
28	никогда не	3	8
29	вместе с	9	8
30	т д	15	8
31	и что	2	8
32	во всяком	2	8
33	что он	9	7
34	и его	4	7
35	сказать что	3	7
36	о том	3	7
37	вовсе не	2	6
38	одной стороны	2	6
39	было бы	3	6
40	если бы	6	6
41	из этих	3	6
42	всяком случае	2	6
43	целый ряд	3	6
44	а в	6	6
45	что она	5	6
46	и даже	2	6
47	в его	3	6
48	и есть	2	5
49	и все	3	5
50	показывает что	5	5
51	все же	5	5
52	так что	5	5
53	мы видим	8	5
54	с одной	2	5
55	то время	2	5
56	для нас	4	5
57	она не	4	5
58	совершенно не	2	5
59	в целом	3	5
60	другой стороны	7	5
61	и для	2	5
62	то же	6	5
63	с другой	7	5
64	время как	2	5
65	в то	2	5
66	как будто	2	5
67	утверждать что	2	5
68	к тому	3	4
69	в котором	2	4
70	все время	2	4
71	и другие	4	4
72	прежде всего	3	4
73	и так	2	4
74	очень часто	3	4
75	же как	2	4
76	одна из	2	4
77	мы увидим	3	4
78	у него	3	4
79	у нас	4	4
80	и о	2	4
81	один из	5	4
82	в этих	11	4
83	со стороны	3	4
84	к этому	7	4
85	и у	3	4
86	мы можем	6	4
87	там где	7	4
88	между тем	2	4
89	как это	4	4
90	мы имеем	19	4
91	дело с	2	3
92	с тем	2	3
93	только не	2	3
94	состоит в	3	3
95	в частности	5	3
96	его и	4	3
97	в своем	2	3
98	что у	3	3
99	точно так	2	3
100	представление о	3	3
101	вопрос о	2	3
102	стороны и	3	3
103	и к	3	3
104	что на	4	3
105	мы знаем	2	3
106	тому же	2	3
107	но это	3	3
108	в силу	2	3
109	но не	7	3
110	все что	3	3
111	до сих	5	3
112	например в	2	3
113	в этой	5	3
114	хотя и	2	3
115	он не	5	3
116	сих пор	5	3
117	жизни и	2	3
118	так и	2	3
119	только на	2	3
120	не было	2	3
121	и вот	2	3
122	той же	2	3
123	роль в	2	3
124	в которых	2	3
125	случае в	2	3
126	в одной	3	3
127	с этим	8	3
128	у меня	5	3
129	и это	2	3
130	что по	2	3
131	но в	10	3
132	т е	16	3
133	не менее	5	2
134	такой же	2	2
135	видели что	4	2
136	независимо от	2	2
137	в немецкой	3	2
138	в другой	4	2
139	можно ли	3	2
140	и как	3	2
141	и там	4	2
142	в них	6	2
143	и от	3	2
144	в жизни	2	2
145	не всегда	4	2
146	и здесь	7	2
147	там же	2	2
148	или не	2	2
149	тем не	5	2
150	мы найдем	2	2
151	целом не	2	2
152	уже не	7	2
153	есть ли	2	2
154	и потому	2	2
155	представляет собой	3	2
156	что они	8	2
157	что здесь	6	2
158	в качестве	2	2
159	не дает	2	2
160	ли это	2	2
161	видим что	4	2
162	из которого	2	2
163	далеко не	3	2
164	в него	2	2
165	к жизни	2	2
166	даже в	2	2
167	в нем	9	2
168	мы видели	13	2
169	отношение к	4	2
170	из них	7	2
171	но и	12	2
172	как мы	8	2
173	то и	6	2
174	в связи	3	2
175	на самом	2	2
176	к нему	5	2
177	есть только	2	2
178	от него	2	2
179	его не	3	2
180	в чем	3	2
181	ничего не	6	2
182	в русском	2	2
183	их в	3	2
184	и с	4	2
185	и то	2	2
186	ту же	2	2
187	на это	2	2
188	его в	3	2
189	одном из	3	2
190	в одном	2	2
