N	3gram	Voloshinov_1	Marksizm
1	с точки зрения	10	13
2	не может быть	3	10
3	то же время	5	8
4	в то же	5	8
5	по отношению к	9	8
6	в том что	4	6
7	с самого начала	5	5
8	в самом деле	5	5
9	в большинстве случаев	4	5
10	но в то	3	5
11	на самом деле	2	4
12	если бы он	3	3
13	в таком случае	2	3
14	как мы уже	4	3
15	как мы видели	4	3
16	в высшей степени	2	3
17	до сих пор	3	3
18	том что он	2	2
19	в следующей главе	3	2
20	мы уже знаем	2	2
21	в зависимости от	2	2
22	во всяком случае	3	2
23	мы можем сказать	2	2
24	и прежде всего	5	2
