N	2gram	Tiupa_Lite_1	Istorich
1	и в	8	26
2	то что	10	16
3	не только	24	15
4	что в	3	14
5	может быть	13	14
6	но и	17	12
7	что он	5	10
8	так и	4	10
9	таким образом	3	10
10	и его	4	10
11	все же	4	9
12	и не	12	9
13	его в	3	9
14	то же	5	8
15	а в	3	8
16	превращается в	2	7
17	как и	6	7
18	в качестве	17	7
19	как в	5	7
20	в этом	12	7
21	еще не	4	6
22	не может	5	6
23	а не	16	6
24	и то	2	6
25	потому что	3	6
26	могут быть	2	6
27	как он	2	6
28	у него	3	5
29	это не	4	5
30	в силу	4	5
31	но не	4	5
32	и только	2	5
33	в его	7	5
34	и др	3	5
35	то это	2	5
36	уже не	7	5
37	не в	8	5
38	тем что	2	5
39	в другом	2	5
40	но в	3	5
41	с собой	4	5
42	с другой	3	4
43	на себя	2	4
44	в своей	4	4
45	даже в	2	4
46	тогда как	13	4
47	и даже	3	4
48	о том	2	4
49	из этих	2	3
50	к себе	3	3
51	же в	5	3
52	в том	16	3
53	том что	14	3
54	при этом	19	3
55	к своей	2	3
56	от своего	2	3
57	например в	3	3
58	относится к	2	3
59	как бы	7	3
60	все эти	2	3
61	а также	5	3
62	данном случае	4	3
63	не на	2	3
64	как это	8	3
65	не мог	3	3
66	на смену	6	3
67	в данном	5	3
68	связи с	6	3
69	только в	8	3
70	в русской	10	3
71	с миром	4	3
72	уже в	5	2
73	должна быть	2	2
74	не менее	7	2
75	и есть	3	2
76	это уже	2	2
77	никогда не	4	2
78	однако в	2	2
79	в своем	11	2
80	этого не	2	2
81	а как	2	2
82	их не	2	2
83	и тем	4	2
84	же это	2	2
85	тем не	2	2
86	ты в	2	2
87	представляет собой	4	2
88	что я	2	2
89	одна из	3	2
90	на этом	2	2
91	было бы	2	2
92	такого рода	10	2
93	в частности	15	2
94	по своей	3	2
95	не могло	2	2
96	хотя бы	2	2
97	в нем	2	2
98	не есть	2	2
99	себя в	6	2
100	в целом	8	2
101	не к	2	2
102	из них	4	2
103	на том	2	2
104	дело не	2	2
105	в тексте	8	2
106	в связи	4	2
107	имеется в	2	2
108	лишь в	4	2
109	того что	6	2
110	с этой	5	2
111	не случайно	2	2
112	в себе	7	2
113	в этой	4	2
114	на это	2	2
115	тех же	3	2
116	в области	3	2
