N	2gram	Bakhtin_Fr_6	Problema
1	и в	41	44
2	вовсе не	7	37
3	и не	3	35
4	то есть	24	34
5	может быть	2	28
6	потому что	3	25
7	то что	10	23
8	в том	2	21
9	только в	3	19
10	а не	2	18
11	в этом	12	17
12	для нас	2	16
13	также и	6	16
14	сказать что	6	16
15	если мы	2	16
16	и даже	4	14
17	не только	10	14
18	и то	2	14
19	не в	4	13
20	то же	5	13
21	так что	2	12
22	но в	8	12
23	том что	7	12
24	но и	13	10
25	у нас	4	10
26	как и	7	10
27	так и	5	10
28	и от	4	9
29	в нем	16	9
30	и с	16	9
31	как бы	7	9
32	так как	10	9
33	что он	6	9
34	в то	6	9
35	никак не	3	9
36	в его	7	9
37	в данном	3	9
38	таким образом	17	9
39	перед нами	3	8
40	что в	7	8
41	а именно	2	8
42	есть нечто	2	8
43	того что	3	8
44	что мы	2	8
45	но это	3	8
46	было бы	3	8
47	он не	2	8
48	как раз	2	8
49	как мы	12	8
50	в себе	5	8
51	связи с	2	8
52	и вообще	4	8
53	с другой	4	7
54	данном случае	2	7
55	не может	4	7
56	все эти	11	7
57	мы находим	2	7
58	и что	5	7
59	здесь только	3	7
60	с ним	4	7
61	это и	2	7
62	и потому	2	7
63	мы не	2	7
64	никогда не	8	6
65	для этого	2	6
66	но если	2	6
67	жизни и	3	6
68	о том	9	6
69	все же	4	6
70	состоит из	2	5
71	есть именно	2	5
72	в конце	2	5
73	нас не	3	5
74	что они	2	5
75	как о	2	5
76	и сам	3	5
77	хотя и	2	5
78	в ней	4	5
79	другой стороны	2	5
80	все это	11	5
81	в своем	5	5
82	а в	4	5
83	точки зрения	2	5
84	за пределы	2	5
85	в своей	2	5
86	как в	4	5
87	так же	5	5
88	и его	13	5
89	он сам	3	4
90	при этом	3	4
91	заключается в	2	4
92	есть только	3	4
93	в искусстве	3	4
94	что даже	2	4
95	на первый	3	4
96	мы уже	18	4
97	и вовсе	2	4
98	а также	5	4
99	в ее	5	4
100	только с	3	4
101	в чем	3	4
102	или в	6	4
103	тем что	5	4
104	он является	2	3
105	уже в	4	3
106	и другие	2	3
107	что это	5	3
108	это уже	2	3
109	прежде всего	10	3
110	и как	4	3
111	находятся в	2	3
112	в этой	8	3
113	кроме того	9	3
114	здесь и	8	3
115	в самом	10	3
116	значение в	2	3
117	образов и	5	3
118	но эта	2	3
119	и очень	2	3
120	с этой	3	3
121	для его	2	3
122	говорить о	2	3
123	тем более	2	3
124	но не	2	3
125	здесь в	9	3
126	там и	2	3
127	но оно	3	3
128	но уже	2	3
129	из этого	4	3
130	и все	9	3
131	из того	2	3
132	в той	5	3
133	самом деле	4	3
134	с другими	3	3
135	в таких	2	3
136	есть в	3	3
137	что их	2	2
138	не был	2	2
139	мы будем	3	2
140	именно в	4	2
141	в частности	2	2
142	в этих	2	2
143	все они	2	2
144	того же	4	2
145	никто не	2	2
146	что все	2	2
147	всех этих	2	2
148	до сих	3	2
149	между собою	5	2
150	ii гл	7	2
151	в котором	4	2
152	из них	5	2
153	и до	7	2
154	природы и	2	2
155	с одной	4	2
156	что дело	2	2
157	дает нам	2	2
158	в результате	4	2
159	в основе	4	2
160	с этим	3	2
161	в начале	3	2
162	переходит в	2	2
163	бы в	2	2
164	как это	2	2
165	поэтому и	3	2
166	то он	2	2
167	и во	2	2
168	и образ	4	2
169	мы видели	2	2
170	литературы и	2	2
171	от него	2	2
172	есть и	2	2
173	во всех	17	2
174	и особенно	3	2
175	себя в	2	2
176	не будем	2	2
177	вместе с	6	2
178	сих пор	3	2
179	образ в	2	2
180	этих образов	2	2
181	и у	2	2
182	и для	3	2
183	с точки	2	2
184	да еще	2	2
185	но с	2	2
186	первый план	3	2
187	он в	2	2
188	как она	2	2
189	в другом	4	2
190	доходит до	2	2
191	это было	2	2
