N	2gram	Tiupa_Anal_1	Psycholo
1	в том	27	37
2	и в	18	32
3	том что	12	21
4	то что	6	21
5	таким образом	3	21
6	в искусстве	2	21
7	потому что	2	21
8	то есть	11	21
9	что в	5	20
10	может быть	29	18
11	что и	3	17
12	не может	22	17
13	точки зрения	6	17
14	самом деле	2	16
15	того чтобы	3	14
16	что он	3	13
17	при этом	12	13
18	то же	9	13
19	для того	4	13
20	в этом	13	13
21	по себе	4	12
22	в самом	6	12
23	не только	15	12
24	так как	2	12
25	было бы	2	11
26	в основе	6	11
27	при помощи	2	10
28	как и	13	10
29	и т	3	10
30	но и	17	10
31	и не	21	10
32	с точки	4	10
33	никогда не	2	9
34	не в	14	8
35	дело с	4	8
36	т п	3	8
37	той же	2	8
38	того что	4	8
39	к тому	7	7
40	и как	5	7
41	такой же	2	7
42	а не	17	7
43	в сущности	6	7
44	все эти	2	7
45	и его	5	7
46	как будто	3	7
47	только в	6	7
48	в этой	5	6
49	он не	3	6
50	как бы	5	6
51	в художественном	3	6
52	художественное произведение	5	6
53	же самое	2	6
54	о том	5	6
55	если бы	3	6
56	художественного произведения	5	5
57	искусства в	4	5
58	отнюдь не	15	5
59	на все	2	5
60	далеко не	6	5
61	этом отношении	2	5
62	на самом	2	5
63	и на	5	5
64	в то	9	5
65	и более	4	4
66	столь же	4	4
67	едва ли	2	4
68	есть не	8	4
69	и сам	2	4
70	несмотря на	2	4
71	иначе говоря	9	4
72	искусства является	2	4
73	произведения искусства	3	4
74	и по	2	4
75	в нем	3	4
76	все же	4	4
77	из них	2	4
78	и до	2	4
79	данном случае	2	4
80	а в	9	4
81	и все	3	4
82	мы имеем	6	4
83	в данном	2	4
84	и с	2	4
85	могут быть	4	4
86	в целом	5	4
87	которые в	2	4
88	в произведении	5	4
89	в сознании	2	4
90	между тем	5	4
91	творчества и	2	3
92	не могут	3	3
93	состоит в	11	3
94	в частности	19	3
95	конечном счете	4	3
96	для этого	2	3
97	хотя бы	3	3
98	с другой	4	3
99	и другого	4	3
100	и к	3	3
101	что именно	2	3
102	как говорит	2	3
103	и заключается	2	3
104	в своей	6	3
105	может служить	2	3
106	сами по	2	3
107	один из	2	3
108	так и	4	3
109	не к	2	3
110	том чтобы	7	3
111	в их	5	3
112	что же	2	3
113	на этом	2	3
114	что не	3	3
115	в конечном	4	3
116	тому как	3	3
117	как к	2	3
118	и то	2	3
119	того или	3	3
120	думать что	2	3
121	тогда когда	2	3
122	но в	8	3
123	место в	3	2
124	на вопрос	4	2
125	с его	3	2
126	однако не	3	2
127	то ни	3	2
128	в какой	2	2
129	это не	6	2
130	искусство в	2	2
131	одного и	2	2
132	с другими	4	2
133	была бы	2	2
134	или иного	3	2
135	это означает	3	2
136	том и	2	2
137	сводится к	5	2
138	ни в	4	2
139	же время	6	2
140	всякий раз	3	2
141	тем более	2	2
142	еще не	3	2
143	но не	10	2
144	того же	4	2
145	из которых	4	2
146	вовсе не	2	2
147	на его	2	2
148	душевной жизни	2	2
149	к нему	3	2
150	в его	13	2
151	и процессы	2	2
152	если в	3	2
153	произведения с	2	2
154	как он	3	2
155	бы то	3	2
156	отношение к	2	2
157	в процессе	2	2
158	вместе с	4	2
159	отличается от	2	2
160	не остается	2	2
161	остается ничего	2	2
162	бы не	2	2
163	другой стороны	2	2
164	а с	3	2
165	роль в	2	2
166	из того	4	2
167	ли он	2	2
168	отличие от	6	2
169	художественного впечатления	14	2
170	в таком	3	2
171	каждый из	2	2
172	также и	2	2
173	с двумя	2	2
174	подобно тому	3	2
175	в себе	11	2
176	смысл и	3	2
177	того и	3	2
178	могли бы	2	2
179	в свое	2	2
180	для художественного	2	2
181	на примере	2	2
182	эстетического объекта	11	2
183	в которой	2	2
184	произведения как	7	2
