N	2gram	Bakhtin_Pr_3	OGranits
1	и в	53	13
2	и его	10	12
3	прежде всего	15	9
4	не может	2	8
5	и не	15	8
6	может быть	12	8
7	и их	2	7
8	и т.п	31	7
9	точки зрения	4	7
10	в его	8	7
11	таким образом	6	6
12	не только	4	6
13	то что	9	6
14	только в	4	6
15	мы должны	4	6
16	как бы	14	6
17	с точки	2	5
18	хотя бы	2	5
19	и т.д	2	5
20	и наконец	2	5
21	то же	6	4
22	в своей	3	4
23	все это	8	4
24	в каждом	4	4
25	в двух	2	4
26	мы не	4	4
27	мы можем	5	4
28	было бы	5	4
29	в сознании	2	4
30	но в	5	4
31	связана с	2	3
32	и уже	2	3
33	что в	2	3
34	никогда не	2	3
35	но и	7	3
36	так и	6	3
37	в их	2	3
38	по отношению	2	3
39	и все	10	3
40	здесь мы	2	3
41	к одному	2	3
42	в ее	3	3
43	да и	2	3
44	как и	11	3
45	не в	2	3
46	в которой	2	3
47	в себе	5	3
48	говорить о	2	3
49	с этим	2	3
50	и для	4	3
51	так как	7	3
52	слово в	2	3
53	не менее	3	2
54	и др	14	2
55	уже в	2	2
56	самого начала	4	2
57	и тем	2	2
58	в нем	10	2
59	ее в	3	2
60	и отчасти	2	2
61	во всей	4	2
62	своего рода	3	2
63	а не	11	2
64	с другой	2	2
65	в них	2	2
66	в связи	2	2
67	а в	2	2
68	не касаемся	2	2
69	все эти	9	2
70	вовсе не	3	2
71	конечно в	2	2
72	с самого	3	2
73	и к	5	2
74	как в	7	2
75	в том	14	2
76	наконец в	2	2
77	том что	5	2
78	в зависимости	2	2
79	мы видим	2	2
80	в своих	2	2
81	зависимости от	2	2
82	в этом	8	2
83	тем что	2	2
84	между тем	2	2
85	могут быть	4	2
86	при этом	3	2
87	всей своей	2	2
88	связанные с	3	2
89	и ее	6	2
90	соответствии с	2	2
91	форм и	2	2
92	во всем	2	2
93	тот же	2	2
94	более того	6	2
95	несмотря на	2	2
96	мы уже	5	2
97	слова и	3	2
98	в области	3	2
99	нет ничего	2	2
100	в самом	2	2
101	нужно отметить	2	2
102	на язык	4	2
103	в ней	7	2
104	символики и	2	2
105	а также	4	2
